date,treatment-tank,carapace-width,carapace-length,weight,integument-color
7/8/2022,1,44,37,22.92,Y
7/8/2022,1,48,38,26.56,Y
7/8/2022,1,47,38,24.62,Y
7/8/2022,1,41,32,14.31,G
7/8/2022,1,42,36,21.26,YO
7/8/2022,1,48,40,29.21,YG
7/8/2022,1,42,34,16.73,BG
7/8/2022,2,52,41,29.64,YG
7/8/2022,2,49,41,30.56,YG
7/8/2022,2,49,40,24.31,BG
7/8/2022,2,49,41,26.35,BG
7/8/2022,2,45,36,20.87,Y
7/8/2022,2,42,39,17.9,Y
7/8/2022,2,43,35,17.75,Y
7/8/2022,3,40,35,17.1,YO
7/8/2022,3,50,39,28.08,Y
7/8/2022,3,52,41,35.43,Y
7/8/2022,3,37,31,13.25,YO
7/8/2022,3,49,39,29.31,YG
7/8/2022,3,52,41,34.09,YG
7/8/2022,3,45,36,23.11,G
7/8/2022,4,47,39,25,G
7/8/2022,4,47,39,26.06,Y
7/8/2022,4,40,34,16.23,YG
7/8/2022,4,48,38,25.85,YG
7/8/2022,4,41,34,16.1,Y
7/8/2022,4,44,36,19.21,Y
7/8/2022,4,45,37,21.47,YO
7/8/2022,5,46,39,25.01,YG
7/8/2022,5,44,37,20.67,BG
7/8/2022,5,39,32,14.09,YG
7/8/2022,5,54,44,37.71,YG
7/8/2022,5,38,32,13.75,G
7/8/2022,5,49,40,26.82,YG
7/8/2022,5,40,34,15.1,BG
7/8/2022,6,41,34,17.32,Y
7/8/2022,6,48,38,26.33,Y
7/8/2022,6,42,36,20.06,Y
7/8/2022,6,43,35,21.38,YO
7/8/2022,6,44,34,19.41,Y
7/8/2022,6,39,31,14.61,YG
7/8/2022,6,42,33,15.58,Y
7/12/2022,1,42,36,21.4,Y
7/12/2022,1,48,38,24.23,YG
7/12/2022,1,39,32,14.17,BG
7/12/2022,1,42,32,17.05,BG
7/12/2022,1,43,32,23.4,YG
7/12/2022,1,46,35,20.9,G
7/12/2022,1,48,40,29.72,YG
