date,treatment-tank,carapace-width,Average per tank,standardized values,Average for each tank
7/8/2022,1,44,44.57142857,-0.217575126,-0.083682741
7/8/2022,1,48,,0.719671572,
7/8/2022,1,47,,0.485359897,
7/8/2022,1,41,,-0.92051015,
7/8/2022,1,42,,-0.686198475,
7/8/2022,1,48,,0.719671572,
7/8/2022,1,42,,-0.686198475,
7/8/2022,2,52,47,1.656918269,0.485359897
7/8/2022,2,49,,0.953983246,
7/8/2022,2,49,,0.953983246,
7/8/2022,2,49,,0.953983246,
7/8/2022,2,45,,0.016736548,
7/8/2022,2,42,,-0.686198475,
7/8/2022,2,43,,-0.451886801,
7/8/2022,3,40,46.42857143,-1.154821824,0.351467512
7/8/2022,3,50,,1.18829492,
7/8/2022,3,52,,1.656918269,
7/8/2022,3,37,,-1.857756847,
7/8/2022,3,49,,0.953983246,
7/8/2022,3,52,,1.656918269,
7/8/2022,3,45,,0.016736548,
7/8/2022,4,47,44.57142857,0.485359897,-0.083682741
7/8/2022,4,47,,0.485359897,
7/8/2022,4,40,,-1.154821824,
7/8/2022,4,48,,0.719671572,
7/8/2022,4,41,,-0.92051015,
7/8/2022,4,44,,-0.217575126,
7/8/2022,4,45,,0.016736548,
7/8/2022,5,46,44.28571429,0.251048223,-0.150628934
7/8/2022,5,44,,-0.217575126,
7/8/2022,5,39,,-1.389133499,
7/8/2022,5,54,,2.125541618,
7/8/2022,5,38,,-1.623445173,
7/8/2022,5,49,,0.953983246,
7/8/2022,5,40,,-1.154821824,
7/8/2022,6,41,42.71428571,-0.92051015,-0.518832993
7/8/2022,6,48,,0.719671572,
7/8/2022,6,42,,-0.686198475,
7/8/2022,6,43,,-0.451886801,
7/8/2022,6,44,,-0.217575126,
7/8/2022,6,39,,-1.389133499,
7/8/2022,6,42,,-0.686198475,
7/12/2022,1,42,44,-0.697211778,-0.272822
7/12/2022,1,48,,0.575957555,
7/12/2022,1,39,,-1.333796444,
7/12/2022,1,42,,-0.697211778,
7/12/2022,1,43,,-0.485016889,
7/12/2022,1,46,,0.151567778,
7/12/2022,1,48,,0.575957555,
7/12/2022,2,49,45.85714286,0.788152444,0.121254222
7/12/2022,2,44,,-0.272822,
7/12/2022,2,49,,0.788152444,
7/12/2022,2,43,,-0.485016889,
7/12/2022,2,42,,-0.697211778,
7/12/2022,2,42,,-0.697211778,
7/12/2022,2,52,,1.424737111,
7/12/2022,3,52,48.42857143,1.424737111,0.666898222
7/12/2022,3,51,,1.212542222,
7/12/2022,3,53,,1.636932,
7/12/2022,3,52,,1.424737111,
7/12/2022,3,44,,-0.272822,
7/12/2022,3,47,,0.363762667,
7/12/2022,3,40,,-1.121601555,
7/12/2022,4,40,42.85714286,-1.121601555,-0.515330444
7/12/2022,4,43,,-0.485016889,
7/12/2022,4,44,,-0.272822,
7/12/2022,4,47,,0.363762667,
7/12/2022,4,50,,1.000347333,
7/12/2022,4,37,,-1.758186222,
7/12/2022,4,39,,-1.333796444,
7/12/2022,5,39,46.57142857,-1.333796444,0.272822
7/12/2022,5,45,,-0.060627111,
7/12/2022,5,51,,1.212542222,
7/12/2022,5,56,,2.273516666,
7/12/2022,5,44,,-0.272822,
7/12/2022,5,51,,1.212542222,
7/12/2022,5,40,,-1.121601555,
7/12/2022,6,44,44,-0.272822,-0.272822
7/12/2022,6,44,,-0.272822,
7/12/2022,6,51,,1.212542222,
7/12/2022,6,39,,-1.333796444,
7/12/2022,6,41,,-0.909406667,
7/12/2022,6,45,,-0.060627111,
7/12/2022,6,44,,-0.272822,
7/15/2022,1,39,43.28571429,-1.19815451,-0.335483263
7/15/2022,1,51,,1.217324982,
7/15/2022,1,44,,-0.191704722,
7/15/2022,1,38,,-1.399444468,
7/15/2022,1,46,,0.210875194,
7/15/2022,1,42,,-0.594284637,
7/15/2022,1,43,,-0.392994679,
7/15/2022,2,50,46.71428571,1.016035024,0.354653735
7/15/2022,2,50,,1.016035024,
7/15/2022,2,43,,-0.392994679,
7/15/2022,2,50,,1.016035024,
7/15/2022,2,42,,-0.594284637,
7/15/2022,2,49,,0.814745067,
7/15/2022,2,43,,-0.392994679,
7/15/2022,3,48,44.85714286,0.613455109,-0.019170472
7/15/2022,3,53,,1.619904897,
7/15/2022,3,51,,1.217324982,
7/15/2022,3,42,,-0.594284637,
7/15/2022,3,39,,-1.19815451,
7/15/2022,3,40,,-0.996864552,
7/15/2022,3,41,,-0.795574595,
7/15/2022,4,39,43.14285714,-1.19815451,-0.364238971
7/15/2022,4,45,,0.009585236,
7/15/2022,4,42,,-0.594284637,
7/15/2022,4,40,,-0.996864552,
7/15/2022,4,39,,-1.19815451,
7/15/2022,4,49,,0.814745067,
7/15/2022,4,48,,0.613455109,
7/15/2022,5,52,48,1.41861494,0.613455109
7/15/2022,5,55,,2.022484813,
7/15/2022,5,58,,2.626354686,
7/15/2022,5,42,,-0.594284637,
7/15/2022,5,42,,-0.594284637,
7/15/2022,5,43,,-0.392994679,
7/15/2022,5,44,,-0.191704722,
7/15/2022,6,43,43.71428571,-0.392994679,-0.249216138
7/15/2022,6,42,,-0.594284637,
7/15/2022,6,51,,1.217324982,
7/15/2022,6,46,,0.210875194,
7/15/2022,6,44,,-0.191704722,
7/15/2022,6,40,,-0.996864552,
7/15/2022,6,40,,-0.996864552,
7/19/2022,1,42,46.28571429,-0.687067244,0.215648843
7/19/2022,1,47,,0.366101524,
7/19/2022,1,43,,-0.476433491,
7/19/2022,1,50,,0.998002786,
