identifier,lipid,Ion species,INCHIKEY,m/z,RT,ESI mode,101,102,103,104,105,106,107,108,109,110,111,112,113,114,201,202,203,204,205,206,207,208,209,210,211,212,213,301,302,303,304,305,306,307,308,401,402,403,404,405,406,407,408,409,410,411,412,413,501,502,503,504,505,506,507,508,509,510,511,512,513,601,602,603,604,605,606,607,608
0.23_329.23,"(Z)-9,12,13-trihydroxyoctadec-15-enoic acid ",[M-H]-,DNWUYCUUEGGVPR-CLTKARDFSA-N,329.2325,0.23,ESI neg,663,600,1003,850,834,609,481,688,517,797,719,1321,431,638,811,518,2341,571,771,422,689,695,336,384,717,450,553,697,765,538,727,827,1187,1690,646,763,666,751,740,690,3754,882,848,770,692,574,500,600,445,911,504,642,594,557,645,1446,1181,606,364,815,612,726,382,380,1129,649,4061,1162,983
0.33_295.23,13-HODE ,[M-H]-,HNICUWMFWZBIFP-KDFHGORWSA-N,295.2278,0.33,ESI neg,1601,1950,3458,4385,1490,1462,2861,1592,1765,4784,2105,9942,1360,2433,1564,1123,7977,1479,2472,2599,1885,1931,1699,2086,3074,2447,1555,3183,1708,1147,2129,1404,3136,13429,2059,1427,1546,2990,2794,2340,24454,1522,2740,2973,2701,1160,1653,2326,1987,1740,1527,1506,998,1588,2909,5676,5209,1472,1253,2227,2228,1902,1488,1256,4160,1934,19225,2540,4469
0.30_317.21,15-OxoETE ,[M-H]-,YGJTUEISKATQSM-UHFFFAOYSA-N,317.2119,0.3,ESI neg,30675,4378,47040,1081,1699,2587,1394,2314,1325,4724,2608,6411,4818,1665,1168,3322,834,2016,2120,1916,1716,2565,1263,1186,2649,2858,2436,880,950,18578,1352,1007,809,654,1113,2930,8465,30941,2884,2637,1830,823,5677,2353,1238,1957,2791,6677,2066,1934,4997,1975,1847,7439,2032,1371,4178,2723,4365,1336,2039,3399,3062,1569,1115,2344,516,941,1275
0.30_343.23,4-HDoHE ,[M-H]-,IFRKCNPQVIJFAQ-UHFFFAOYSA-N,343.2281,0.3,ESI neg,10815,1575,17427,461,835,1052,782,996,1020,2048,1400,1817,1096,1254,598,1075,551,1170,1245,1064,740,1168,608,1025,1223,1635,1284,385,366,5660,316,257,416,498,467,1186,2319,7883,1057,696,509,396,1458,741,1105,714,1007,944,901,374,1197,1147,838,6191,1351,615,1266,1065,1401,1008,1001,682,1128,715,367,413,716,208,431
0.19_129.06,4-METHYL-2-OXO-PENTANOIC ACID ,[M-H]-,BKAJNAXTPSGJCU-UHFFFAOYSA-N,129.0557,0.19,ESI neg,4454,9107,1020,4390,2325,3680,7379,4240,1127,5002,5719,5678,9955,4774,8454,6783,1112,3888,4393,1039,1481,1827,3973,3924,2835,3188,8202,4130,627,1677,892,2228,1102,2528,736,4210,4227,2690,2934,10160,3358,4335,2183,4804,3335,4241,2138,4311,3275,2921,1891,2590,2785,2725,1523,1505,3692,6044,3077,1114,1450,1337,1742,1829,1231,1129,3743,1503,1584
0.31_319.23,5-HETE ,[M-H]-,KGIJOOYOSFUGPC-UHFFFAOYSA-N,319.2276,0.31,ESI neg,9538,2809,53133,612,1472,1659,1247,1529,1226,4527,2150,2867,1474,1185,926,1524,904,1372,1213,1418,902,1432,889,813,1952,2549,1389,740,619,12037,863,1093,533,992,871,1815,4742,40525,1359,1701,1178,767,2857,1402,738,1106,1552,4005,1529,1455,3137,1221,1319,5354,1633,894,1983,1654,2870,965,1386,1315,1960,1026,561,804,1259,752,824
0.27_335.22,"8,15-DiHETE ",[M-H]-,NNPWRKSGORGTIM-HCCKYKKOSA-N,335.2229,0.27,ESI neg,1516,705,11129,498,734,1607,631,1233,628,1020,1275,1141,701,894,412,2133,1034,580,824,726,763,1669,890,489,635,861,727,632,637,2951,750,815,636,1107,1050,1372,2635,2813,1616,909,1346,499,991,1081,642,760,646,886,552,660,999,632,432,1133,783,869,991,701,837,512,570,1171,883,519,1122,5177,2069,445,834
2.39_784.57,arachidonoylthiophosphorylcholine ,[M+H]+,YDSCLGYBUIDZNF-UHFFFAOYSA-N,784.5666,2.39,ESI pos,387269,523190,467466,509853,212046,388188,386499,207709,271976,465464,587457,472052,268129,251339,260743,72766,51325,292936,301671,80781,150318,319918,307056,182677,392029,150357,129847,526872,156259,#VALUE!,210803,2568872,158625,1296710,681944,340323,187864,408349,520722,197029,461208,135829,337578,327540,71993,201789,#VALUE!,291909,297874,47043,77453,#VALUE!,360868,612047,57548,29907,363527,141706,469050,49802,36492,368140,452249,391421,187796,379154,228162,1141080,108663
0.30_344.28,CAR 12:0 ,[M]+,FUJLYHJROOYKRA-QGZVFWFLSA-N,344.2808,0.3,ESI pos,140138,166030,20211,155956,62282,61222,136471,124914,101675,190266,91271,149334,122648,79663,100460,182321,64873,113721,136852,72528,78437,58298,18637,61038,123630,307769,130953,93955,98026,51623,56351,224357,61770,110838,21606,68374,87088,37931,122359,108256,125701,148352,53432,121861,191923,117592,93747,101013,185857,63483,47670,136106,199868,117514,66928,76919,72801,92936,282943,33375,90478,83587,111892,139588,27127,86458,91145,121734,104568
0.34_370.29,CAR 14:1 ,[M]+,,370.2947,0.34,ESI pos,103885,138024,25397,172974,42757,60206,126352,100247,109774,142871,57632,132869,111030,68382,108916,160310,55070,79875,122520,63634,59084,75179,38479,44026,95969,271901,125276,119689,68487,23609,33811,146013,41802,83366,24315,37556,59193,29890,109146,83765,86387,174201,47334,110947,115240,75152,69493,105803,170235,35999,54658,110796,186264,112041,55744,31893,53333,33552,115699,39024,59864,83587,78677,103572,44165,26208,37560,84899,55970
0.54_386.33,CAR 15:0,[M+H]+,MDDWQHVKSHTZTD-UHFFFAOYSA-N,386.3262,0.54,ESI pos,102849,107217,6577,93876,21114,31491,92034,70633,24298,417594,40247,342456,98679,92067,104941,278344,23351,60534,107934,14304,72592,263565,21472,97253,55564,55842,29494,70701,16839,11139,12838,108966,99840,83129,1945,81220,27599,15158,55165,215895,123761,141207,19892,50765,148067,74780,88484,44589,187381,35072,116055,178484,95470,60982,24444,12139,15630,108896,391329,19401,60366,40724,78485,134693,33219,41878,79326,48435,83636
0.67_400.34,CAR 16:0 ,[M]+,XOMRRQXKHMYMOC-OAQYLSRUSA-N,400.3435,0.67,ESI pos,2015065,2215406,80629,1979460,222640,1069887,2766364,1921259,688872,1616444,559593,3435467,2319890,1743657,1837693,2542762,151185,913973,731950,343203,505298,2078084,325339,675949,1207070,979150,869998,1856650,135280,77975,178266,2941077,408411,1953372,91496,2001083,459857,435748,1149346,1726882,2499700,2223275,413951,1978586,1748060,2384112,804961,1010553,1441210,137167,575202,1787614,2190957,1559676,411943,90603,274410,842291,1737353,388534,488164,363863,378766,680948,94516,372039,1143314,975786,297232
0.49_398.33,CAR 16:1,[M+H]+,JFAGPSOZZSTLRF-UHFFFAOYSA-N,398.327,0.49,ESI pos,421755,648003,34968,646721,47222,197683,532714,430054,168566,400776,158906,612504,557690,270426,432762,461725,48535,269388,250431,109572,112087,639584,95951,205895,653543,315334,382094,535048,60866,15795,51647,308496,72687,211589,26955,339411,133037,95504,245192,387746,670387,376500,95974,307271,378808,516462,203214,456320,577231,53704,190514,329762,664891,574519,146936,15671,127711,201016,736409,111349,142169,121402,105672,242671,33028,74840,137418,152399,110484
0.80_414.36,CAR 17:0,[M+H]+,DWSFAVOTORHAAL-UHFFFAOYSA-N,414.3578,0.8,ESI pos,121494,212055,17377,104400,52671,63321,151087,135495,13161,348426,13217,467793,101617,102920,131633,311890,33313,96515,121569,46580,52607,291867,26291,34316,48981,205350,42987,115333,30386,14714,30675,222087,71754,85621,15909,106913,36108,13308,97473,210818,157141,138879,30564,103650,210768,109414,96308,31840,218395,34734,98585,263897,188633,98810,38966,12801,32630,86181,298730,24678,71407,116097,102658,142665,11041,18823,36057,35478,46869
0.60_412.34,CAR 17:1,[M+H]+,HZMKCRJXXVHZKT-UHFFFAOYSA-N,412.3421,0.6,ESI pos,190954,167245,12030,111789,15438,54923,130314,116669,41436,554982,43105,647877,97410,74049,118760,403363,32038,97080,164375,34018,83334,480316,27283,152815,74408,92050,61274,94424,39606,12968,17346,109449,90229,82832,11394,114494,39733,49460,86096,293485,127128,131815,34629,101405,265479,93801,159541,84741,260230,20318,234523,337858,183045,103381,38064,12581,32219,217346,722489,26537,98149,71609,88616,133015,9138,43229,51982,50903,72442
0.99_428.37,CAR 18:0 Isomer A ,[M]+,FNPHNLNTJNMAEE-HSZRJFAPSA-N,428.3725,0.99,ESI pos,469341,1132143,75122,570702,157104,292495,871777,655971,246088,706394,255833,1012045,536592,447235,506530,783031,178600,277112,377263,185218,240919,851252,111753,144273,334593,703679,233961,641400,110632,58024,176600,1047545,276100,658976,63081,401396,232407,177630,523863,482075,869808,588431,158190,552926,523836,706169,256276,301912,715995,149055,266054,565139,707828,671947,151446,81223,117839,182755,627468,169254,233579,245370,391526,502336,111459,214794,367383,306896,287767
0.72_426.36,CAR 18:1 ,[M]+,HITOYGLMAFIRNI-YSESTWPTSA-N,426.3592,0.72,ESI pos,2442060,2461228,133669,2658368,257906,1431662,3965050,2783908,814772,1646442,709330,4109627,3436537,1943402,1835232,2344105,129029,987945,854914,403170,517463,2900846,397905,687558,2016132,1248841,1129471,1838087,91911,52288,245496,2549503,400387,2210946,91634,2356920,458525,388209,1344291,1880622,2178743,1944874,586079,2514424,2096473,3124728,980009,1605220,1696487,114152,684851,2798563,3225218,2751054,612457,88286,340425,1070253,3373834,441904,488021,307910,356708,534296,74718,441565,708825,1208395,279212
0.55_424.34,CAR 18:2 Isomer A ,[M]+,MJLXQSQYKZWZCB-DQFWFXSYSA-N,424.3417,0.55,ESI pos,487986,293327,37908,1319472,121612,665378,819201,660437,398021,413904,254523,1831436,1590814,817802,208304,599713,53158,242261,134569,100678,129701,444609,215924,377182,1040438,275726,596515,274158,41487,19369,54195,797927,102546,775154,27025,771554,23529,211220,392438,762457,702340,821074,271079,955990,760656,1117926,416813,790776,462928,50584,97087,932611,453423,1295540,311370,38846,143340,543811,1120224,149259,129193,61941,107339,150428,51589,125364,258109,447387,92919
