#--- Experiment --------------------------------------------------------------------------
#tank4
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/8/2022	12/31/2000	21.558000	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.154000	30.130000	51.761000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
08-07-2022	22:26:33.058	0.489	99.621	23.491	8	0	NotOK(12)	08-07-2022	22:26:33.058	0.489	13.183	OK	08-07-2022	22:26:33.058	0.489	1015	OK
08-07-2022	22:26:34.058	1.489	99.757	23.475	8	0	NotOK(12)	08-07-2022	22:26:34.058	1.489	13.181	OK	08-07-2022	22:26:34.058	1.489	1015	OK
08-07-2022	22:26:35.058	2.489	99.623	23.492	8	0	NotOK(12)	08-07-2022	22:26:35.058	2.489	13.183	OK	08-07-2022	22:26:35.058	2.489	1015	OK
08-07-2022	22:26:36.059	3.490	98.896	23.578	8	0	NotOK(12)	08-07-2022	22:26:36.059	3.490	13.185	OK	08-07-2022	22:26:36.059	3.490	1015	OK
08-07-2022	22:26:37.062	4.493	99.640	23.488	8	0	NotOK(12)	08-07-2022	22:26:37.062	4.493	13.188	OK	08-07-2022	22:26:37.062	4.493	1015	OK
08-07-2022	22:26:38.058	5.489	99.643	23.488	8	0	NotOK(12)	08-07-2022	22:26:38.058	5.489	13.186	OK	08-07-2022	22:26:38.058	5.489	1015	OK
08-07-2022	22:26:39.057	6.488	99.895	23.459	8	0	NotOK(12)	08-07-2022	22:26:39.057	6.488	13.183	OK	08-07-2022	22:26:39.057	6.488	1015	OK
08-07-2022	22:26:40.059	7.490	99.760	23.474	8	0	NotOK(12)	08-07-2022	22:26:40.059	7.490	13.181	OK	08-07-2022	22:26:40.059	7.490	1015	OK
08-07-2022	22:26:41.080	8.511	100.310	23.408	8	0	NotOK(12)	08-07-2022	22:26:41.080	8.511	13.182	OK	08-07-2022	22:26:41.080	8.511	1015	OK
08-07-2022	22:26:42.056	9.488	99.481	23.508	8	0	NotOK(12)	08-07-2022	22:26:42.056	9.488	13.183	OK	08-07-2022	22:26:42.056	9.488	1015	OK
08-07-2022	22:26:43.059	10.491	100.741	23.357	8	0	NotOK(12)	08-07-2022	22:26:43.059	10.491	13.182	OK	08-07-2022	22:26:43.059	10.491	1015	OK
08-07-2022	22:26:44.061	11.493	100.338	23.405	8	0	NotOK(12)	08-07-2022	22:26:44.061	11.493	13.183	OK	08-07-2022	22:26:44.061	11.493	1015	OK
08-07-2022	22:26:45.064	12.496	99.811	23.468	8	0	NotOK(12)	08-07-2022	22:26:45.064	12.496	13.181	OK	08-07-2022	22:26:45.064	12.496	1015	OK
08-07-2022	22:26:46.060	13.492	99.890	23.459	8	0	NotOK(12)	08-07-2022	22:26:46.060	13.492	13.183	OK	08-07-2022	22:26:46.060	13.492	1015	OK
08-07-2022	22:26:47.058	14.490	100.093	23.434	8	0	NotOK(12)	08-07-2022	22:26:47.058	14.490	13.183	OK	08-07-2022	22:26:47.058	14.490	1015	OK
08-07-2022	22:26:48.059	15.490	100.335	23.405	8	0	NotOK(12)	08-07-2022	22:26:48.059	15.490	13.183	OK	08-07-2022	22:26:48.059	15.490	1015	OK
08-07-2022	22:26:49.060	16.491	99.928	23.455	8	0	NotOK(12)	08-07-2022	22:26:49.060	16.491	13.183	OK	08-07-2022	22:26:49.060	16.491	1015	OK
08-07-2022	22:26:50.059	17.490	99.989	23.447	8	0	NotOK(12)	08-07-2022	22:26:50.059	17.490	13.183	OK	08-07-2022	22:26:50.059	17.490	1015	OK
08-07-2022	22:26:51.062	18.493	99.953	23.451	8	0	NotOK(12)	08-07-2022	22:26:51.062	18.493	13.184	OK	08-07-2022	22:26:51.062	18.493	1015	OK
08-07-2022	22:26:52.058	19.489	99.185	23.543	8	0	NotOK(12)	08-07-2022	22:26:52.058	19.489	13.183	OK	08-07-2022	22:26:52.058	19.489	1015	OK
08-07-2022	22:26:53.074	20.505	100.279	23.411	8	0	NotOK(12)	08-07-2022	22:26:53.074	20.505	13.187	OK	08-07-2022	22:26:53.074	20.505	1015	OK
08-07-2022	22:26:54.091	21.522	99.006	23.566	8	0	NotOK(12)	08-07-2022	22:26:54.091	21.522	13.185	OK	08-07-2022	22:26:54.091	21.522	1015	OK
08-07-2022	22:26:55.058	22.489	100.325	23.407	8	0	NotOK(12)	08-07-2022	22:26:55.058	22.489	13.186	OK	08-07-2022	22:26:55.058	22.489	1015	OK
08-07-2022	22:26:56.058	23.489	100.078	23.436	8	0	NotOK(12)	08-07-2022	22:26:56.058	23.489	13.183	OK	08-07-2022	22:26:56.058	23.489	1015	OK
08-07-2022	22:26:57.059	24.490	100.095	23.434	8	0	NotOK(12)	08-07-2022	22:26:57.059	24.490	13.185	OK	08-07-2022	22:26:57.059	24.490	1015	OK
