#--- Experiment --------------------------------------------------------------------------
#tank4
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	30% (D)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	6/1/2022	12/31/2000	21.276000	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.000000	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.311000	16.743000	44.423000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (%air sat.) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
08-07-2022	22:26:33.431	0.862	NaN	-163.955	0	0	NotOK(12)	08-07-2022	22:26:33.431	0.862	13.182	OK	08-07-2022	22:26:33.431	0.862	1015	OK
08-07-2022	22:26:34.432	1.863	NaN	-176.319	0	0	NotOK(12)	08-07-2022	22:26:34.432	1.863	13.182	OK	08-07-2022	22:26:34.432	1.863	1015	OK
08-07-2022	22:26:35.431	2.862	NaN	-168.339	0	0	NotOK(12)	08-07-2022	22:26:35.431	2.862	13.183	OK	08-07-2022	22:26:35.431	2.862	1015	OK
08-07-2022	22:26:36.433	3.864	NaN	-178.402	0	0	NotOK(12)	08-07-2022	22:26:36.433	3.864	13.186	OK	08-07-2022	22:26:36.433	3.864	1015	OK
08-07-2022	22:26:37.433	4.864	NaN	-174.412	0	0	NotOK(12)	08-07-2022	22:26:37.433	4.864	13.187	OK	08-07-2022	22:26:37.433	4.864	1015	OK
08-07-2022	22:26:38.432	5.863	NaN	-169.614	0	0	NotOK(12)	08-07-2022	22:26:38.432	5.863	13.185	OK	08-07-2022	22:26:38.432	5.863	1015	OK
08-07-2022	22:26:39.433	6.864	NaN	-173.521	0	0	NotOK(12)	08-07-2022	22:26:39.433	6.864	13.183	OK	08-07-2022	22:26:39.433	6.864	1015	OK
08-07-2022	22:26:40.431	7.862	NaN	-177.792	0	0	NotOK(12)	08-07-2022	22:26:40.431	7.862	13.181	OK	08-07-2022	22:26:40.431	7.862	1015	OK
08-07-2022	22:26:41.432	8.864	NaN	-169.925	0	0	NotOK(12)	08-07-2022	22:26:41.432	8.864	13.182	OK	08-07-2022	22:26:41.432	8.864	1015	OK
08-07-2022	22:26:42.431	9.863	NaN	-178.262	0	0	NotOK(12)	08-07-2022	22:26:42.431	9.863	13.183	OK	08-07-2022	22:26:42.431	9.863	1015	OK
08-07-2022	22:26:43.434	10.866	NaN	-173.328	0	0	NotOK(12)	08-07-2022	22:26:43.434	10.866	13.183	OK	08-07-2022	22:26:43.434	10.866	1015	OK
08-07-2022	22:26:44.431	11.863	NaN	-176.879	0	0	NotOK(12)	08-07-2022	22:26:44.431	11.863	13.183	OK	08-07-2022	22:26:44.431	11.863	1015	OK
08-07-2022	22:26:45.433	12.865	NaN	-166.590	0	0	NotOK(12)	08-07-2022	22:26:45.433	12.865	13.182	OK	08-07-2022	22:26:45.433	12.865	1015	OK
08-07-2022	22:26:46.437	13.869	NaN	-173.694	0	0	NotOK(12)	08-07-2022	22:26:46.437	13.869	13.183	OK	08-07-2022	22:26:46.437	13.869	1015	OK
