#--- Experiment --------------------------------------------------------------------------
#tank3
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
12-07-2022	11:30:26.690	0.414	30.391	OK
12-07-2022	11:30:31.690	5.414	30.396	OK
12-07-2022	11:30:36.691	10.415	30.401	OK
12-07-2022	11:30:41.688	15.412	30.394	OK
12-07-2022	11:30:46.693	20.417	30.416	OK
12-07-2022	11:30:51.715	25.439	30.432	OK
12-07-2022	11:30:56.694	30.418	30.426	OK
12-07-2022	11:31:01.696	35.420	30.442	OK
12-07-2022	11:31:06.695	40.419	30.467	OK
12-07-2022	11:31:11.700	45.424	30.426	OK
12-07-2022	11:31:16.711	50.435	30.514	OK
12-07-2022	11:31:21.699	55.423	30.521	OK
12-07-2022	11:31:26.720	60.444	30.544	OK
12-07-2022	11:31:31.698	65.422	30.550	OK
12-07-2022	11:31:36.704	70.428	30.595	OK
12-07-2022	11:31:41.698	75.422	30.574	OK
12-07-2022	11:31:46.697	80.421	30.569	OK
12-07-2022	11:31:51.700	85.424	30.603	OK
12-07-2022	11:31:56.732	90.456	30.602	OK
12-07-2022	11:32:01.704	95.428	30.616	OK
12-07-2022	11:32:06.702	100.426	30.631	OK
12-07-2022	11:32:11.699	105.423	30.642	OK
12-07-2022	11:32:16.713	110.437	30.709	OK
12-07-2022	11:32:21.704	115.428	30.673	OK
12-07-2022	11:32:26.705	120.429	30.733	OK
12-07-2022	11:32:31.727	125.451	30.747	OK
12-07-2022	11:32:36.716	130.440	30.714	OK
12-07-2022	11:32:41.700	135.424	30.775	OK
12-07-2022	11:32:46.699	140.423	30.774	OK
12-07-2022	11:32:51.706	145.430	30.777	OK
12-07-2022	11:32:56.711	150.435	30.769	OK
12-07-2022	11:33:01.703	155.427	30.739	OK
12-07-2022	11:33:06.713	160.437	30.747	OK
12-07-2022	11:33:11.754	165.478	30.749	OK
12-07-2022	11:33:16.709	170.433	30.739	OK
12-07-2022	11:33:21.711	175.435	30.747	OK
12-07-2022	11:33:26.705	180.429	30.736	OK
12-07-2022	11:33:31.709	185.433	30.716	OK
12-07-2022	11:33:36.709	190.433	30.700	OK
12-07-2022	11:33:41.706	195.430	30.682	OK
12-07-2022	11:33:46.720	200.444	30.660	OK
12-07-2022	11:33:51.710	205.434	30.634	OK
12-07-2022	11:33:56.706	210.430	30.595	OK
12-07-2022	11:34:01.733	215.457	30.568	OK
12-07-2022	11:34:06.726	220.450	30.569	OK
12-07-2022	11:34:11.707	225.431	30.558	OK
12-07-2022	11:34:16.709	230.433	30.538	OK
12-07-2022	11:34:21.706	235.430	30.519	OK
12-07-2022	11:34:26.707	240.431	30.496	OK
12-07-2022	11:34:31.707	245.431	30.474	OK
12-07-2022	11:34:36.704	250.428	30.464	OK
12-07-2022	11:34:41.723	255.447	30.460	OK
