#--- Experiment --------------------------------------------------------------------------
#Tank_4
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
19-07-2022	16:20:08.957	0.178	12.536	OK
19-07-2022	16:20:13.961	5.182	12.540	OK
19-07-2022	16:20:18.959	10.180	12.570	OK
19-07-2022	16:20:23.970	15.191	12.569	OK
19-07-2022	16:20:28.963	20.184	12.561	OK
19-07-2022	16:20:33.968	25.189	12.561	OK
19-07-2022	16:20:38.967	30.188	12.564	OK
19-07-2022	16:20:43.968	35.189	12.567	OK
19-07-2022	16:20:48.967	40.188	12.557	OK
19-07-2022	16:20:53.994	45.215	12.564	OK
19-07-2022	16:20:58.982	50.203	12.566	OK
19-07-2022	16:21:03.967	55.188	12.563	OK
19-07-2022	16:21:08.987	60.208	12.577	OK
19-07-2022	16:21:13.981	65.202	12.567	OK
19-07-2022	16:21:18.970	70.191	12.569	OK
19-07-2022	16:21:23.967	75.188	12.564	OK
19-07-2022	16:21:28.971	80.192	12.590	OK
19-07-2022	16:21:33.974	85.195	12.587	OK
19-07-2022	16:21:38.983	90.204	12.592	OK
19-07-2022	16:21:43.966	95.187	13.019	OK
19-07-2022	16:21:49.012	100.233	15.708	OK
19-07-2022	16:21:53.980	105.201	12.649	OK
19-07-2022	16:21:58.983	110.204	12.642	OK
19-07-2022	16:22:03.979	115.200	12.665	OK
19-07-2022	16:22:08.976	120.197	12.679	OK
19-07-2022	16:22:14.003	125.224	12.687	OK
19-07-2022	16:22:18.977	130.198	12.704	OK
19-07-2022	16:22:23.979	135.200	12.748	OK
19-07-2022	16:22:28.989	140.210	12.770	OK
19-07-2022	16:22:33.980	145.201	12.786	OK
19-07-2022	16:22:38.980	150.201	12.763	OK
19-07-2022	16:22:43.989	155.210	12.776	OK
19-07-2022	16:22:48.983	160.204	12.783	OK
19-07-2022	16:22:54.023	165.244	12.778	OK
19-07-2022	16:22:58.984	170.205	12.770	OK
19-07-2022	16:23:03.995	175.216	12.774	OK
19-07-2022	16:23:08.983	180.204	12.771	OK
19-07-2022	16:23:14.011	185.232	12.780	OK
19-07-2022	16:23:18.993	190.214	12.788	OK
19-07-2022	16:23:24.011	195.232	12.778	OK
19-07-2022	16:23:29.012	200.233	12.770	OK
19-07-2022	16:23:33.995	205.216	12.766	OK
19-07-2022	16:23:38.990	210.211	12.782	OK
19-07-2022	16:23:44.011	215.232	12.792	OK
19-07-2022	16:23:48.992	220.213	12.787	OK
19-07-2022	16:23:53.995	225.216	12.777	OK
19-07-2022	16:23:58.995	230.216	12.787	OK
19-07-2022	16:24:03.994	235.215	12.784	OK
19-07-2022	16:24:09.012	240.233	12.770	OK
19-07-2022	16:24:13.999	245.220	12.784	OK
19-07-2022	16:24:18.995	250.216	12.778	OK
19-07-2022	16:24:23.998	255.219	12.769	OK
19-07-2022	16:24:28.999	260.220	12.774	OK
19-07-2022	16:24:34.016	265.237	12.775	OK
19-07-2022	16:24:38.995	270.216	12.777	OK
19-07-2022	16:24:44.002	275.223	12.787	OK
19-07-2022	16:24:49.012	280.233	12.778	OK
19-07-2022	16:24:54.016	285.237	12.777	OK
19-07-2022	16:24:58.996	290.217	12.784	OK
19-07-2022	16:25:03.999	295.220	12.796	OK
19-07-2022	16:25:09.009	300.230	12.811	OK
19-07-2022	16:25:13.993	305.214	12.811	OK
