#--- Experiment --------------------------------------------------------------------------
#Tank_6
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/26/2022	12/31/2000	23.785200	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.515015	30.319466	52.749001	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
26-07-2022	16:11:07.533	0.030	103.788	23.597	27	0	NotOK(11)	26-07-2022	16:11:07.533	0.030	30.229	OK	26-07-2022	16:11:07.533	0.030	1014	OK
26-07-2022	16:11:08.611	1.108	103.676	23.606	27	0	NotOK(11)	26-07-2022	16:11:08.611	1.108	30.270	OK	26-07-2022	16:11:08.611	1.108	1014	OK
26-07-2022	16:11:09.542	2.039	103.774	23.592	27	0	NotOK(11)	26-07-2022	16:11:09.542	2.039	30.307	OK	26-07-2022	16:11:09.542	2.039	1014	OK
26-07-2022	16:11:10.535	3.032	103.838	23.581	27	0	NotOK(11)	26-07-2022	16:11:10.535	3.032	30.361	OK	26-07-2022	16:11:10.535	3.032	1014	OK
26-07-2022	16:11:11.538	4.035	103.612	23.604	27	0	NotOK(11)	26-07-2022	16:11:11.538	4.035	30.397	OK	26-07-2022	16:11:11.538	4.035	1014	OK
26-07-2022	16:11:12.537	5.034	103.579	23.608	27	0	NotOK(11)	26-07-2022	16:11:12.537	5.034	30.396	OK	26-07-2022	16:11:12.537	5.034	1014	OK
26-07-2022	16:11:13.544	6.041	103.750	23.587	27	0	NotOK(11)	26-07-2022	16:11:13.544	6.041	30.410	OK	26-07-2022	16:11:13.544	6.041	1014	OK
26-07-2022	16:11:14.563	7.060	103.695	23.593	27	0	NotOK(11)	26-07-2022	16:11:14.563	7.060	30.431	OK	26-07-2022	16:11:14.563	7.060	1013	OK
26-07-2022	16:11:15.534	8.031	103.907	23.566	27	0	NotOK(11)	26-07-2022	16:11:15.534	8.031	30.448	OK	26-07-2022	16:11:15.534	8.031	1014	OK
26-07-2022	16:11:16.751	9.248	104.157	23.541	27	0	NotOK(11)	26-07-2022	16:11:16.751	9.248	30.403	OK	26-07-2022	16:11:16.751	9.248	1014	OK
26-07-2022	16:11:17.725	10.222	103.836	23.583	27	0	NotOK(11)	26-07-2022	16:11:17.725	10.222	30.340	OK	26-07-2022	16:11:17.725	10.222	1014	OK
26-07-2022	16:11:18.724	11.221	103.869	23.582	27	0	NotOK(11)	26-07-2022	16:11:18.724	11.221	30.301	OK	26-07-2022	16:11:18.724	11.221	1014	OK
26-07-2022	16:11:19.727	12.224	104.103	23.557	27	0	NotOK(11)	26-07-2022	16:11:19.727	12.224	30.288	OK	26-07-2022	16:11:19.727	12.224	1014	OK
26-07-2022	16:11:20.735	13.232	103.814	23.591	27	0	NotOK(11)	26-07-2022	16:11:20.735	13.232	30.266	OK	26-07-2022	16:11:20.735	13.232	1014	OK
26-07-2022	16:11:21.723	14.220	104.219	23.549	27	0	NotOK(11)	26-07-2022	16:11:21.723	14.220	30.213	OK	26-07-2022	16:11:21.723	14.220	1014	OK
26-07-2022	16:11:22.729	15.226	103.783	23.609	27	0	NotOK(11)	26-07-2022	16:11:22.729	15.226	30.097	OK	26-07-2022	16:11:22.729	15.226	1013	OK
26-07-2022	16:11:23.734	16.231	104.172	23.571	27	0	NotOK(11)	26-07-2022	16:11:23.734	16.231	30.020	OK	26-07-2022	16:11:23.734	16.231	1013	OK
26-07-2022	16:11:24.749	17.246	104.555	23.528	27	0	NotOK(11)	26-07-2022	16:11:24.749	17.246	30.009	OK	26-07-2022	16:11:24.749	17.246	1013	OK
26-07-2022	16:11:25.726	18.223	104.876	23.490	27	0	NotOK(11)	26-07-2022	16:11:25.726	18.223	30.028	OK	26-07-2022	16:11:25.726	18.223	1014	OK
26-07-2022	16:11:26.753	19.250	104.458	23.539	27	0	NotOK(11)	26-07-2022	16:11:26.753	19.250	30.004	OK	26-07-2022	16:11:26.753	19.250	1014	OK
26-07-2022	16:11:27.723	20.220	104.446	23.543	27	0	NotOK(11)	26-07-2022	16:11:27.723	20.220	29.966	OK	26-07-2022	16:11:27.723	20.220	1014	OK
26-07-2022	16:11:28.729	21.226	104.379	23.553	26	0	NotOK(11)	26-07-2022	16:11:28.729	21.226	29.940	OK	26-07-2022	16:11:28.729	21.226	1014	OK
26-07-2022	16:11:29.727	22.224	104.340	23.555	26	0	NotOK(11)	26-07-2022	16:11:29.727	22.224	29.974	OK	26-07-2022	16:11:29.727	22.224	1014	OK
26-07-2022	16:11:30.736	23.233	104.136	23.580	27	0	NotOK(11)	26-07-2022	16:11:30.736	23.233	29.952	OK	26-07-2022	16:11:30.736	23.233	1014	OK
26-07-2022	16:11:31.732	24.229	104.257	23.578	26	0	NotOK(11)	26-07-2022	16:11:31.732	24.229	29.796	OK	26-07-2022	16:11:31.732	24.229	1014	OK
26-07-2022	16:11:32.539	25.036	104.230	23.588	26	0	NotOK(11)	26-07-2022	16:11:32.539	25.036	29.710	OK	26-07-2022	16:11:32.539	25.036	1014	OK
26-07-2022	16:11:33.570	26.067	104.943	23.517	26	0	NotOK(11)	26-07-2022	16:11:33.570	26.067	29.598	OK	26-07-2022	16:11:33.570	26.067	1014	OK
26-07-2022	16:11:34.560	27.057	104.617	23.551	26	0	NotOK(11)	26-07-2022	16:11:34.560	27.057	29.633	OK	26-07-2022	16:11:34.560	27.057	1014	OK
26-07-2022	16:11:35.547	28.044	104.542	23.551	26	0	NotOK(11)	26-07-2022	16:11:35.547	28.044	29.737	OK	26-07-2022	16:11:35.547	28.044	1014	OK
26-07-2022	16:11:36.742	29.239	104.800	23.512	26	0	NotOK(11)	26-07-2022	16:11:36.742	29.239	29.860	OK	26-07-2022	16:11:36.742	29.239	1014	OK
26-07-2022	16:11:37.747	30.244	104.439	23.542	27	0	NotOK(11)	26-07-2022	16:11:37.747	30.244	29.985	OK	26-07-2022	16:11:37.747	30.244	1014	OK
26-07-2022	16:11:38.741	31.238	104.457	23.535	27	0	NotOK(11)	26-07-2022	16:11:38.741	31.238	30.058	OK	26-07-2022	16:11:38.741	31.238	1014	OK
26-07-2022	16:11:39.739	32.236	104.279	23.550	27	0	NotOK(11)	26-07-2022	16:11:39.739	32.236	30.124	OK	26-07-2022	16:11:39.739	32.236	1014	OK
26-07-2022	16:11:40.735	33.232	104.186	23.561	26	0	NotOK(11)	26-07-2022	16:11:40.735	33.232	30.119	OK	26-07-2022	16:11:40.735	33.232	1014	OK
26-07-2022	16:11:41.737	34.234	104.524	23.527	26	0	NotOK(11)	26-07-2022	16:11:41.737	34.234	30.054	OK	26-07-2022	16:11:41.737	34.234	1014	OK
26-07-2022	16:11:42.738	35.235	104.671	23.516	26	0	NotOK(11)	26-07-2022	16:11:42.738	35.235	29.994	OK	26-07-2022	16:11:42.738	35.235	1014	OK
26-07-2022	16:11:43.742	36.239	104.600	23.529	26	0	NotOK(11)	26-07-2022	16:11:43.742	36.239	29.920	OK	26-07-2022	16:11:43.742	36.239	1014	OK
26-07-2022	16:11:44.754	37.251	105.202	23.464	27	0	NotOK(11)	26-07-2022	16:11:44.754	37.251	29.889	OK	26-07-2022	16:11:44.754	37.251	1014	OK
26-07-2022	16:11:45.773	38.270	104.623	23.536	26	0	NotOK(11)	26-07-2022	16:11:45.773	38.270	29.811	OK	26-07-2022	16:11:45.773	38.270	1014	OK
26-07-2022	16:11:46.755	39.252	104.539	23.553	27	0	NotOK(11)	26-07-2022	16:11:46.755	39.252	29.717	OK	26-07-2022	16:11:46.755	39.252	1014	OK
26-07-2022	16:11:47.752	40.249	104.901	23.519	27	0	NotOK(11)	26-07-2022	16:11:47.752	40.249	29.630	OK	26-07-2022	16:11:47.752	40.249	1014	OK
26-07-2022	16:11:48.763	41.260	105.165	23.498	26	0	NotOK(11)	26-07-2022	16:11:48.763	41.260	29.519	OK	26-07-2022	16:11:48.763	41.260	1014	OK
