date,treatment-tank,trial-1,trial-2,trial-3,sex,integument-color,carapace-width,carapace-length,weight,number-legs,probe-number,sampling-ID,notes
7/8/22,1,1.09,1.32,1.31,F,Y,44,37,22.92,10,1,101,"skull, saved in 501"
7/8/22,1,1.06,1.32,1.87,M,Y,48,38,26.56,9,2,102,saved in 502
7/8/22,1,1.25,1,1.53,M,Y,47,38,24.62,10,3,103,saved in 503
7/8/22,1,1.22,1.03,1.87,F,G,41,32,14.31,10,,,
7/8/22,1,2.67,2.81,3.31,M,YO,42,36,21.26,10,,,
7/8/22,1,0.87,1.1,0.94,M,YG,48,40,29.21,10,,,
7/8/22,1,0.81,1.03,1.12,F,BG,42,34,16.73,10,,,
7/8/22,2,2.41,2.53,3.56,M,YG,52,41,29.64,10,1,201,saved in 101
7/8/22,2,10.09,11.47,5.25,M,YG,49,41,30.56,10,2,202,saved in 102
7/8/22,2,8.18,6.63,15.43,F,BG,49,40,24.31,10,3,203,saved in 103
7/8/22,2,5.13,20.31,37.06,F,BG,49,41,26.35,8,,,
7/8/22,2,20.5,17.13,12.28,M,Y,45,36,20.87,10,,,
7/8/22,2,6.12,13.88,20,F,Y,42,39,17.9,10,,,open abdomen
7/8/22,2,1.75,2.19,1.75,F,Y,43,35,17.75,10,,,
7/8/22,3,2.8,1.7,0.72,F,YO,40,35,17.1,10,,,
7/8/22,3,0.91,0.84,0.62,M,Y,50,39,28.08,10,1,301,
7/8/22,3,1.23,1.31,1.15,M,Y,52,41,35.43,10,,,
7/8/22,3,0.97,0.87,1.34,F,YO,37,31,13.25,10,,,
7/8/22,3,1.16,1.6,1.07,F,YG,49,39,29.31,8,2,302,
7/8/22,3,0.81,0.87,1.2,M,YG,52,41,34.09,9,,,
7/8/22,3,0.79,0.9,1.09,M,G,45,36,23.11,10,3,303,
7/8/22,4,0.88,0.93,1.03,M,G,47,39,25,10,1,401,
7/8/22,4,1.87,1.38,2.41,M,Y,47,39,26.06,9,2,402,
7/8/22,4,1.19,1.24,1.37,F,YG,40,34,16.23,10,,,
7/8/22,4,1.53,2.78,2,M,YG,48,38,25.85,10,,,
7/8/22,4,1.22,1.37,2.41,M,Y,41,34,16.1,10,,,
7/8/22,4,0.91,1.42,1.06,F,Y,44,36,19.21,10,3,403,
7/8/22,4,1.47,1.72,1.76,F,YO,45,37,21.47,10,,,
7/8/22,5,2.66,3,4,M,YG,46,39,25.01,10,1,501,saved in 201
7/8/22,5,1.34,2.29,1.63,F,BG,44,37,20.67,10,2,502,saved in 202
7/8/22,5,16.35,12.18,19.31,F,YG,39,32,14.09,10,,,
7/8/22,5,14.1,12.63,11.84,M,YG,54,44,37.71,10,,,
7/8/22,5,33.53,30.66,57.41,F,G,38,32,13.75,10,,,
7/8/22,5,5.37,8.9,5.9,M,YG,49,40,26.82,10,3,503,saved in 203
7/8/22,5,49.18,28.75,26.08,F,BG,40,34,15.1,10,,,
7/8/22,6,0.72,1,0.54,F,Y,41,34,17.32,10,,,
7/8/22,6,0.82,1.3,1.8,M,Y,48,38,26.33,10,1,601,
7/8/22,6,1.03,1,1.6,F,Y,42,36,20.06,10,2,602,
7/8/22,6,0.94,1.03,1.31,M,YO,43,35,21.38,10,3,603,
7/8/22,6,1.22,0.97,1.31,M,Y,44,34,19.41,10,,,
7/8/22,6,1.31,0.69,0.97,M,YG,39,31,14.61,10,,,
7/8/22,6,0.78,0.94,0.75,M,Y,42,33,15.58,10,,,
7/12/22,1,28.78,90.59,16.72,M,Y,42,36,21.4,9,,,
7/12/22,1,0.97,2.12,1.37,M,YG,48,38,24.23,9,1,,
7/12/22,1,1.25,1.43,0.97,F,BG,39,32,14.17,10,,,
7/12/22,1,0.94,1.34,1,F,BG,42,32,17.05,10,,,
7/12/22,1,0.72,1.16,1.16,M,YG,43,32,23.4,10,2,,
7/12/22,1,2.87,2.47,2.25,F,G,46,35,20.9,10,3,,
7/12/22,1,1.28,0.78,1.28,M,YG,48,40,29.72,10,,,indented abdomen
7/12/22,2,10.06,14.85,18.91,M,YG,49,39,25.68,10,1,,
7/12/22,2,2.41,2.46,2.91,M,YG,44,35,19,10,,,
7/12/22,2,6.78,7.84,15.03,F,G,49,41,26.24,10,2,,
7/12/22,2,7.06,1.84,1.38,M,YG,43,38,24.23,10,3,,
7/12/22,2,24.97,11.66,5.06,F,Y,42,35,17.93,10,,,
7/12/22,2,23,14.88,2.65,F,Y,42,35,17.63,10,,,
7/12/22,2,9.06,15.82,10.68,M,YG,52,42,35.66,7,,,-1 swimmer
7/12/22,3,0.84,0.92,0.97,M,Y,52,42,34.4,9,,,
7/12/22,3,1.31,1.16,1.07,M,YO,51,39,27.23,10,1,,
7/12/22,3,1.09,0.97,0.98,M,YG,53,41,35.34,10,,,
7/12/22,3,0.79,0.85,1,M,YG,52,41,34.37,10,,,
7/12/22,3,1.12,1.25,1.19,F,YO,44,36,18.92,10,2,,
7/12/22,3,0.75,0.78,0.82,M,YG,47,38,21.24,10,3,,
7/12/22,3,1.15,1.29,1.07,F,O,40,32,13.29,10,,,
7/12/22,4,0.66,0.97,1.06,M,Y,40,32,16.74,10,,,
7/12/22,4,0.62,1.22,1.9,M,Y,43,34,16.41,10,,,
7/12/22,4,1.28,0.87,0.96,F,O,44,35,22.17,10,1,,
7/12/22,4,1.38,0.94,0.72,M,YG,47,38,26.16,10,2,,
7/12/22,4,1.03,0.93,1.16,M,YG,50,40,26.35,10,3,,
7/12/22,4,0.5,0.35,0.44,F,YG,37,31,11.25,10,,,
7/12/22,4,0.5,1.4,1.1,F,O,39,32,13.17,10,,,
7/12/22,5,11.34,11.81,10,M,YG,39,31,13.3,10,,,
7/12/22,5,1.97,7.88,8.87,M,Y,45,36,23.2,10,2,,
7/12/22,5,7.82,13.07,12.16,M,YG,51,42,35.09,10,3,,
7/12/22,5,17.06,19.91,10.44,M,YG,56,47,50.75,10,,,
7/12/22,5,10.53,13.79,12.88,F,Y,44,37,21.26,9,1,,
7/12/22,5,7.19,10.78,8.81,M,Y,51,44,37.96,10,,,
7/12/22,5,20.21,19.82,24.5,M,Y,40,34,16.5,10,,,
7/12/22,6,0.66,0.72,0.43,M,Y,44,35,19.65,10,1,,
7/12/22,6,0.53,0.57,0.62,M,Y,44,36,19.01,9,,,-1 claw
7/12/22,6,0.72,0.56,0.69,M,Y,51,39,28.38,10,2,,
7/12/22,6,0.57,0.62,0.69,M,YG,39,31,13.68,10,,,
7/12/22,6,0.62,0.63,0.69,F,O,41,33,17.34,10,,,
7/12/22,6,0.75,0.85,0.94,F,YG,45,36,18.68,10,3,,
7/12/22,6,1.82,1.81,1.16,F,O,44,36,20.52,10,,,
7/15/22,1,1.47,0.72,0.69,M,YG,39,32,14.33,10,,,
7/15/22,1,1.41,2.34,2.75,M,Y,51,40,31.82,10,,,
7/15/22,1,1.81,1.37,1.75,M,YO,44,33,18.55,10,,,
