date,treatment-tank,weight,Average per tank,standardized values,Average SD value per tank
7/8/22,1,22.92,22.23,0.082157829,-0.028480363
7/8/22,1,26.56,,0.665814375,
7/8/22,1,24.62,,0.354744677,
7/8/22,1,14.31,,-1.298414385,
7/8/22,1,21.26,,-0.184015211,
7/8/22,1,29.21,,1.090729167,
7/8/22,1,16.73,,-0.910378989,
7/8/22,2,29.64,23.91,1.159677605,0.241128646
7/8/22,2,30.56,,1.307195194,
7/8/22,2,24.31,,0.305037664,
7/8/22,2,26.35,,0.632141881,
7/8/22,2,20.87,,-0.246549841,
7/8/22,2,17.9,,-0.7227751,
7/8/22,2,17.75,,-0.74682688,
7/8/22,3,17.1,25.77,-0.851051264,0.538683534
7/8/22,3,28.08,,0.909539086,
7/8/22,3,35.43,,2.088076342,
7/8/22,3,13.25,,-1.468380302,
7/8/22,3,29.31,,1.106763688,
7/8/22,3,34.09,,1.873213767,
7/8/22,3,23.11,,0.112623418,
7/8/22,4,25,21.42,0.415675855,-0.158818108
7/8/22,4,26.06,,0.585641772,
7/8/22,4,16.23,,-0.990551592,
7/8/22,4,25.85,,0.551969279,
7/8/22,4,16.1,,-1.011396468,
7/8/22,4,19.21,,-0.512722881,
7/8/22,4,21.47,,-0.150342718,
7/8/22,5,25.01,21.88,0.417279307,-0.084830249
7/8/22,5,20.67,,-0.278618882,
7/8/22,5,14.09,,-1.33369033,
7/8/22,5,37.71,,2.453663409,
7/8/22,5,13.75,,-1.3882077,
7/8/22,5,26.82,,0.707504128,
7/8/22,5,15.1,,-1.171741673,
7/8/22,6,17.32,19.24,-0.815775318,-0.507683461
7/8/22,6,26.33,,0.628934977,
7/8/22,6,20.06,,-0.376429457,
7/8/22,6,21.38,,-0.164773787,
7/8/22,6,19.41,,-0.48065384,
7/8/22,6,14.61,,-1.250310824,
7/8/22,6,15.58,,-1.094775975,
7/12/22,1,21.4,21.55,-0.20476286,-0.18619538
7/12/22,1,24.23,,0.138995806,
7/12/22,1,14.17,,-1.082987296,
7/12/22,1,17.05,,-0.733155155,
7/12/22,1,23.4,,0.038176126,
7/12/22,1,20.9,,-0.265497607,
7/12/22,1,29.72,,0.805863324,
7/12/22,2,25.68,23.77,0.315126571,0.082772783
7/12/22,2,19,,-0.496289644,
7/12/22,2,26.24,,0.383149487,
7/12/22,2,24.23,,0.138995806,
7/12/22,2,17.93,,-0.626262001,
7/12/22,2,17.63,,-0.662702849,
7/12/22,2,35.66,,1.527392113,
7/12/22,3,34.4,26.4,1.374340552,0.402411078
7/12/22,3,27.23,,0.503404285,
7/12/22,3,35.34,,1.488521875,
7/12/22,3,34.37,,1.370696467,
7/12/22,3,18.92,,-0.506007203,
7/12/22,3,21.24,,-0.224197979,
7/12/22,3,13.29,,-1.18988045,
7/12/22,4,16.74,18.89,-0.770810698,-0.509304232
7/12/22,4,16.41,,-0.810895631,
7/12/22,4,22.17,,-0.11123135,
7/12/22,4,26.16,,0.373431928,
7/12/22,4,26.35,,0.396511131,
7/12/22,4,11.25,,-1.437678216,
7/12/22,4,13.17,,-1.204456789,
7/12/22,5,13.3,28.29,-1.188665755,0.632682532
7/12/22,5,23.2,,0.013882228,
7/12/22,5,35.09,,1.458154502,
7/12/22,5,50.75,,3.360366766,
7/12/22,5,21.26,,-0.221768589,
7/12/22,5,37.96,,1.806771948,
7/12/22,5,16.5,,-0.799963377,
7/12/22,6,19.65,19.61,-0.417334473,-0.422366781
7/12/22,6,19.01,,-0.495074949,
7/12/22,6,28.38,,0.643094203,
7/12/22,6,13.68,,-1.142507348,
7/12/22,6,17.34,,-0.697929002,
7/12/22,6,18.68,,-0.535159882,
7/12/22,6,20.52,,-0.311656014,
7/15/22,1,14.33,19.63,-0.847004156,-0.253836464
7/15/22,1,31.82,,1.110449227,
7/15/22,1,18.55,,-0.374708371,
7/15/22,1,13.73,,-0.914155216,
7/15/22,1,23.83,,0.216220952,
7/15/22,1,18.08,,-0.427310035,
7/15/22,1,17.07,,-0.540347651,
7/15/22,2,26.68,24.76,0.535188484,0.320305094
7/15/22,2,35.08,,1.475303317,
7/15/22,2,17.36,,-0.507891306,
7/15/22,2,25.83,,0.440057817,
7/15/22,2,17.97,,-0.439621062,
7/15/22,2,30.42,,0.953763422,
7/15/22,2,19.98,,-0.214665013,
7/15/22,3,21.6,21.38,-0.033357152,-0.399810077
7/15/22,3,35.63,,1.536858455,
7/15/22,3,27.38,,0.613531387,
7/15/22,3,17.2,,-0.525798255,
7/15/22,3,13.17,,-0.976829538,
7/15/22,3,13.3,,-0.962280142,
7/15/22,3,16.9,,-2.450795293,
7/15/22,4,13,18.03,-0.995855671,-0.43306584
7/15/22,4,21.28,,-0.069171051,
7/15/22,4,16.38,,-0.61757137,
7/15/22,4,16.53,,-0.600783605,
7/15/22,4,1.33,,-2.301943778,
7/15/22,4,28.05,,0.688516737,
