day,contrast,null.value,ratio,std.error,df,null,statistic,adj.p.value
4,13C / 30C,0,2.2444619407798,0.564494412989229,Inf,1,3.2145061618472,0.00373838934088633
4,13C / 5C,0,0.192481137479318,0.0474938244622938,Inf,1,-6.67796640498885,7.2702621700671e-11
8,13C / 30C,0,1.76434406347749,0.369011864096408,Inf,1,2.71470264397072,0.0182095880783647
8,13C / 5C,0,0.189736300986506,0.0397265738573242,Inf,1,-7.93837679493924,4.81836792687318e-14
11,13C / 30C,0,1.47294508905019,0.28178584986245,Inf,1,2.02429752518654,0.106386000696787
11,13C / 5C,0,0.187703391321326,0.0360304619975376,Inf,1,-8.71505760871553,2.46469511466785e-14
15,13C / 30C,0,1.15786410830879,0.222891261100652,Inf,1,0.761430806904946,0.726687375546554
15,13C / 5C,0,0.185026686865656,0.0347355636594647,Inf,1,-8.98753924493397,2.02060590481778e-14
18,13C / 30C,0,0.966631331963374,0.204801626453917,Inf,1,-0.160182497948853,0.985954108567021
18,13C / 5C,0,0.183044237866229,0.0365318580469656,Inf,1,-8.50802973869621,2.8421709430404e-14
22,13C / 30C,0,0.759857060230828,0.194199224965037,Inf,1,-1.07454445895909,0.529904423925188
22,13C / 5C,0,0.18043397428158,0.0418009153133982,Inf,1,-7.39154624115712,4.55968596213552e-13
