day,contrast,null.value,ratio,std.error,df,null,statistic,adj.p.value
4,13C / 30C,0,1.77800988926602,0.328461539654576,Inf,1,3.11523616215107,0.00522398142144842
4,13C / 5C,0,0.161411246382238,0.0311687075978272,Inf,1,-9.4447870599578,2.66453525910038e-14
8,13C / 30C,0,1.52723699044125,0.219539218427096,Inf,1,2.94582493174723,0.00903676904584461
8,13C / 5C,0,0.167239895985271,0.0255974944974826,Inf,1,-11.6839346650817,0
11,13C / 30C,0,1.36265411156899,0.170583758215485,Inf,1,2.47181791790861,0.0358478026920581
11,13C / 5C,0,0.171749096879832,0.0229841221028763,Inf,1,-13.164475968286,0
15,13C / 30C,0,1.17046354855997,0.147222928888034,Inf,1,1.25137304858828,0.422931981006692
15,13C / 5C,0,0.177951051996264,0.0232395135661814,Inf,1,-13.2183242663165,0
18,13C / 30C,0,1.0443284027753,0.151475498279801,Inf,1,0.299036496254275,0.951903056039156
18,13C / 5C,0,0.182749052127287,0.0266666455222914,Inf,1,-11.647803565365,0
22,13C / 30C,0,0.897034924561236,0.1673425798019,Inf,1,-0.58247128814405,0.829512293991839
22,13C / 5C,0,0.189348221726745,0.0346285312625161,Inf,1,-9.09963975797094,3.80806497446429e-14
