treatment,contrast,null.value,ratio,std.error,df,null,statistic,adj.p.value
13C,day_factor4 / day_factor8,0,0.52794372180368,0.121457103702842,Inf,1,-2.77655461759864,0.0612458087103817
13C,day_factor4 / day_factor11,0,1.23885719274418,0.255912303284255,Inf,1,1.03687863379968,0.905570562753001
13C,day_factor4 / day_factor15,0,1.41764233294908,0.28801301133326,Inf,1,1.71780543709684,0.519855473554556
13C,day_factor4 / day_factor18,0,1.38468508994853,0.277792257859064,Inf,1,1.62235353993715,0.583629463059623
13C,day_factor4 / day_factor22,0,1.19649242841183,0.220380239321316,Inf,1,0.97397081784372,0.926280921692627
13C,day_factor8 / day_factor11,0,2.34657055587614,0.541460296322975,Inf,1,3.6965201780919,0.00299463326894323
13C,day_factor8 / day_factor15,0,2.68521487120978,0.619867226939295,Inf,1,4.27889996964578,0.000271243165671398
13C,day_factor8 / day_factor18,0,2.62278919657925,0.586367898168921,Inf,1,4.31298146383449,0.000233074171125058
13C,day_factor8 / day_factor22,0,2.26632570669484,0.476831604814125,Inf,1,3.88861973322824,0.00141179435359218
13C,day_factor11 / day_factor15,0,1.14431456769353,0.236173137983985,Inf,1,0.653166032645322,0.986820200077703
13C,day_factor11 / day_factor18,0,1.11771162815089,0.228526396110665,Inf,1,0.544281794228361,0.994316981576201
13C,day_factor11 / day_factor22,0,0.965803351201031,0.181402248042275,Inf,1,-0.185252180861874,0.999970025820611
13C,day_factor15 / day_factor18,0,0.976752074740891,0.196324606271464,Inf,1,-0.117028496199233,0.999996949604027
13C,day_factor15 / day_factor22,0,0.844001621990788,0.155457528468531,Inf,1,-0.920787848191728,0.941325664406826
13C,day_factor18 / day_factor22,0,0.864089919864958,0.156555681688927,Inf,1,-0.806262076213184,0.966482142497889
30C,day_factor4 / day_factor8,0,1.16756593000972,0.255403960030051,Inf,1,0.708214123468232,0.981027940380435
30C,day_factor4 / day_factor11,0,1.50158102025847,0.319903388313073,Inf,1,1.90814035170245,0.397005852774303
30C,day_factor4 / day_factor15,0,0.610845636735701,0.14769960543286,Inf,1,-2.03854660233429,0.320348472016161
30C,day_factor4 / day_factor18,0,1.2053471167479,0.262983430903291,Inf,1,0.856022656303499,0.956716668865381
30C,day_factor4 / day_factor22,0,0.912175696778194,0.226285313337361,Inf,1,-0.370548193807418,0.999093320267659
30C,day_factor8 / day_factor11,0,1.28607814056888,0.274488409000032,Inf,1,1.17882536510484,0.847137902300286
30C,day_factor8 / day_factor15,0,0.523178709685897,0.12884147138147,Inf,1,-2.63061261480013,0.0899606774664478
30C,day_factor8 / day_factor18,0,1.03235893217427,0.225257359144752,Inf,1,0.14595272270322,0.999990835135064
30C,day_factor8 / day_factor22,0,0.781262687898575,0.194430018930529,Inf,1,-0.991872968376035,0.92071199326651
30C,day_factor11 / day_factor15,0,0.406801650057187,0.0952475070237754,Inf,1,-3.84145937246232,0.00170435631643562
30C,day_factor11 / day_factor18,0,0.802718668181098,0.170102163409623,Inf,1,-1.03701333574049,0.905522782007892
30C,day_factor11 / day_factor22,0,0.607476842389216,0.14699589825318,Inf,1,-2.05986360491167,0.308600881357106
30C,day_factor15 / day_factor18,0,1.97324339286297,0.478927958272795,Inf,1,2.8003611953559,0.057375029184434
30C,day_factor15 / day_factor22,0,1.49329984847362,0.390963255451276,Inf,1,1.53159104075399,0.643753706032598
30C,day_factor18 / day_factor22,0,0.756774280291393,0.18713574984292,Inf,1,-1.1270193482569,0.870317566915456
5C,day_factor4 / day_factor8,0,1.30022732376126,0.331161431404105,Inf,1,1.03079796348062,0.907712135482392
5C,day_factor4 / day_factor11,0,4.57269309613592,1.37879151053991,Inf,1,5.04134336331903,6.86255587245554e-06
5C,day_factor4 / day_factor15,0,2.10356407082131,0.558421633814734,Inf,1,2.80125220799161,0.0572342126711369
5C,day_factor4 / day_factor18,0,1.82724062879789,0.448597984981962,Inf,1,2.45536858021667,0.137628843333042
5C,day_factor4 / day_factor22,0,2.1622301053402,0.496937258778877,Inf,1,3.35531781538322,0.0102930850751016
5C,day_factor8 / day_factor11,0,3.51684125734889,1.02306189475186,Inf,1,4.32295467827082,0.000222905676479423
5C,day_factor8 / day_factor15,0,1.6178433050739,0.433759597981226,Inf,1,1.79439177986592,0.469327170384387
5C,day_factor8 / day_factor18,0,1.40532397328192,0.361295003748064,Inf,1,1.32353500348767,0.77205274669562
5C,day_factor8 / day_factor22,0,1.66296313408132,0.401535855209936,Inf,1,2.10637419947656,0.283812422793629
5C,day_factor11 / day_factor15,0,0.460027390116972,0.134806819862531,Inf,1,-2.64969622320114,0.0856826110972395
5C,day_factor11 / day_factor18,0,0.399598352739213,0.117902940415557,Inf,1,-3.10891069669509,0.0231032978085994
5C,day_factor11 / day_factor22,0,0.472857036298227,0.131388185100041,Inf,1,-2.69546336177172,0.0760879036654128
5C,day_factor15 / day_factor18,0,0.868640349083575,0.231360269915219,Inf,1,-0.528730532459815,0.995038904294514
5C,day_factor15 / day_factor22,0,1.02788887456895,0.257788885470002,Inf,1,0.109679684158729,0.999997792347742
5C,day_factor18 / day_factor22,0,1.18333079467628,0.279697775267416,Inf,1,0.712175214880886,0.980550168046195
