treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
13C,Tank_1,1,-5880.95727586869,1.42749676740739e-142,0.895139055263706,-85.9757007968321,7.49772201199164e-51,0.313301561427647,-5794.98157507185,0.0146193377648935
13C,Tank_1,3,-5594.76943914013,1.02822657591435e-48,0.539416696910703,-59.19326026538,9.74071200359942e-46,0.285874802003066,-5554.9157926606,0.0105801071714007
13C,Tank_1,2,-4370.1135153007,8.97337300008393e-122,0.904378307303599,-39.8536464795334,2.53513763546052e-09,0.0576083797448741,-4310.92025503532,0.00911959067882271
13C,Tank_4,2,-6768.0977229782,3.87850423764006e-90,0.813207153661616,-118.578464209689,6.07506016742945e-107,0.553427602808716,-6648.69406186231,0.017520205686024
13C,Tank_4,1,-8663.9107075947,4.45515602929864e-227,0.99100941317471,-119.403661115885,1.17569144406019e-121,0.601135470575343,-8545.33224338501,0.0137817280378036
13C,Tank_4,3,-8968.06788927225,7.61048771749471e-134,0.912696668435362,-55.1093155129284,1.10962849391161e-39,0.25199185611603,-8912.95857375932,0.00614506002779608
30C,Tank_3,1,-10694.8171311152,2.64798357956824e-160,0.974373036299873,32.5659018025726,4.78948011436431e-18,0.117728054457983,-10727.3830329178,0.00304501717077762
30C,Tank_3,2,-8571.11477194904,3.3592584225897e-130,0.943900498620837,153.014393835727,3.55824415546902e-82,0.459923412549044,-8724.12916578477,0.0178523328536566
30C,Tank_3,3,-8061.54955808742,9.63509410347143e-32,0.648259935624912,36.4289577126174,6.01663706131702e-33,0.212466405733147,-8097.97851580004,0.0045188530381323
30C,Tank_6,1,-7387.22916269408,3.30320213377807e-115,0.896382528514215,-24.1269245559673,2.03268602901208e-11,0.0724525241003692,-7363.10223813812,0.00326603169126113
30C,Tank_6,2,-16646.6459709347,1.02017076607327e-102,0.983605326776803,-327.72758412103,2.92963757457735e-301,0.900053414582017,-16318.9183868137,0.0196873042589629
30C,Tank_6,3,-5626.70055939264,1.00477526248044e-153,0.875682198342518,-114.777896213646,1.19197398568008e-109,0.563219338245334,-5511.92266317899,0.0203987923299112
5C,Tank_2,1,-1180.9100543213,5.31587943736937e-64,0.590485505935155,55.9833378744581,4.68697263867728e-29,0.188706600749268,-1236.89339219575,0.0474069448977918
5C,Tank_2,2,-904.985114874138,0,0.956484295769573,114.273443125507,4.14522288105644e-76,0.434192479746777,-1019.25855799964,0.126271074791545
5C,Tank_2,3,-3984.61571132644,8.16990396969096e-236,0.8335819207987,63.9221386080475,2.22587212034877e-84,0.468979436389432,-4048.53784993449,0.0160422342426513
5C,Tank_5,2,-1192.8221158428,0,0.922692407452225,-77.7755078136869,8.47658256914283e-27,0.174874220614056,-1086.57397737694,0.065202939131233
5C,Tank_5,1,-2686.12268795718,0,0.844031904636338,-106.248138465864,9.44823516648244e-89,0.487073448889734,-2608.34718014349,0.0395544622523057
5C,Tank_5,3,-1539.65378141439,0,0.96996021720208,15.604807880175,5.64944694762293e-06,0.0338949005655057,-1555.25858929456,0.0101352707138093
