"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,0.090395,2,0.0031583,2.5005,0.24319,0.24319,0
"Pentose and glucuronate interconversions",17,0.19209,2,0.014494,1.8388,1,0.55803,0.16867
"Alanine, aspartate and glutamate metabolism",23,0.25989,2,0.025964,1.5856,1,0.61788,0
"Sphingolipid metabolism",27,0.30508,2,0.035126,1.4544,1,0.61788,0.01709
"Glycine, serine and threonine metabolism",29,0.32768,2,0.040122,1.3966,1,0.61788,0.31817
"Arginine biosynthesis",13,0.14689,1,0.13806,0.85992,1,1,0
"beta-Alanine metabolism",14,0.15819,1,0.14792,0.82996,1,1,0
"Pantothenate and CoA biosynthesis",20,0.22599,1,0.20495,0.68836,1,1,0
"One carbon pool by folate",23,0.25989,1,0.23213,0.63428,1,1,0.06787
"Glyoxylate and dicarboxylate metabolism",24,0.27119,1,0.24099,0.61799,1,1,0.03653
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",28,0.31638,1,0.27554,0.55982,1,1,0
"Arginine and proline metabolism",29,0.32768,1,0.28395,0.54677,1,1,0.04889
"Cysteine and methionine metabolism",32,0.36158,1,0.30863,0.51056,1,1,0
"Glycerophospholipid metabolism",32,0.36158,1,0.30863,0.51056,1,1,0.0233
"Valine, leucine and isoleucine degradation",38,0.42938,1,0.35569,0.44893,1,1,0.01038
"Amino sugar and nucleotide sugar metabolism",39,0.44068,1,0.36324,0.43981,1,1,0.08875
"Pyrimidine metabolism",40,0.45198,1,0.37071,0.43097,1,1,0.08516
