PC	metabolite	loading	cum_var	PubChem	KEGG
3	ribonic acid 	0.18979843223113	0.0360234448773947	5460677	C01685
3	N-alpha-acetyllysine 	0.188474775712762	0.0715461859573705	192590	
3	4-hydroxymandelic acid	0.188165820869237	0.106952562100764	328	C11527
3	N-acetylputrescine 	-0.185353791674895	0.141308590189025	122356	C02714
3	5-methoxytryptamine	0.182380608150977	0.174571276418545	1833	C05659
3	maleimide	-0.179510587472043	0.206795327433103	10935	C07272
3	thymine	0.179433433314837	0.238991684424253	1135	C00178
3	fumaric acid	-0.178415707166746	0.270823848988063	444972	C00122
3	asparagine	-0.173756318437958	0.301015107185176	6267	C00152
3	pinitol	0.16998713338355	0.329910732701133	164619	
3	aminomalonic acid	-0.1670505872676	0.357816631407582	100714	C00872
3	glycerol-alpha-phosphate	-0.165935700069449	0.38535128796512	754	C03189
3	isoxanthopterin	-0.159739398013697	0.410867963242899	10729	C03975
3	3-Aminopiperidine-2,6-dione 	-0.159131198090549	0.436190701448632	134508	
3	dopamine 	0.149110233119345	0.458424563069538	661	
3	hypoxanthine	-0.148194005053593	0.480386026203362	790	C00262
