PC,metabolite,statistic,p.adj,comparison,respirationMetabolites,calciumSignalingMetabolites,coldProtectionMetabolites,valineBiosynthesis,arginineBiosynthesis,glutathioneMetabolism,alanineMetabolism
3,N-acetylputrescine,2.92481880068378,0.0916976969344228,30v5_day3,N,N,N,N,N,N,N
3,N-acetylputrescine,-2.68821745865819,0.145853529825417,5_day3v22,N,N,N,N,N,N,N
3,maleimide,2.65824212752336,0.0951894259735713,30v5_day3,N,N,N,N,N,N,N
3,maleimide,-4.24802970982493,0.0193995165500347,5_day3v22,N,N,N,N,N,N,N
3,glycerol-alpha-phosphate,-3.64864167560302,0.0650603848252366,5_day3v22,N,N,N,N,N,N,N
3,fumaric acid,1.6555649497314,0.174065147664232,30v5_day3,Y,N,N,N,Y,N,Y
3,fumaric acid,-4.52524535836007,0.0243247263156702,5_day3v22,Y,N,N,N,Y,N,Y
3,asparagine,4.0644902367658,0.0450688256472698,30v5_day3,N,N,N,N,N,N,Y
3,asparagine,-4.90875122356711,0.0158741401734446,5_day3v22,N,N,N,N,N,N,Y
3,aminomalonic acid,1.57876267569901,0.175858059693615,30v5_day3,N,N,N,N,N,N,N
3,aminomalonic acid,-2.33492027892528,0.145853529825417,5_day3v22,N,N,N,N,N,N,N
3,isoxanthopterin,-3.17831656027619,0.0169190876001111,13v30_day22,N,N,N,N,N,N,N
3,isoxanthopterin,-1.64693206283301,0.253416321548007,5_day3v22,N,N,N,N,N,N,N
3,3-Aminopiperidine-2,6-dione,3.6079024901718,0.047519417406399,30v5_day3,N,N,N,N,N,N,N
3,3-Aminopiperidine-2,6-dione,-4.19908493156545,0.0323647200022262,5_day3v22,N,N,N,N,N,N,N
3,hypoxanthine,2.56890432965057,0.0951894259735713,30v5_day3,N,N,N,N,N,N,N
3,hypoxanthine,-1.90055398224634,0.224991241306735,5_day3v22,N,N,N,N,N,N,N
3,phenylethylamine,1.91397255151901,0.155247789955999,30v5_day3,N,N,N,N,N,N,N
3,phenylethylamine,2.7563690481787,0.0280256469669876,13v30_day22,N,N,N,N,N,N,N
3,phenylethylamine,1.85768733658698,0.0845038315025161,13v5_day22,N,N,N,N,N,N,N
3,phenylethylamine,-6.54327871831893,0.000709302949273104,5_day3v22,N,N,N,N,N,N,N
3,4-hydroxymandelic acid,-2.08729637187611,0.13740702571337,30v5_day3,N,N,N,N,N,N,N
3,4-hydroxymandelic acid,2.54635441864198,0.0258506006665393,13v5_day22,N,N,N,N,N,N,N
3,ribonic acid,-1.796203872353,0.155247789955999,30v5_day3,N,N,N,N,N,N,N
3,ribonic acid,2.50438984117846,0.145853529825417,5_day3v22,N,N,N,N,N,N,N
3,cytosine,-1.73658870475588,0.159956499543222,30v5_day3,N,N,N,N,N,N,N
3,cytosine,3.43397901004393,0.0115165687418758,13v30_day22,N,N,N,N,N,N,N
3,cytosine,2.5610704190959,0.0307200085623064,30v5_day22,N,N,N,N,N,N,N
3,dopamine,-1.35397294101059,0.238628664398003,30v5_day3,N,N,N,N,N,N,N
3,dopamine,0.467586499436386,0.658511741711025,13v5_day22,N,N,N,N,N,N,N
3,pinitol,8.08587849359808,1.69596280577231e-07,13v5_day22,N,N,N,N,N,N,N
3,pinitol,-2.87317627701633,0.0271396736902173,30v5_day22,N,N,N,N,N,N,N
3,5-methoxytryptamine,-2.54847698886276,0.0951894259735713,30v5_day3,N,N,N,N,N,N,N
3,5-methoxytryptamine,-1.90426993402508,0.0980590532612679,13v30_day22,N,N,N,N,N,N,N
3,tyramine,-2.08177291733997,0.13740702571337,30v5_day3,N,N,N,N,N,N,N
3,tyramine,-2.37335301293534,0.0530399355145978,13v30_day22,N,N,N,N,N,N,N
3,tyramine,-2.2269573766104,0.0621785918240379,30v5_day22,N,N,N,N,N,N,N
3,tyramine,3.15164782644921,0.0869103728724172,5_day3v22,N,N,N,N,N,N,N
3,N-alpha-acetyllysine,-2.62267753830046,0.0951894259735713,30v5_day3,N,N,N,N,N,N,N
3,thymine,NA,NA,NA,N,N,N,N,N,N,N
3,synephrine,-2.83427163731124,0.0916976969344228,30v5_day3,N,N,N,N,N,N,N
