PC,metabolite,statistic,p.adj,comparison,respirationMetabolites,calciumSignalingMetabolites,coldProtectionMetabolites,valineBiosynthesis,arginineBiosynthesis,glutathioneMetabolism,alanineMetabolism
4,cytosine,3.43397901004393,0.0115165687418758,13v30_day22,N,N,N,N,N,N,N
4,cytosine,2.5610704190959,0.0307200085623064,30v5_day22,N,N,N,N,N,N,N
4,alpha-ketoglutarate,2.47552237789119,0.0276341449664906,13v5_day22,Y,N,N,N,Y,N,Y
4,glycerol-alpha-phosphate,NA,NA,NA,N,N,N,N,N,N,N
4,adenosine-5-monophosphate,5.00884944187329,0.000718362859367115,13v30_day22,N,N,N,N,N,N,N
4,UDP-N-acetylglucosamine,4.82809517673556,0.000226287212437635,13v5_day22,N,N,N,N,N,N,N
4,UDP-N-acetylglucosamine,-3.22143361769381,0.0164381748469789,30v5_day22,N,N,N,N,N,N,N
4,uridine,2.46866623037814,0.0276341449664906,13v5_day22,N,N,N,N,N,N,N
4,glutamate,NA,NA,NA,N,N,N,N,N,N,N
4,dimethylglycine,2.69852605784281,0.0240040681123597,13v5_day22,N,N,N,N,N,N,N
4,ribitol,NA,NA,NA,N,N,N,N,N,N,N
4,2-hydroxyglutaric acid,3.67857210964939,0.00374545428443136,13v5_day22,N,N,N,N,N,N,N
4,citrulline,NA,NA,NA,N,N,N,N,Y,N,N
4,hydroxylamine,NA,NA,NA,N,N,N,N,N,N,N
4,phenylalanine,3.8159879970043,0.047519417406399,30v5_day3,N,N,N,N,N,N,N
4,phenylalanine,2.91046803735627,0.0165041680096019,30v5_day22,N,N,N,N,N,N,N
4,lysine,3.73853361941818,0.0450688256472698,30v5_day3,N,N,N,N,N,N,N
4,lactobionic acid,NA,NA,NA,N,N,N,N,N,N,N
4,methionine,5.69848947108204,0.0450688256472698,30v5_day3,N,N,N,N,N,N,N
4,methionine,3.88956796360263,0.00640800571579145,13v30_day22,N,N,N,N,N,N,N
4,methionine,3.21149351168878,0.0128483463266885,30v5_day22,N,N,N,N,N,N,N
4,tyrosine,3.57845124838795,0.047519417406399,30v5_day3,N,Y,N,N,N,N,N
4,isoleucine,3.91400652383543,0.0450688256472698,30v5_day3,N,N,N,N,N,N,N
4,isoleucine,3.49563953136309,0.0115165687418758,13v30_day22,N,N,N,N,N,N,N
4,isoleucine,3.09612986956906,0.0138455212436746,30v5_day22,N,N,N,N,N,N,N
4,n-epsilon-trimethyllysine,NA,NA,NA,N,N,N,N,N,N,N
4,N-acetylmethionine,NA,NA,NA,N,N,N,N,N,N,N
