Module,treatment_day,metabolite_expression
4,13_3,0
6,13_3,0
8,13_3,0
0,13_3,0
3,13_3,0
1,13_3,0
7,13_3,0
2,13_3,0
5,13_3,0
4,13_22,-0.444456961561365
6,13_22,2.48146358578006
8,13_22,2.02883799960056
0,13_22,0.0734486264426724
3,13_22,0.740965498470206
1,13_22,1.4726386024704
7,13_22,0.374296888246069
2,13_22,1.16765010529311
5,13_22,3.47291899819022
4,5_3,-0.800134150305036
6,5_3,-1.37742364336607
8,5_3,1.833018086
0,5_3,5.39939536301715
3,5_3,1.36926753769209
1,5_3,2.18623075014132
7,5_3,-0.530263590279271
2,5_3,-1.00638776679509
5,5_3,1.48280621287542
4,5_22,-1.00341700678277
6,5_22,-3.20138439353692
8,5_22,1.53766946460033
0,5_22,-6.86400677932399
3,5_22,-0.658399056727723
1,5_22,0.200796392181274
7,5_22,-2.15644952468313
2,5_22,0.9833256196379
5,5_22,3.90536029512659
4,30_3,-2.30575940706163
6,30_3,-1.68515431002278
8,30_3,-0.520988904541762
0,30_3,-2.88003994027947
3,30_3,2.74143942508503
1,30_3,0.311122054521333
7,30_3,-2.04252508562689
2,30_3,1.54546023810857
5,30_3,-9.25050593357878
4,30_22,-2.09627023273558
6,30_22,-3.87075797103097
8,30_22,-1.22311623723677
0,30_22,5.1621581894759
3,30_22,4.19434638900174
1,30_22,1.90745446765203
7,30_22,-1.82945121040678
2,30_22,2.15784005682059
5,30_22,-3.54323065403063
