"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,0.1374,2,0.0073435,2.1341,0.56545,0.43487,0
"Arginine biosynthesis",12,0.20611,2,0.016617,1.7794,1,0.43487,0
"beta-Alanine metabolism",14,0.24046,2,0.02245,1.6488,1,0.43487,0.277
"Amino sugar and nucleotide sugar metabolism",39,0.66985,3,0.026404,1.5783,1,0.43487,0.08966
"Pyrimidine metabolism",40,0.68702,3,0.028238,1.5492,1,0.43487,0.15635
"Pantothenate and CoA biosynthesis",20,0.34351,2,0.044102,1.3555,1,0.56597,0.04459
"Alanine, aspartate and glutamate metabolism",23,0.39504,2,0.056968,1.2444,1,0.62664,0.06757
"Lipoic acid metabolism",27,0.46374,2,0.075904,1.1197,1,0.6494,0
"Sphingolipid metabolism",27,0.46374,2,0.075904,1.1197,1,0.6494,0.01709
"Glycine, serine and threonine metabolism",29,0.49809,2,0.086046,1.0653,1,0.66255,0.31817
"Nicotinate and nicotinamide metabolism",9,0.15458,1,0.14489,0.83896,1,1,0
"Butanoate metabolism",14,0.24046,1,0.21657,0.6644,1,1,0
"Pentose and glucuronate interconversions",17,0.29198,1,0.25682,0.59038,1,1,0.16867
"Propanoate metabolism",20,0.34351,1,0.2951,0.53003,1,1,0
"Citrate cycle (TCA cycle)",20,0.34351,1,0.2951,0.53003,1,1,0.05856
"Glyoxylate and dicarboxylate metabolism",24,0.41221,1,0.34326,0.46438,1,1,0.06667
"Lysine degradation",26,0.44656,1,0.36616,0.43633,1,1,0
"Arginine and proline metabolism",29,0.49809,1,0.39909,0.39893,1,1,0.04889
"Tryptophan metabolism",30,0.51527,1,0.40971,0.38753,1,1,0
"Cysteine and methionine metabolism",32,0.54962,1,0.43041,0.36612,1,1,0
"Glycerophospholipid metabolism",32,0.54962,1,0.43041,0.36612,1,1,0.0233
"Valine, leucine and isoleucine degradation",38,0.65267,1,0.48847,0.31116,1,1,0.01038
"Purine metabolism",68,1.1679,1,0.70412,0.15235,1,1,0.01912
