metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	PubChem	KEGG
2-ketoadipic acid 	-0.743248571017206	8.39713450851598	9.14038307953318	-3.25241926843677	0.0065986516308169	12.4957142146027	-1.23897279362569	-0.24752434840872	Welch Two Sample t-test	two.sided	0.0164381748469789	71	C00322
4-hydroxybenzoate	-0.67712482110429	7.60177091103533	8.27889573213962	-4.066352468886	0.000784968781224687	17.2152034286227	-1.02811488103086	-0.326134761177717	Welch Two Sample t-test	two.sided	0.00863465659347156	135	C00156
N-acetylgalactosamine	-1.44005381078561	5.60615870186224	7.04621251264785	-8.09073925220471	1.25490566707256e-08	26.4650722778539	-1.80560055297471	-1.07450706859651	Welch Two Sample t-test	two.sided	8.28237740267888e-07	440552	C05021
N-methylethanolamine	0.742842397056158	13.0036314542101	12.2607890571539	3.12772189868614	0.00650055313525825	15.9770174219389	0.239300295784097	1.24638449832822	Welch Two Sample t-test	two.sided	0.0164381748469789	8016	
UDP-N-acetylglucosamine 	-0.564957484847033	8.00440400456866	8.5693614894157	-3.22143361769381	0.00642981870216031	13.4567802002462	-0.942528000292184	-0.187386969401883	Welch Two Sample t-test	two.sided	0.0164381748469789	445675	C00043
adipic acid	-0.822737555513132	8.76010307487683	9.58284063038997	-3.05290088491039	0.00672470789194592	18.3954179270578	-1.3880516997743	-0.257423411251969	Welch Two Sample t-test	two.sided	0.0164381748469789	196	C06104
alanine	0.489565099238229	15.6327943701591	15.1432292709209	2.33893711333095	0.0282722603941704	23.292951911405	0.0568735857939128	0.922256612682545	Welch Two Sample t-test	two.sided	0.0466492296503812	5950	C00041
arabitol	-0.403419737699932	7.92765977249338	8.33107951019331	-3.31691998480495	0.00306772872335366	22.4993807450979	-0.655329941973659	-0.151509533426205	Welch Two Sample t-test	two.sided	0.0126543809838338	94154	C01904
arachidic acid	-0.875021570990941	7.77864714329092	8.65366871428186	-3.44527274632649	0.00270221505490887	19.0591353910008	-1.4064908627959	-0.34355227918598	Welch Two Sample t-test	two.sided	0.011889746241599	10467	C06425
cadaverine	-1.41744213545481	11.8744486089188	13.2918907443737	-4.32228187826936	0.000239875926036926	23.6163307877448	-2.09485605355276	-0.740028217356853	Welch Two Sample t-test	two.sided	0.00395795277960927	273	
cytosine	0.597119629444888	8.47939057840495	7.88227094896006	2.5610704190959	0.0167563683067126	25.3525775619968	0.117271723921895	1.07696753496788	Welch Two Sample t-test	two.sided	0.0307200085623064	597	C00380
glucose-1-phosphate	-0.488101539153652	9.47515969273733	9.96326123189099	-2.44858946170715	0.0307463734545676	11.9509921949921	-0.922623452629976	-0.0535796256773276	Welch Two Sample t-test	two.sided	0.0483157297143205	65533	C00103
glutaric acid	-0.713117422888646	6.18767956132766	6.90079698421631	-3.53683545766627	0.00240443625593477	17.7106821450488	-1.13721415137143	-0.289020694405861	Welch Two Sample t-test	two.sided	0.0113351994922639	743	C00489
glycine	0.672530637137651	14.8649794776469	14.1924488405092	3.72692935301711	0.0018874703533929	15.7037950428017	0.289402919123595	1.05565835515171	Welch Two Sample t-test	two.sided	0.0113248221203574	750	C00037
heptadecanoic acid	-0.660842671924987	8.57458856209328	9.23543123401827	-2.70748821693036	0.0156730344148375	15.7807494080088	-1.17885320846258	-0.142832135387396	Welch Two Sample t-test	two.sided	0.0295548648965507	10465	
hydroquinone	-0.960748634225918	6.74507408182428	7.7058227160502	-4.04074614898081	0.00139294656193663	13.0364765355248	-1.47426296096728	-0.447234307484554	Welch Two Sample t-test	two.sided	0.0113248221203574	785	C00530
hypotaurine	-0.872035593995681	8.54131547811014	9.41335107210582	-2.8040535582793	0.0120356553572474	17.3393841383745	-1.52719244898893	-0.216878739002437	Welch Two Sample t-test	two.sided	0.0264784417859442	107812	C00519
isogluconic acid	-0.522705218895324	7.34338529594628	7.8660905148416	-3.56827534820639	0.00162388154580305	23.1008497496656	-0.825663056303611	-0.219747381487037	Welch Two Sample t-test	two.sided	0.0113248221203574	604	C02341
isoleucine 	0.817280474159402	13.1655537916413	12.3482733174819	3.09612986956906	0.00482495437279569	24.732352505765	0.273328888943094	1.36123205937571	Welch Two Sample t-test	two.sided	0.0138455212436746	6306	C00407
leucine	0.704477599015519	13.5258728812575	12.821395282242	3.19500695376609	0.00376330663142422	24.9866328995578	0.250350846298313	1.15860435173272	Welch Two Sample t-test	two.sided	0.0137544701276571	6106	C00123
