metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	comparison	module
cytosine	0.768014633345744	8.6502855823058	7.88227094896006	3.43397901004393	0.00214016861155154	24.3184688398601	0.30674025866905	1.22928900802244	Welch Two Sample t-test	two.sided	0.0115165687418758	13v30_day22	module0
isoxanthopterin	-0.925611976545277	5.00728161211624	5.93289358866151	-3.17831656027619	0.00489063087517206	19.2472547769861	-1.5346277948288	-0.316596158261751	Welch Two Sample t-test	two.sided	0.0169190876001111	13v30_day22	module0
malic acid	-1.63994436049812	8.55709296114885	10.197037321647	-4.11954048865993	0.000593333862573283	18.8190731303085	-2.4736970261832	-0.806191694813036	Welch Two Sample t-test	two.sided	0.00640800571579145	13v30_day22	module0
phosphoethanolamine	0.596622400464347	8.15464438503641	7.55802198457206	2.66641082852204	0.015726992776451	18.0121891762339	0.126553670253902	1.06669113067479	Welch Two Sample t-test	two.sided	0.0314668516712722	13v30_day22	module0
2-ketoadipic acid 	0.402268277248362	8.79940278576434	8.39713450851598	2.51953327473573	0.0164317814705477	35.2606678440448	0.0782272053350564	0.726309349161668	Welch Two Sample t-test	two.sided	0.0265436469908847	13v5_day22	module0
UDP-N-acetylglucosamine 	0.525000852045721	8.52940485661439	8.00440400456866	4.82809517673556	2.15511630892986e-05	38.9649223422115	0.305049715313119	0.744951988778324	Welch Two Sample t-test	two.sided	0.000226287212437635	13v5_day22	module0
beta-alanine	0.907091231455354	8.28486186176126	7.37777063030591	3.76303614069512	0.000566922626542248	37.9723181251465	0.41909321896505	1.39508924394566	Welch Two Sample t-test	two.sided	0.0029763437893468	13v5_day22	module0
dimethylglycine	1.12191894461324	10.5573893205949	9.43547037598168	2.69852605784281	0.012820252454938	23.0052968988701	0.261880336581928	1.98195755264456	Welch Two Sample t-test	two.sided	0.0240040681123597	13v5_day22	module0
methionine sulfoxide	0.435958900901243	10.914052997201	10.4780940962998	3.16827999656447	0.00300129975276309	38.4821712496397	0.157514554408475	0.71440324739401	Welch Two Sample t-test	two.sided	0.00840363930773664	13v5_day22	module0
phosphoethanolamine	0.995878854752732	8.15464438503641	7.15876553028367	5.79011582507434	1.03829829471253e-06	38.7157026459585	0.647901677923545	1.34385603158192	Welch Two Sample t-test	two.sided	2.18042641889632e-05	13v5_day22	module0
pyrrole-2-carboxylic acid	0.806567975523088	8.24789557505612	7.44132759953303	2.78457458121897	0.00822721842506063	38.9986511253809	0.220683318083874	1.3924526329623	Welch Two Sample t-test	two.sided	0.0172771586926273	13v5_day22	module0
urea	0.545618588674111	10.8272005061407	10.2815819174666	2.82810557373665	0.00737455904232416	38.745180326998	0.155304348198722	0.935932829149501	Welch Two Sample t-test	two.sided	0.0166198679035991	13v5_day22	module0
