"","total","expected","hits","Raw p","Holm p","FDR"
"Valine, leucine and isoleucine biosynthesis",8,0.244,5,1.12e-06,8.97e-05,5.86e-05
"Arginine biosynthesis",14,0.428,6,1.47e-06,0.000116,5.86e-05
"Glutathione metabolism",28,0.855,6,0.000133,0.0104,0.00354
"Alanine, aspartate and glutamate metabolism",28,0.855,5,0.00124,0.0956,0.0215
"Phenylalanine metabolism",8,0.244,3,0.00134,0.102,0.0215
"Arginine and proline metabolism",36,1.1,5,0.00396,0.297,0.0528
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.122,2,0.00527,0.39,0.0602
"Glyoxylate and dicarboxylate metabolism",31,0.947,4,0.0131,0.958,0.131
"Glycine, serine and threonine metabolism",33,1.01,4,0.0163,1,0.131
"Cysteine and methionine metabolism",33,1.01,4,0.0163,1,0.131
"Citrate cycle (TCA cycle)",20,0.611,3,0.0211,1,0.154
"Valine, leucine and isoleucine degradation",39,1.19,4,0.0287,1,0.191
"Tyrosine metabolism",42,1.28,4,0.0365,1,0.225
"Butanoate metabolism",15,0.458,2,0.0745,1,0.426
"Histidine metabolism",16,0.489,2,0.0835,1,0.445
"Ubiquinone and other terpenoid-quinone biosynthesis",18,0.55,2,0.102,1,0.512
"Pantothenate and CoA biosynthesis",20,0.611,2,0.122,1,0.576
"Pyruvate metabolism",23,0.702,2,0.154,1,0.685
"Nitrogen metabolism",6,0.183,1,0.17,1,0.716
"Lipoic acid metabolism",28,0.855,2,0.21,1,0.781
"Taurine and hypotaurine metabolism",8,0.244,1,0.22,1,0.781
"Sulfur metabolism",8,0.244,1,0.22,1,0.781
"Lysine degradation",30,0.916,2,0.232,1,0.781
"Porphyrin metabolism",31,0.947,2,0.244,1,0.781
"Ascorbate and aldarate metabolism",9,0.275,1,0.244,1,0.781
"Sphingolipid metabolism",32,0.977,2,0.255,1,0.786
"Biotin metabolism",10,0.305,1,0.267,1,0.792
"Biosynthesis of unsaturated fatty acids",36,1.1,2,0.302,1,0.862
"Pyrimidine metabolism",39,1.19,2,0.336,1,0.927
"Tryptophan metabolism",41,1.25,2,0.359,1,0.933
"Purine metabolism",70,2.14,3,0.362,1,0.933
"D-Amino acid metabolism",15,0.458,1,0.373,1,0.933
"Primary bile acid biosynthesis",46,1.4,2,0.414,1,1
"Pentose and glucuronate interconversions",19,0.58,1,0.447,1,1
"Selenocompound metabolism",20,0.611,1,0.464,1,1
"beta-Alanine metabolism",21,0.641,1,0.481,1,1
"Propanoate metabolism",21,0.641,1,0.481,1,1
"Galactose metabolism",27,0.825,1,0.57,1,1
"Inositol phosphate metabolism",30,0.916,1,0.609,1,1
"Glycerophospholipid metabolism",36,1.1,1,0.677,1,1
"Amino sugar and nucleotide sugar metabolism",42,1.28,1,0.733,1,1
