"","total","expected","hits","Raw p","Holm p","FDR"
"Alanine, aspartate and glutamate metabolism",28,0.182,2,0.0131,1,0.481
"Glutathione metabolism",28,0.182,2,0.0131,1,0.481
"Glycine, serine and threonine metabolism",33,0.215,2,0.018,1,0.481
"Tyrosine metabolism",42,0.273,2,0.0285,1,0.57
"Valine, leucine and isoleucine biosynthesis",8,0.052,1,0.051,1,0.815
"Selenocompound metabolism",20,0.13,1,0.123,1,1
"Lipoic acid metabolism",28,0.182,1,0.168,1,1
"Porphyrin metabolism",31,0.202,1,0.185,1,1
"Glyoxylate and dicarboxylate metabolism",32,0.208,1,0.19,1,1
"Glycerophospholipid metabolism",36,0.234,1,0.211,1,1
"Pyrimidine metabolism",39,0.254,1,0.227,1,1
"Tryptophan metabolism",41,0.267,1,0.237,1,1
"Primary bile acid biosynthesis",46,0.299,1,0.263,1,1
