metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	comparison	pathway
isoleucine 	0.812688989568727	13.1609623070506	12.3482733174819	3.49563953136309	0.0023459677066784	19.5015039947605	0.326934722510797	1.29844325662666	Welch Two Sample t-test	two.sided	0.0115165687418758	13v30_day22	valineBiosynthesis
leucine	0.759621520808528	13.5810168030505	12.821395282242	3.9123406325859	0.000871634867166309	19.8801426384265	0.354453482495796	1.16478955912126	Welch Two Sample t-test	two.sided	0.00672404040385438	13v30_day22	valineBiosynthesis
threonine	0.744870364955341	11.2618854500124	10.517015085057	4.11676348906737	0.00075877069654416	16.5345414053256	0.362308700163268	1.12743202974741	Welch Two Sample t-test	two.sided	0.00672404040385438	13v30_day22	valineBiosynthesis
valine 	0.923841173911804	12.9236404514749	11.9997992775631	3.95814449608955	0.0013230428918778	14.6103693773885	0.425197318923999	1.42248502889961	Welch Two Sample t-test	two.sided	0.00793825735126681	13v30_day22	valineBiosynthesis
2-ketoisocaproic acid	0.767603060914636	9.35352353917153	8.58592047825689	3.01324155811332	0.00471546829899483	35.9313141451076	0.250925433142547	1.28428068868673	Welch Two Sample t-test	two.sided	0.011649980503399	13v5_day22	valineBiosynthesis
threonine	0.449377451738901	11.2618854500124	10.8125079982735	3.32802721431409	0.00191697742105052	38.9972065089207	0.176256556220925	0.722498347256876	Welch Two Sample t-test	two.sided	0.00575093226315157	13v5_day22	valineBiosynthesis
alpha-ketoglutarate	0.761277337586804	10.4894661297167	9.7281887921299	2.47552237789119	0.0180859008018168	36.4194417364247	0.137843336630471	1.38471133854314	Welch Two Sample t-test	two.sided	0.0276341449664906	13v5_day22	arginineBiosynthesis
urea	0.545618588674111	10.8272005061407	10.2815819174666	2.82810557373665	0.00737455904232416	38.745180326998	0.155304348198722	0.935932829149501	Welch Two Sample t-test	two.sided	0.0166198679035991	13v5_day22	arginineBiosynthesis
fumaric acid	-0.996658370935226	8.77137533007714	9.76803370101236	-4.52524535836007	0.00190782167181727	8.04712116923539	-1.5040248662072	-0.489291875663249	Welch Two Sample t-test	two.sided	0.0243247263156702	5_day3v22	arginineBiosynthesis
glycine	0.597740764013082	14.7901896045223	14.1924488405092	3.38580027606154	0.00418685633886806	14.670316472078	0.220709503433681	0.974772024592483	Welch Two Sample t-test	two.sided	0.0169190876001111	13v30_day22	glutathioneMetabolism
putrescine	-1.37831553015729	9.40309592914194	10.7814114592992	-3.77704115461811	0.00278554960102712	11.6224492279759	-2.1762806230061	-0.58035043730847	Welch Two Sample t-test	two.sided	0.012534973204622	13v30_day22	glutathioneMetabolism
putrescine	-0.81254560805372	9.34962533174991	10.1621709398036	-3.50605839138441	0.00380761411790897	13.1495474052617	-1.31264305152729	-0.312448164580152	Welch Two Sample t-test	two.sided	0.0323647200022262	5_day3v22	glutathioneMetabolism
alanine	-0.620325167597889	15.0124692025612	15.6327943701591	-3.60235494068877	0.00101295571074064	33.3748498615473	-0.970519080613971	-0.270131254581807	Welch Two Sample t-test	two.sided	0.00393939824953152	13v5_day22	alanineMetabolism
alpha-ketoglutarate	0.761277337586804	10.4894661297167	9.7281887921299	2.47552237789119	0.0180859008018168	36.4194417364247	0.137843336630471	1.38471133854314	Welch Two Sample t-test	two.sided	0.0276341449664906	13v5_day22	alanineMetabolism
asparagine	-0.785774312752023	10.2024873041049	10.9882616168569	-4.90875122356711	0.000622515300919395	9.95897836524051	-1.14264558697961	-0.428903038524439	Welch Two Sample t-test	two.sided	0.0158741401734446	5_day3v22	alanineMetabolism
fumaric acid	-0.996658370935226	8.77137533007714	9.76803370101236	-4.52524535836007	0.00190782167181727	8.04712116923539	-1.5040248662072	-0.489291875663249	Welch Two Sample t-test	two.sided	0.0243247263156702	5_day3v22	alanineMetabolism
