metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	PubChem	KEGG
adipic acid	-0.822737555513132	8.76010307487683	9.58284063038997	-3.05290088491039	0.00672470789194592	18.3954179270578	-1.3880516997743	-0.257423411251969	Welch Two Sample t-test	two.sided	0.0164381748469789	196	C06104
arachidic acid	-0.875021570990941	7.77864714329092	8.65366871428186	-3.44527274632649	0.00270221505490887	19.0591353910008	-1.4064908627959	-0.34355227918598	Welch Two Sample t-test	two.sided	0.011889746241599	10467	C06425
cadaverine	-1.41744213545481	11.8744486089188	13.2918907443737	-4.32228187826936	0.000239875926036926	23.6163307877448	-2.09485605355276	-0.740028217356853	Welch Two Sample t-test	two.sided	0.00395795277960927	273	
glucose-1-phosphate	-0.488101539153652	9.47515969273733	9.96326123189099	-2.44858946170715	0.0307463734545676	11.9509921949921	-0.922623452629976	-0.0535796256773276	Welch Two Sample t-test	two.sided	0.0483157297143205	65533	C00103
heptadecanoic acid	-0.660842671924987	8.57458856209328	9.23543123401827	-2.70748821693036	0.0156730344148375	15.7807494080088	-1.17885320846258	-0.142832135387396	Welch Two Sample t-test	two.sided	0.0295548648965507	10465	
hypotaurine	-0.872035593995681	8.54131547811014	9.41335107210582	-2.8040535582793	0.0120356553572474	17.3393841383745	-1.52719244898893	-0.216878739002437	Welch Two Sample t-test	two.sided	0.0264784417859442	107812	C00519
isogluconic acid	-0.522705218895324	7.34338529594628	7.8660905148416	-3.56827534820639	0.00162388154580305	23.1008497496656	-0.825663056303611	-0.219747381487037	Welch Two Sample t-test	two.sided	0.0113248221203574	604	C02341
levoglucosan	-0.580990722892412	8.12578959654294	8.70678031943535	-3.99200711484719	0.000429467570819333	27.9925760122595	-0.879116385425039	-0.282865060359786	Welch Two Sample t-test	two.sided	0.0056689719348152	2724705	C22350
phenylalanine	0.657730785552539	13.2827972421093	12.6250664565567	2.91046803735627	0.00700176824649777	27.9982305431765	0.194814080310442	1.12064749079464	Welch Two Sample t-test	two.sided	0.0165041680096019	6140	C00079
phosphoinositol	-0.778015771576043	6.14166775154276	6.91968352311881	-3.32816693026897	0.00416896741958382	16.3060680857014	-1.27282487235579	-0.283206670796292	Welch Two Sample t-test	two.sided	0.0137575924846266	4449629	
pyrophosphate 	-0.803604773931228	11.9263633300644	12.7299681039956	-2.81051121063242	0.0137332038684775	14.2065712417128	-1.41602453552476	-0.1911850123377	Welch Two Sample t-test	two.sided	0.0283247329787348	1023	C00013
spermidine 	-0.769386879750808	8.5671698445143	9.33655672426511	-3.27827479985553	0.00395962018826493	18.9735784014211	-1.26065046674267	-0.278123292758946	Welch Two Sample t-test	two.sided	0.0137544701276571	1102	C00315
stearic acid	-0.825081232829422	12.3984359480288	13.2235171808583	-2.54925382950996	0.0222793580684487	14.9433557875257	-1.51516543854095	-0.134997027117894	Welch Two Sample t-test	two.sided	0.0377035290389132	5281	C01530
trans-4-hydroxyproline 	-0.599307353696277	11.5392694433019	12.1385767969982	-2.40926403772548	0.0295723826146583	14.7121784817521	-1.1304128667417	-0.0682018406508512	Welch Two Sample t-test	two.sided	0.0476043232333524	5810	C01157
triethanolamine	-0.774235720523435	6.80208839335843	7.57632411388186	-2.75641821671035	0.0154177195198066	14.0385229093534	-1.37651844414521	-0.171952996901659	Welch Two Sample t-test	two.sided	0.0295548648965507	7618	C06771
