"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glutathione metabolism",26,0.14885,2,0.0083554,2.078,0.64337,0.39876,0.01724
"Arginine and proline metabolism",29,0.16603,2,0.010357,1.9847,0.78717,0.39876,0.17333
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.022901,1,0.022737,1.6433,1,0.58359,0.5
"Phenylalanine metabolism",7,0.040076,1,0.039506,1.4033,1,0.60839,0.37931
"Taurine and hypotaurine metabolism",7,0.040076,1,0.039506,1.4033,1,0.60839,0.4
"Starch and sucrose metabolism",14,0.080153,1,0.077702,1.1096,1,0.90167,0.09303
"Galactose metabolism",15,0.085878,1,0.083054,1.0806,1,0.90167,0.18667
"Pentose and glucuronate interconversions",17,0.097328,1,0.09368,1.0284,1,0.90167,0
"Glycolysis / Gluconeogenesis",26,0.14885,1,0.14024,0.85314,1,1,0
"Amino sugar and nucleotide sugar metabolism",39,0.22328,1,0.20395,0.69047,1,1,0.08692
