"","Metabolite","colors"
"xylitol","xylitol",0
"valine ","valine ",5
"uridine","uridine",6
"uric acid","uric acid",0
"urea","urea",0
"uracil","uracil",7
"UDP-N-acetylglucosamine ","UDP-N-acetylglucosamine ",0
"tyrosine","tyrosine",5
"tyramine","tyramine",2
"tryptophan ","tryptophan ",5
"triethanolamine","triethanolamine",3
"trans-4-hydroxyproline ","trans-4-hydroxyproline ",0
"thymine","thymine",2
"threonine","threonine",2
"terephthalic acid","terephthalic acid",3
"taurine","taurine",4
"tagatose ","tagatose ",1
"synephrine","synephrine",2
"sulfuric acid","sulfuric acid",4
"sucrose","sucrose",0
"stearic acid","stearic acid",3
"spermidine ","spermidine ",3
"sophorose","sophorose",1
"shikimic acid","shikimic acid",1
"serotonin","serotonin",2
"serine","serine",7
"salicylic acid","salicylic acid",3
"ribose-5-phosphate","ribose-5-phosphate",5
"ribonic acid ","ribonic acid ",0
"ribitol","ribitol",5
"raffinose","raffinose",8
"pyrrole-2-carboxylic acid","pyrrole-2-carboxylic acid",0
"pyrophosphate ","pyrophosphate ",3
"putrescine","putrescine",3
"proline","proline",6
"pinitol","pinitol",1
"phthalic acid","phthalic acid",3
"phosphoinositol","phosphoinositol",0
"phosphoethanolamine","phosphoethanolamine",0
"phosphate","phosphate",4
"phenylethylamine","phenylethylamine",2
"phenylalanine","phenylalanine",5
"pentadecanoic acid","pentadecanoic acid",1
"para-xanthine ","para-xanthine ",0
"pantothenic acid","pantothenic acid",2
"oxoproline","oxoproline",4
"ornithine ","ornithine ",4
"ononitol","ononitol",1
"octadecanol","octadecanol",0
"noradrenaline","noradrenaline",4
"N-methylethanolamine","N-methylethanolamine",2
"nicotinic acid","nicotinic acid",6
"n-epsilon-trimethyllysine","n-epsilon-trimethyllysine",0
"N-alpha-acetyllysine ","N-alpha-acetyllysine ",2
"N-acetylputrescine ","N-acetylputrescine ",0
"N-acetylmethionine ","N-acetylmethionine ",4
"N-acetylglucosamine-6-phosphate ","N-acetylglucosamine-6-phosphate ",7
"N-acetylgalactosamine","N-acetylgalactosamine",1
"myo-inositol","myo-inositol",3
"methionine sulfoxide","methionine sulfoxide",0
"methionine sulfone ","methionine sulfone ",4
"methionine","methionine",5
"methanolphosphate","methanolphosphate",7
"melezitose","melezitose",8
"maltotriose","maltotriose",8
"maltotriitol ","maltotriitol ",1
"maltitol","maltitol",1
"malic acid","malic acid",0
"maleimide","maleimide",1
