"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000095","headgroup with positive charge / zwitter-ion",253,18,12.28,"0.0044","0.282"
"LION:0012010","membrane component",286,19,13.88,"0.0057","0.282"
"LION:0000190","PC(38:7)",4,2,0.19,"0.0127","0.419"
"LION:0000464","negative intrinsic curvature",81,8,3.93,"0.0260","0.643"
"LION:0001739","very high transition temperature",7,2,0.34,"0.0406","0.763"
"LION:0000011","glycerophosphoethanolamines [GP02]",58,6,2.82,"0.0475","0.763"
"LION:0012081","mitochondrion",61,6,2.96,"0.0591","0.763"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",9,2,0.44,"0.0657","0.763"
"LION:0012080","endoplasmic reticulum (ER)",256,16,12.43,"0.0694","0.763"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",23,3,1.12,"0.0928","0.848"
"LION:0000003","glycerophospholipids [GP]",241,15,11.7,"0.0942","0.848"
"LION:0001735","very low transition temperature",12,2,0.58,"0.1104","0.911"
"LION:0022242","C19:1",3,1,0.15,"0.1390","1.000"
"LION:0080968","very low bilayer thickness",14,2,0.68,"0.1436","1.000"
"LION:0002958","fatty acids with 19 carbons",4,1,0.19,"0.1811","1.000"
"LION:0000030","diacylglycerophosphocholines [GP0101]",100,7,4.85,"0.1867","1.000"
"LION:0080980","very high lateral diffusion",17,2,0.83,"0.1968","1.000"
"LION:0000607","diacylglycerols [GL0201]",5,1,0.24,"0.2212","1.000"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",34,3,1.65,"0.2226","1.000"
"LION:0012086","endosome/lysosome",35,3,1.7,"0.2360","1.000"
"LION:0002930","C20:5",6,1,0.29,"0.2595","1.000"
"LION:0001740","above average transition temperature",21,2,1.02,"0.2711","1.000"
"LION:0000465","neutral intrinsic curvature",155,9,7.52,"0.3176","1.000"
"LION:0000467","contains ether-bond",41,3,1.99,"0.3195","1.000"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",24,2,1.17,"0.3274","1.000"
"LION:0000010","glycerophosphocholines [GP01]",161,9,7.82,"0.3690","1.000"
"LION:0080982","above average lateral diffusion",27,2,1.31,"0.3828","1.000"
"LION:0000004","sphingolipids [SP]",65,4,3.16,"0.3901","1.000"
"LION:0080973","below average bilayer thickness",28,2,1.36,"0.4010","1.000"
"LION:0012082","plasma membrane",69,4,3.35,"0.4385","1.000"
"LION:0001741","below average transition temperature",31,2,1.5,"0.4541","1.000"
"LION:0002949","fatty acid with 19-21 carbons",31,2,1.5,"0.4541","1.000"
"LION:0002900","C16:1",12,1,0.58,"0.4542","1.000"
"LION:0002957","fatty acid with 18 carbons",53,3,2.57,"0.4877","1.000"
"LION:0001734","contains vinyl ether bond (plasmalogen)",33,2,1.6,"0.4882","1.000"
"LION:0002955","fatty acid with 16 carbons",34,2,1.65,"0.5048","1.000"
"LION:0002923","C18:2",14,1,0.68,"0.5075","1.000"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",17,1,0.83,"0.5782","1.000"
"LION:0002921","C18:0",17,1,0.83,"0.5782","1.000"
"LION:0002970","fatty acid with 2 double bonds",19,1,0.92,"0.6199","1.000"
"LION:0002969","monounsaturated fatty acid",42,2,2.04,"0.6257","1.000"
"LION:0002882","C16:0",23,1,1.12,"0.6918","1.000"
"LION:0002922","C18:1",24,1,1.17,"0.7077","1.000"
"LION:0002977","fatty acid with 3-5 double bonds",24,1,1.17,"0.7077","1.000"
"LION:0012009","lipid-mediated signalling",50,2,2.43,"0.7243","1.000"
"LION:0002959","fatty acid with 20 carbons",26,1,1.26,"0.7371","1.000"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",26,1,1.26,"0.7371","1.000"
"LION:0002948","fatty acid with 16-18 carbons",76,3,3.69,"0.7486","1.000"
"LION:0000100","fatty acid with 18 carbons or less",78,3,3.79,"0.7659","1.000"
"LION:0002945","fatty acid with more than 18 carbons",58,2,2.82,"0.8015","1.000"
"LION:0002966","fatty acid with less than 2 double bonds",83,3,4.03,"0.8052","1.000"
"LION:0002976","fatty acid with more than 3 double bonds",37,1,1.8,"0.8547","1.000"
"LION:0002968","saturated fatty acid",50,1,2.43,"0.9296","1.000"
"LION:0002967","polyunsaturated fatty acid",52,1,2.52,"0.9372","1.000"
"LION:0000002","glycerolipids [GL]",60,1,2.91,"0.9604","1.000"
"LION:0000094","headgroup with neutral charge",65,1,3.16,"0.9705","1.000"
"LION:0000001","fatty acids [FA]",8,0,0.39,"1.0000","1.000"
"LION:0000013","glycerophosphoserines [GP03]",8,0,0.39,"1.0000","1.000"
"LION:0000032","1-(1z-alkenyl),2-acylglycerophosphocholines [GP0103]",24,0,1.17,"1.0000","1.000"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",11,0,0.53,"1.0000","1.000"
"LION:0000042","monoacylglycerophosphoethanolamines [GP0205]",7,0,0.34,"1.0000","1.000"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",11,0,0.53,"1.0000","1.000"
"LION:0000053","diacylglycerophosphoserines [GP0301]",7,0,0.34,"1.0000","1.000"
"LION:0000059","diacylglycerophosphoglycerols [GP0401]",3,0,0.15,"1.0000","1.000"
"LION:0000093","headgroup with negative charge",30,0,1.46,"1.0000","1.000"
"LION:0000259","C14:0",3,0,0.15,"1.0000","1.000"
"LION:0000466","positive intrinsic curvature",34,0,1.65,"1.0000","1.000"
"LION:0000599","lysoglycerophospholipids",19,0,0.92,"1.0000","1.000"
"LION:0000622","triacylglycerols [GL0301]",55,0,2.67,"1.0000","1.000"
"LION:0001736","low transition temperature",19,0,0.92,"1.0000","1.000"
"LION:0001737","average transition temperature",18,0,0.87,"1.0000","1.000"
"LION:0001738","high transition temperature",14,0,0.68,"1.0000","1.000"
"LION:0001742","fatty acids and conjugates [FA01]",8,0,0.39,"1.0000","1.000"
"LION:0002925","C20:0",3,0,0.15,"1.0000","1.000"
"LION:0002926","C20:1",4,0,0.19,"1.0000","1.000"
"LION:0002927","C20:2",3,0,0.15,"1.0000","1.000"
"LION:0002929","C20:4",9,0,0.44,"1.0000","1.000"
"LION:0002935","C22:4",4,0,0.19,"1.0000","1.000"
"LION:0002937","C22:6",13,0,0.63,"1.0000","1.000"
"LION:0002947","fatty acid with 13-15 carbons",4,0,0.19,"1.0000","1.000"
"LION:0002950","fatty acid with 22-24 carbons",24,0,1.17,"1.0000","1.000"
"LION:0002951","fatty acid with more than 24 carbons",3,0,0.15,"1.0000","1.000"
"LION:0002956","fatty acid with 17 carbons",3,0,0.15,"1.0000","1.000"
"LION:0002961","fatty acid with 22 carbons",22,0,1.07,"1.0000","1.000"
"LION:0002971","fatty acid with 3 double bonds",4,0,0.19,"1.0000","1.000"
"LION:0002972","fatty acid with 4 double bonds",14,0,0.68,"1.0000","1.000"
"LION:0012011","lipid storage",55,0,2.67,"1.0000","1.000"
"LION:0012017","hexosylceramides",5,0,0.24,"1.0000","1.000"
"LION:0012084","lipid droplet",55,0,2.67,"1.0000","1.000"
"LION:0071625","PE(O-38:7)",3,0,0.15,"1.0000","1.000"
"LION:0080969","low bilayer thickness",15,0,0.73,"1.0000","1.000"
"LION:0080970","average bilayer thickness",15,0,0.73,"1.0000","1.000"
"LION:0080971","high bilayer thickness",10,0,0.49,"1.0000","1.000"
"LION:0080972","very high bilayer thickness",3,0,0.15,"1.0000","1.000"
"LION:0080974","above average bilayer thickness",12,0,0.58,"1.0000","1.000"
"LION:0080977","low lateral diffusion",14,0,0.68,"1.0000","1.000"
"LION:0080978","average lateral diffusion",14,0,0.68,"1.0000","1.000"
"LION:0080979","high lateral diffusion",11,0,0.53,"1.0000","1.000"
"LION:0080981","below average lateral diffusion",16,0,0.78,"1.0000","1.000"
