"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002955","fatty acid with 16 carbons","44","12","5.93","0.0079","0.221"
"    [#0010] CAR 16:0 ","","","","","",""
"    [#0011] CAR 16:1","","","","","",""
"    [#0078] LPC 16:0 ","","","","","",""
"    [#0089] LPC O-16:0 ","","","","","",""
"    [#0091] LPE 16:0 ","","","","","",""
"    [#0101] MGDG 16:0_20:5 ","","","","","",""
"    [#0107] PC 14:0_16:1 ","","","","","",""
"    [#0108] PC 16:0/9:0 CHO ","","","","","",""
"    [#0109] PC 16:0_14:0 ","","","","","",""
"    [#0110] PC 16:0_18:2 ","","","","","",""
"    [#0111] PC 16:0_22:6 ","","","","","",""
"    [#0112] PC 16:1/18:4 ","","","","","",""
"    [#0202] PC O-16:0_20:4 ","","","","","",""
"    [#0203] PC O-18:0_16:0 ","","","","","",""
"    [#0246] PC-O 16:0_18:1 ","","","","","",""
"    [#0248] PE 16:0_16::1 ","","","","","",""
"    [#0249] PE 16:1_18:1 ","","","","","",""
"    [#0270] PE O-16:1_18:1 ","","","","","",""
"    [#0271] PE O-16:1_18:2 ","","","","","",""
"    [#0272] PE O-16:1_22:6 ","","","","","",""
"    [#0276] PE O-22:6_16:1 ","","","","","",""
"    [#0295] PEtOH 16:0_16:1 ","","","","","",""
"    [#0296] PEtOH 16:0_18:1 ","","","","","",""
"    [#0297] PEtOH 16:0_20:4 ","","","","","",""
"    [#0298] PEtOH 16:1_16:1 ","","","","","",""
"    [#0299] PEtOH 16:1_18:1 ","","","","","",""
"    [#0316] PMeOH 16:0_18:1 ","","","","","",""
"    [#0317] PMeOH 16:0_18:2 ","","","","","",""
"    [#0319] PS 16:0_22:4 ","","","","","",""
"    [#0326] Phosphatidylethanolamine alkenyl 16:0-20:4 ","","","","","",""
"    [#0359] TG 14:0_16:0_17:1 ","","","","","",""
"    [#0360] TG 16:0_18:1_20:0 ","","","","","",""
"    [#0416] PMeOH 16:0_18:1","","","","","",""
"    [#0420] PMeOH 16:0_18:2","","","","","",""
"    [#0421] MGDG 16:0_20:5","","","","","",""
"    [#0422] PC 16:0_22:6","","","","","",""
"    [#0425] PE O-16:1_18:2","","","","","",""
"    [#0433] PE O-16:1_18:1","","","","","",""
"    [#0438] PEtOH 16:0_16:1","","","","","",""
"    [#0442] PC 14:0_16:1","","","","","",""
"    [#0443] PC-O 16:0_18:1","","","","","",""
"    [#0454] PEtOH 16:0_18:1","","","","","",""
"    [#0456] PE O-22:6_16:1","","","","","",""
"    [#0460] PS 16:0_22:4","","","","","",""
"LION:0000011","glycerophosphoethanolamines [GP02]","68","16","9.16","0.0099","0.221"
