PC,lipid,statistic,p.adj,comparison,class,targetClass,saturation,LION.0000003,LION.0000010,LION.0000031,LION.0000095,LION.0000465,LION.0012010,LION.0012080,LION.0000011,LION.0012081
2,LPE 20:5,-2.9041116176747,0.02430003584869,3v5,LPE,Other,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,LPE 20:5,3.78595546542011,0.00153818935490446,30v5,LPE,Other,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,LPC 18:0 Isomer B,NA,NA,NA,NA,NA,NA,both,13v30,NA,13v30,NA,13v30,both,NA,NA
2,LPE 22:6,-2.8091918785652,0.0282869640665354,3v5,LPE,Other,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,LPE 22:6,3.34309770333064,0.00299189129785744,30v5,LPE,Other,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,LPE 20:4,-2.96167549184952,0.0230509644388245,3v5,LPE,Other,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,LPC 22:6,-2.51777100476773,0.0451680606455246,3v5,LPC,Other,Polyunsaturated,both,13v30,NA,13v30,NA,13v30,both,NA,NA
2,LPC 20:0,NA,NA,NA,NA,NA,NA,both,13v30,NA,13v30,NA,13v30,both,NA,NA
2,LPC 20:2,-2.83862783711521,0.0256171047621136,3v5,LPC,Other,Polyunsaturated,both,13v30,NA,13v30,NA,13v30,both,NA,NA
2,LPC 20:5,NA,NA,NA,NA,NA,NA,both,13v30,NA,13v30,NA,13v30,both,NA,NA
2,PC 14:0_16:1,-2.66961019302289,0.0336805929625913,3v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,PC 31:1,3.72501349867729,0.00157007923018239,30v5,NA,NA,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,PC 18:0_18:1,4.02909586516575,0.00524360247475356,3v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,PC 18:0_18:1,-3.12134103079249,0.00660559341181628,30v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,PE 34:1,4.93936445442145,0.0007886908828025,3v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,PE 34:1,-4.52170008343064,0.000550503791948168,30v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,PE 36:1,-2.22677134704987,0.0421855110144608,13v30,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,PE 36:1,4.32596001964087,0.00223280065614986,3v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,PE 36:1,-4.61347699054445,0.000464816056351183,30v5,PE,PE,Monounsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
2,MGDG 16:0_20:5,3.94665156199199,0.00524360247475356,3v5,MGDG,Other,Polyunsaturated,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,PC 36:1 Isomer B,3.73341826110031,0.00919058528150888,3v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,PC 36:1 Isomer B,-3.66207098845207,0.0020929761928021,30v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,SM d38:2 Isomer B,3.04922861346189,0.0189267741556297,3v5,SM,Other,Polyunsaturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
2,SM d38:2 Isomer B,-2.3939647520295,0.0279092231155895,30v5,SM,Other,Polyunsaturated,NA,NA,NA,13v30,NA,13v30,NA,NA,NA
2,PC 36:1 Isomer A,3.66500452940352,0.00993972455409141,3v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,PC 36:1 Isomer A,-3.34255530134793,0.00397954491945476,30v5,PC,PC,Monounsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
2,PMeOH 16:0_18:1,5.22084304441431,0.00063674966558872,3v5,PMeOH,Other,Monounsaturated,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,PMeOH 16:0_18:2,7.45601493672945,1.61876663772442e-06,13v30,PMeOH,Other,Polyunsaturated,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,PMeOH 16:0_18:2,4.40349746416102,0.00223280065614986,3v5,PMeOH,Other,Polyunsaturated,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,PC 16:0_22:6,4.80071152267038,0.000881679585517271,3v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
