identifier,VIP
PE P-36:1 or PE O-36:2,2.56844706563348
PE O-16:1_18:1 ,2.480513351687
2.19_548.46,2.44865919994802
2.39_770.60,2.4344306749658
PC O-36:1 ,2.43149718083346
2.19_546.47,2.42340327721365
PE P-34:1 or PE O-34:2 ,2.40544954124511
2.32_560.48,2.39190256414976
Cer d34:0 ,2.38596590612978
2.73_830.63,2.37059192619498
2.45_576.50,2.35946894024717
PC P-36:1 or PC O-36:2,2.34429360831149
2.73_806.58,2.34114243695071
PE 36:1 ,2.31410294676555
2.57_798.64,2.30624456495294
PC P-36:2 or PC O-36:3 ,2.30100757816642
2.67_714.54,2.29593570694767
2.77_832.64,2.2917813984098
PC 36:1 Isomer B,2.28673187923816
PC 36:1 Isomer A,2.27356209267662
PC O-34:0 Isomer A,2.27123413091136
2.19_570.51,2.26843514354511
PC O-38:2|PC O-12:0_26:2,2.26657876112553
PC O-34:1|PC O-16:0_18:1,2.21987093626413
2.71_602.53,2.21595143417876
PC O-34:2|PC O-16:1_18:1,2.21381190188725
PE 34:1 ,2.20671662079719
PC O-34:0 Isomer B,2.19461272559585
2.70_626.57,2.18849601992948
PC O-18:0_16:0 ,2.18520977835364
PC 18:0_18:1 ,2.17277416386169
PC P-34:1 or PC O-34:2,2.1654777689932
PC 31:1,2.10917936514442
2.64_818.62,2.09226633973465
PC P-34:0 or PC O-34:1 ,2.08757549082238
PC-O 16:0_18:1 ,2.08372036235621
Cer-NDS d36:0 ,2.07949133450435
SM d38:1 ,2.06895074080256
0.74_608.36,2.06314934843004
Phosphatidylethanolamine alkenyl 18:0-18:2 ,2.05769954540343
2.56_702.54,2.03874110461662
PC P-36:1 or PC O-36:2 ,2.02067083904145
2.37_720.59,2.01015440669036
PE O-36:1 ,1.99276419915446
2.55_782.57,1.99223321706095
PE 34:0 ,1.98128647848643
PE 40:7|PE 18:1_22:6,1.97710234455655
2.53_780.57,1.97040635203148
PE O-16:1_18:2 ,1.95766059309327
PC O-35:2|PC O-17:1_18:1,1.95737554774244
PC 34:0,1.95425037588341
2.32_758.61,1.95289790156281
1.56_878.50,1.94755172132753
PC P-34:1 or PC O-34:2 ,1.93708621640991
SM d32:0 Isomer B ,1.92282133921537
SM d36:0 ,1.9207365066093
LNAPE 18:1/N-20:0 ,1.91311374638798
0.21_130.09,1.90915632766905
0.20_166.09,1.88304216230223
2.49_778.55,1.88275682136348
2.33_705.49,1.87824144918844
PC 19:1 ,1.86897416691024
0.21_116.07,1.86069665462063
SM d37:1 ,1.84876939387244
0.21_164.07,1.8412845563231
2.46_784.61,1.82917401220052
2.24_732.60,1.82223261458951
PC 38:4|PC 19:2_19:2,1.81324525773823
2.24_744.59,1.81125171787284
2.61_816.61,1.80461135048214
SM d34:0 ,1.801153023799
PC O-33:0 ,1.79788453422428
1.61_802.54,1.79023798887899
2.52_716.56,1.77479886126311
2.23_756.58,1.76940804650764
SM d36:1 Isomer B,1.74239146049095
0.21_246.07,1.74117508147878
1.70_758.48,1.74107218723842
1.94_786.51,1.74035168430749
0.21_212.09,1.73613377955806
SM d41:2 Isomer A ,1.73397201335878
2.38_802.59,1.73284217494026
2.03_820.47,1.71743974094262
PC O-31:0,1.71140429859038
1.86_862.56,1.69985905646085
DG 38:6 ,1.69769640969586
PC O-32:1|PC O-14:0_18:1,1.69617982885256
PC 18:2_20:5 ,1.69225771778846
SM d32:0 ,1.69022436571107
GlcCer d42:2 ,1.68165240311194
2.28_688.53,1.67053560270698
PE 38:7|PE 18:2_20:5 Isomer B,1.66062278690824
1.73_804.56,1.65899945787514
PC 18:0_22:6 ,1.64555261288882
SM d36:1 Isomer A,1.64265837812042
SM d38:2 Isomer B,1.62796882123943
LPE O-18:1 ,1.61772706204492
2.21_775.60,1.61491172337808
PC O-29:2|PC O-13:1_16:1,1.6018169780115
PC O-34:3|PC O-16:2_18:1,1.60113997851015
1.87_795.52,1.60021734329282
1.76_826.55,1.59595439962807
MGDG 16:0_20:5 ,1.59284770747028
Cer 18:0;2O_20:0 ,1.58480402813192
PC O-34:5|PC O-14:0_20:5,1.5704170092607
2.29_672.50,1.56827868921047
2.85_802.67,1.568216339433
2.46_782.60,1.56737021899565
PE 38:6|PE 19:3_19:3,1.56671070303049
2.08_789.54,1.56170628313167
2.09_702.54,1.55980582411105
0.21_148.04,1.55631842214261
PS 38:7;O3|PS 22:6_16:1;O3,1.5479796661675
2.14_766.52,1.54748575126991
1.97_814.52,1.54462829257235
PC 33:2 Isomer A,1.543289564167
2.12_788.58,1.52859461666163
2.02_844.51,1.52436957105835
PC 36:5 Isomer B ,1.519700345888
PE P-38:4 or PE O-38:5 Isomer A,1.517347673139
SM d36:2 Isomer B,1.51341571416347
PE O-18:1_22:6 ,1.51069063676492
PE 38:6 Isomer B ,1.51062907656355
2.22_736.57,1.50755241677911
1.78_776.54,1.5011046634109
PC 38:7 ,1.49637064275889
2.30_604.51,1.49609228816132
0.21_203.08,1.49519368613084
