identifier,lipid,PubChem.CID,Chemical.Name,INCHIKEY,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj
2.39_784.57,arachidonoylthiophosphorylcholine ,53394300,1-Hexadecyl-2-arachidonoylthio-2-deoxyglycero-3-phosphorylcholine,YDSCLGYBUIDZNF-UHFFFAOYSA-N,0.724622967396913,12.6441850637367,11.9195620963398,3.5726168835542,0.00100722551663847,36.8203083325444,0.313588830839721,1.1356571039541,Welch Two Sample t-test,two.sided,0.0134038472598812
0.76_606.38,LPC 20:2 ,52924053,Lysophosphatidylcholine(20:2),YYQVCMMXPIJVHY-ZOIJLGJPSA-N,-0.431395676626364,5.48789453501636,5.91929021164273,-2.83862783711521,0.00659153572826314,48.6644539682576,-0.736850756400636,-0.125940596852092,Welch Two Sample t-test,two.sided,0.0345556266966522
0.48_500.28,LPE 20:4 ,53480952,LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0),JPNPIRVRGLGTRE-YSKCIPFOSA-N,-0.448708970392607,7.2483084447028,7.6970174150954,-2.96167549184952,0.00538363465660606,36.0893126651514,-0.755949173351273,-0.141468767433941,Welch Two Sample t-test,two.sided,0.0310940884827808
0.38_500.28,LPE 20:5,75958074,[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] icosa-5,8,11,14,17-pentaenoate,KCWGBXXAJHVZNN-UHFFFAOYSA-N,-0.606198302260955,11.3635889051533,11.9697872074143,-2.9041116176747,0.00592657152804755,40.6974352894383,-1.02784834130309,-0.184548263218817,Welch Two Sample t-test,two.sided,0.032266823917504
0.46_524.28,LPE 22:6 ,52925132,Lyso-PE(22:6w3/0:0),XEVRBOQZSXWGQO-PAUXXPOVSA-N,-0.540479666767003,7.25071355622622,7.79119322299322,-2.8091918785652,0.00777477959723486,38.3444763272181,-0.92985185114543,-0.151107482388576,Welch Two Sample t-test,two.sided,0.0384296248663323
1.95_821.53,MGDG 16:0_20:5 ,134732480,[(2S)-1-hexadecanoyloxy-3-[(2R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] (5E,8E,11E,14E,17E)-icosa-5,8,11,14,17-pentaenoate,GIEIKQLTPYMKIQ-LPNQNMOLSA-N,0.672839410435924,8.0888522751834,7.41601286474748,3.94665156199199,0.000245314735660985,50.5652562027258,0.330507817616773,1.01517100325507,Welch Two Sample t-test,two.sided,0.00707324154489174
1.80_704.52,PC 14:0_16:1 ,24778615,1-tetradecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,XGGMHQYOVYWRLV-IZNHTBNISA-N,-0.422975784404535,12.5391088346186,12.9620846190231,-2.66961019302289,0.0102420516611389,49.5218939513831,-0.741290098025663,-0.104661470783408,Welch Two Sample t-test,two.sided,0.0466282878257112
2.18_792.53,PC 16:0_18:2 ,122218,[3-(1-oxohexadecoxy)-2-(1-oxooctadeca-9,12-dienoxy)propyl] 2-(trimethylammonio)ethyl phosphate,JLPULHDHAOZNQI-UHFFFAOYSA-N,0.260295889823839,8.95146985256437,8.69117396274053,3.35269515790696,0.00151636253002985,50.8929151771409,0.104423531171121,0.416168248476556,Welch Two Sample t-test,two.sided,0.0163956698559478
2.06_840.53,PC 16:0_22:6 ,74063529,(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-hexadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,IESVDEZGAHUQJU-UHFFFAOYSA-N,0.403650446102489,9.60682937757378,9.20317893147129,4.80071152267038,1.54680629038118e-05,48.6409775300333,0.2346510364984,0.572649855706578,Welch Two Sample t-test,two.sided,0.000891991627453146
1.83_862.56,PC 18:2_20:5 ,24778981,[2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,HRBNRYBXXRPMKP-OMCHRGCMSA-N,0.251461339736482,9.38234342230238,9.1308820825659,2.87435472698208,0.00596842985757298,49.1042779565278,0.0756642002616396,0.427258479211323,Welch Two Sample t-test,two.sided,0.032266823917504
