"","Lipid","colors"
"(Z)-9,12,13-trihydroxyoctadec-15-enoic acid ","(Z)-9,12,13-trihydroxyoctadec-15-enoic acid ",13
"13-HODE ","13-HODE ",13
"15-OxoETE ","15-OxoETE ",8
"4-HDoHE ","4-HDoHE ",8
"4-METHYL-2-OXO-PENTANOIC ACID ","4-METHYL-2-OXO-PENTANOIC ACID ",7
"5-HETE ","5-HETE ",8
"8,15-DiHETE ","8,15-DiHETE ",8
"CAR 12:0 ","CAR 12:0 ",7
"CAR 15:0","CAR 15:0",7
"CAR 16:0 ","CAR 16:0 ",7
"CAR 16:1","CAR 16:1",7
"CAR 17:0","CAR 17:0",7
"CAR 18:0 Isomer A ","CAR 18:0 Isomer A ",7
"CAR 18:1 ","CAR 18:1 ",7
"CAR 18:2 Isomer A ","CAR 18:2 Isomer A ",7
"CAR 20:1 ","CAR 20:1 ",7
"Cer 18:0;2O_20:0 ","Cer 18:0;2O_20:0 ",1
"Cer 22:0;2O/26:0 ","Cer 22:0;2O/26:0 ",3
"Cer 32:1;2O|Cer 14:1;O2/18:0","Cer 32:1;2O|Cer 14:1;O2/18:0",15
"Cer 34:1;O2|Cer 14:1;O2/20:0","Cer 34:1;O2|Cer 14:1;O2/20:0",15
"Cer 58:11;2O ","Cer 58:11;2O ",2
"Cer d32:1 ","Cer d32:1 ",15
"Cer d33:1 ","Cer d33:1 ",15
"Cer d34:0 ","Cer d34:0 ",3
"Cer d34:1 Isomer B","Cer d34:1 Isomer B",15
"Cer d34:2 ","Cer d34:2 ",15
"Cer d35:1 ","Cer d35:1 ",1
"Cer d36:1 Isomer B","Cer d36:1 Isomer B",1
"Cer d36:2 ","Cer d36:2 ",1
"Cer d37:1 ","Cer d37:1 ",1
"Cer d38:1 ","Cer d38:1 ",1
"Cer d38:2 ","Cer d38:2 ",1
"Cer d39:1 ","Cer d39:1 ",4
"Cer d39:2 ","Cer d39:2 ",4
"Cer d40:1 ","Cer d40:1 ",4
"Cer d40:2 ","Cer d40:2 ",4
"Cer d41:1 ","Cer d41:1 ",4
"Cer d41:2 ","Cer d41:2 ",4
