Module,treatment,lipid_expression
14,13,0
0,13,0
13,13,0
3,13,0
6,13,0
15,13,0
9,13,0
4,13,0
1,13,0
12,13,0
5,13,0
7,13,0
8,13,0
11,13,0
2,13,0
10,13,0
14,5,0.630003693887339
0,5,3.09794162660583
13,5,-1.9807155004913
3,5,-11.8685908260156
6,5,-0.917061667191839
15,5,0.166463362065671
9,5,0.388132377423285
4,5,-0.929777596981412
1,5,-0.977034421908536
12,5,-1.51529072988307
5,5,1.17030990399919
7,5,-1.09540863870041
8,5,0.0390712159435506
11,5,3.71792901249618
2,5,-0.950179178656484
10,5,-1.37018999411769
14,30,3.28874399743306
0,30,-0.72165514323446
13,30,-1.09383731170154
3,30,23.5989600922754
6,30,5.80272520918667
15,30,-4.58300296335661
9,30,-4.94321511331291
4,30,-2.80161140490521
1,30,-2.72481906439864
12,30,-1.85015256394001
5,30,-6.21425359399872
7,30,-2.53246096211183
8,30,-4.37599072590824
11,30,-1.72913464530627
2,30,-2.76845883468321
10,30,-2.08594125955875
