"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000095","headgroup with positive charge / zwitter-ion",241,127,110.81,"0.00059","0.0223"
"LION:0012009","lipid-mediated signalling",48,33,22.07,"0.00061","0.0223"
"LION:0012080","endoplasmic reticulum (ER)",246,129,113.11,"0.00069","0.0223"
"LION:0000030","diacylglycerophosphocholines [GP0101]",95,56,43.68,"0.00266","0.0512"
"LION:0000599","lysoglycerophospholipids",19,15,8.74,"0.00294","0.0512"
"LION:0000010","glycerophosphocholines [GP01]",155,85,71.27,"0.00317","0.0512"
"LION:0000042","monoacylglycerophosphoethanolamines [GP0205]",7,7,3.22,"0.00408","0.0565"
"LION:0080982","above average lateral diffusion",25,18,11.49,"0.00617","0.0748"
"LION:0080973","below average bilayer thickness",26,18,11.95,"0.01180","0.1153"
"LION:0001740","above average transition temperature",19,14,8.74,"0.01189","0.1153"
"LION:0000465","neutral intrinsic curvature",149,79,68.51,"0.01896","0.1613"
"LION:0001739","very high transition temperature",5,5,2.3,"0.01995","0.1613"
"LION:0000003","glycerophospholipids [GP]",232,117,106.67,"0.02236","0.1668"
"LION:0012010","membrane component",273,135,125.53,"0.02560","0.1697"
"LION:0080969","low bilayer thickness",15,11,6.9,"0.02799","0.1697"
"LION:0080980","very high lateral diffusion",15,11,6.9,"0.02799","0.1697"
"LION:0080979","high lateral diffusion",11,8,5.06,"0.06667","0.3804"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",25,15,11.49,"0.10659","0.5744"
"LION:0080968","very low bilayer thickness",12,8,5.52,"0.12193","0.6225"
"LION:0001738","high transition temperature",14,9,6.44,"0.13017","0.6313"
"LION:0002930","C20:5",5,4,2.3,"0.13974","0.6455"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",11,7,5.06,"0.18818","0.8297"
"LION:0000607","diacylglycerols [GL0201]",4,3,1.84,"0.25367","1.0000"
"LION:0000464","negative intrinsic curvature",76,38,34.94,"0.25630","1.0000"
"LION:0000011","glycerophosphoethanolamines [GP02]",55,28,25.29,"0.25926","1.0000"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",22,12,10.12,"0.27050","1.0000"
"LION:0080971","high bilayer thickness",10,6,4.6,"0.28037","1.0000"
"LION:0012081","mitochondrion",58,29,26.67,"0.30025","1.0000"
"LION:0001741","below average transition temperature",29,15,13.33,"0.32499","1.0000"
"LION:0000004","sphingolipids [SP]",61,30,28.05,"0.34189","1.0000"
"LION:0001736","low transition temperature",19,10,8.74,"0.35791","1.0000"
"LION:0000466","positive intrinsic curvature",34,17,15.63,"0.37640","1.0000"
"LION:0002923","C18:2",13,7,5.98,"0.38186","1.0000"
"LION:0002955","fatty acid with 16 carbons",32,16,14.71,"0.38433","1.0000"
"LION:0002900","C16:1",11,6,5.06,"0.39099","1.0000"
"LION:0000032","1-(1z-alkenyl),2-acylglycerophosphocholines [GP0103]",24,12,11.04,"0.42048","1.0000"
"LION:0002882","C16:0",22,11,10.12,"0.43101","1.0000"
"LION:0012082","plasma membrane",65,31,29.89,"0.43288","1.0000"
"LION:0002970","fatty acid with 2 double bonds",18,9,8.28,"0.45473","1.0000"
"LION:0002921","C18:0",16,8,7.36,"0.46836","1.0000"
"LION:0080974","above average bilayer thickness",12,6,5.52,"0.50104","1.0000"
"LION:0001735","very low transition temperature",10,5,4.6,"0.52149","1.0000"
"LION:0001734","contains vinyl ether bond (plasmalogen)",32,15,14.71,"0.52974","1.0000"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",31,14,14.25,"0.60960","1.0000"
"LION:0080981","below average lateral diffusion",16,7,7.36,"0.66694","1.0000"
"LION:0012086","endosome/lysosome",32,14,14.71,"0.67171","1.0000"
"LION:0002957","fatty acid with 18 carbons",50,22,22.99,"0.67336","1.0000"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",23,10,10.58,"0.67656","1.0000"
"LION:0002937","C22:6",13,5,5.98,"0.79715","1.0000"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",8,3,3.68,"0.79879","1.0000"
"LION:0002922","C18:1",23,9,10.58,"0.81398","1.0000"
"LION:0002968","saturated fatty acid",49,20,22.53,"0.82301","1.0000"
"LION:0002969","monounsaturated fatty acid",40,16,18.39,"0.83322","1.0000"
"LION:0000059","diacylglycerophosphoglycerols [GP0401]",3,1,1.38,"0.84337","1.0000"
"LION:0000259","C14:0",3,1,1.38,"0.84337","1.0000"
"LION:0002925","C20:0",3,1,1.38,"0.84337","1.0000"
"LION:0002927","C20:2",3,1,1.38,"0.84337","1.0000"
"LION:0002958","fatty acids with 19 carbons",3,1,1.38,"0.84337","1.0000"
"LION:0000002","glycerolipids [GL]",59,24,27.13,"0.84781","1.0000"
"LION:0002948","fatty acid with 16-18 carbons",73,30,33.57,"0.85471","1.0000"
"LION:0080977","low lateral diffusion",14,5,6.44,"0.85508","1.0000"
"LION:0000467","contains ether-bond",39,15,17.93,"0.87759","1.0000"
"LION:0002959","fatty acid with 20 carbons",25,9,11.49,"0.89363","1.0000"
"LION:0000100","fatty acid with 18 carbons or less",75,30,34.48,"0.90044","1.0000"
"LION:0000094","headgroup with neutral charge",64,25,29.43,"0.91183","1.0000"
"LION:0002926","C20:1",4,1,1.84,"0.91594","1.0000"
"LION:0002947","fatty acid with 13-15 carbons",4,1,1.84,"0.91594","1.0000"
"LION:0000622","triacylglycerols [GL0301]",55,21,25.29,"0.91923","1.0000"
"LION:0012011","lipid storage",55,21,25.29,"0.91923","1.0000"
"LION:0012084","lipid droplet",55,21,25.29,"0.91923","1.0000"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",16,5,7.36,"0.93036","1.0000"
"LION:0002949","fatty acid with 19-21 carbons",29,10,13.33,"0.93237","1.0000"
"LION:0002967","polyunsaturated fatty acid",51,19,23.45,"0.93260","1.0000"
"LION:0000013","glycerophosphoserines [GP03]",8,2,3.68,"0.94516","1.0000"
"LION:0012017","hexosylceramides",5,1,2.3,"0.95498","1.0000"
"LION:0002966","fatty acid with less than 2 double bonds",80,30,36.78,"0.96681","1.0000"
"LION:0002929","C20:4",9,2,4.14,"0.96757","1.0000"
"LION:0002961","fatty acid with 22 carbons",22,6,10.12,"0.98091","1.0000"
"LION:0002976","fatty acid with more than 3 double bonds",36,11,16.55,"0.98430","1.0000"
"LION:0080978","average lateral diffusion",14,3,6.44,"0.98709","1.0000"
"LION:0000053","diacylglycerophosphoserines [GP0301]",7,1,3.22,"0.98717","1.0000"
"LION:0002977","fatty acid with 3-5 double bonds",23,6,10.58,"0.98741","1.0000"
"LION:0001737","average transition temperature",18,4,8.28,"0.99159","1.0000"
"LION:0002950","fatty acid with 22-24 carbons",24,6,11.04,"0.99179","1.0000"
"LION:0080970","average bilayer thickness",15,3,6.9,"0.99222","1.0000"
"LION:0000001","fatty acids [FA]",8,1,3.68,"0.99318","1.0000"
"LION:0001742","fatty acids and conjugates [FA01]",8,1,3.68,"0.99318","1.0000"
"LION:0002972","fatty acid with 4 double bonds",14,2,6.44,"0.99798","1.0000"
"LION:0002945","fatty acid with more than 18 carbons",56,16,25.75,"0.99872","1.0000"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",11,1,5.06,"0.99899","1.0000"
"LION:0000093","headgroup with negative charge",30,5,13.79,"0.99990","1.0000"
"LION:0002935","C22:4",4,0,1.84,"1.00000","1.0000"
"LION:0002951","fatty acid with more than 24 carbons",3,0,1.38,"1.00000","1.0000"
"LION:0002956","fatty acid with 17 carbons",3,0,1.38,"1.00000","1.0000"
"LION:0002971","fatty acid with 3 double bonds",4,0,1.84,"1.00000","1.0000"
"LION:0071625","PE(O-38:7)",3,0,1.38,"1.00000","1.0000"
"LION:0080972","very high bilayer thickness",3,0,1.38,"1.00000","1.0000"
