"input","LION name","LION ID","match"
"[#0001] (Z)-9,12,13-trihydroxyoctadec-15-enoic acid ","not found","not found",""
"[#0002] 13-HODE ","not found","not found",""
"[#0003] 15-OxoETE ","not found","not found",""
"[#0004] 4-HDoHE ","not found","not found",""
"[#0005] 4-METHYL-2-OXO-PENTANOIC ACID ","not found","not found",""
"[#0006] 5-HETE ","not found","not found",""
"[#0007] 8,15-DiHETE ","not found","not found",""
"[#0008] CAR 12:0 ","C12:0","LION:0000254","smart matching"
"[#0009] CAR 15:0","C15:0","LION:0022229","smart matching"
"[#0010] CAR 16:0 ","C16:0","LION:0002882","smart matching"
"[#0011] CAR 16:1","C16:1","LION:0002900","smart matching"
"[#0012] CAR 17:0","C17:0","LION:0022231","smart matching"
"[#0013] CAR 18:0 Isomer A ","C18:0","LION:0002921","smart matching"
"[#0014] CAR 18:1 ","C18:1","LION:0002922","smart matching"
"[#0015] CAR 18:2 Isomer A ","C18:2","LION:0002923","smart matching"
"[#0016] CAR 20:1 ","C20:1","LION:0002926","smart matching"
"[#0017] Cer 18:0;2O_20:0 ","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0017] Cer 18:0;2O_20:0 ","C18:0","LION:0002921","smart matching"
"[#0018] Cer 22:0;2O/26:0 ","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0018] Cer 22:0;2O/26:0 ","C22:0","LION:0002931","smart matching"
"[#0019] Cer 32:1;2O|Cer 14:1;O2/18:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0020] Cer 34:1;O2|Cer 14:1;O2/20:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0021] Cer 58:11;2O ","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0022] Cer d32:1 ","Cer(32:1)","LION:0001655","direct"
"[#0023] Cer d33:1 ","Cer(33:1)","LION:0144161","direct"
"[#0024] Cer d34:0 ","Cer(34:0)","LION:0001658","direct"
"[#0025] Cer d34:1 Isomer B","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0026] Cer d34:2 ","Cer(34:2)","LION:0001663","direct"
"[#0027] Cer d35:1 ","Cer(35:1)","LION:0144163","direct"
"[#0028] Cer d36:1 Isomer B","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0029] Cer d36:2 ","Cer(36:2)","LION:0001672","direct"
"[#0030] Cer d37:1 ","Cer(37:1)","LION:0144166","direct"
"[#0031] Cer d38:1 ","Cer(38:1)","LION:0001681","direct"
"[#0032] Cer d38:2 ","Cer(38:2)","LION:0001684","direct"
"[#0033] Cer d39:1 ","Cer(39:1)","LION:0144170","direct"
"[#0034] Cer d39:2 ","Cer(39:2)","LION:0144171","direct"
"[#0035] Cer d40:1 ","Cer(40:1)","LION:0001694","direct"
"[#0036] Cer d40:2 ","Cer(40:2)","LION:0001697","direct"
"[#0037] Cer d41:1 ","Cer(41:1)","LION:0144175","direct"
"[#0038] Cer d41:2 ","Cer(41:2)","LION:0144176","direct"
"[#0039] Cer d42:2 ","Cer(42:2)","LION:0001707","direct"
"[#0040] Cer d42:3 ","Cer(42:3)","LION:0001710","direct"
"[#0041] Cer d46:1 ","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0042] Cer-NDS d36:0 ","not found","not found",""
"[#0043] Cholesterol ","cholesterol","LION:0000541","direct"
"[#0044] CoQ10","not found","not found",""
"[#0045] DG 34:1 ","DG(34:1)","LION:0000639","direct"
"[#0046] DG 36:5 ","DG(36:5)","LION:0000650","direct"
"[#0047] DG 38:5 ","DG(38:5)","LION:0000658","direct"
"[#0048] DG 38:6 ","DG(38:6)","LION:0000659","direct"
"[#0049] FA 17:1","FFA(17:1)","LION:0022260","direct"
"[#0050] FA 18:1 (oleic acid) ","C18:1","LION:0002922","smart matching"
"[#0051] FA 18:1+2O ","fatty acids and conjugates [FA01]","LION:0001742","smart matching"
"[#0051] FA 18:1+2O ","C18:1","LION:0002922","smart matching"
