lipid	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	comparison	module
Cer d35:1 	0.538673440546519	9.28088448441077	8.74221104386425	3.14504045886282	0.00404788216032087	26.6948142645714	0.187053751292927	0.890293129800112	Welch Two Sample t-test	two.sided	0.00602965780131129	13v30	module1
Cer d36:1 Isomer B	0.812988619705266	12.1965649474893	11.383576327784	3.90743230651482	0.000847133342717441	20.4003316426569	0.379524008279096	1.24645323113144	Welch Two Sample t-test	two.sided	0.00168250094456381	13v30	module1
Cer d36:2 	0.564925893832378	8.19110156785091	7.62617567401854	4.3573508710471	0.000239923936161168	22.558859710896	0.296436135731754	0.833415651933001	Welch Two Sample t-test	two.sided	0.000662825613297581	13v30	module1
Cer d37:1 	0.58320137618859	8.39275196331807	7.80955058712948	3.06555223332315	0.00541192463334599	23.3702407452002	0.189997425651494	0.976405326725685	Welch Two Sample t-test	two.sided	0.00781722447038866	13v30	module1
Cer d38:1 	0.82200477729883	10.156274626301	9.33426984900214	3.99733558723536	0.000609286791749356	21.949423593407	0.395480331509382	1.24852922308828	Welch Two Sample t-test	two.sided	0.00134043094184858	13v30	module1
Cer d38:2 	0.881486375938599	7.86716539664982	6.98567902071122	3.98044198084035	0.000619942889041176	22.2869018069467	0.422560611745827	1.34041214013137	Welch Two Sample t-test	two.sided	0.00134320959292255	13v30	module1
Cer-NDS d36:0 	-0.547940352290318	6.94265823700223	7.49059858929255	-2.98220408351417	0.00799692351581688	17.976113024283	-0.933993616631097	-0.161887087949539	Welch Two Sample t-test	two.sided	0.0105885190996464	13v30	module1
LPC O-16:0 	0.430184734993554	6.86549562247747	6.43531088748391	2.90977112283386	0.00775897591491701	23.6181567358492	0.124793743690653	0.735575726296455	Welch Two Sample t-test	two.sided	0.0103694724844218	13v30	module1
LPE 18:1 	0.522812391385668	7.76345921055493	7.24064681916926	4.10285385734997	0.00029996544717227	29.1561257386463	0.262256499306886	0.78336828346445	Welch Two Sample t-test	two.sided	0.000739569981821287	13v30	module1
N-(eicosanoyl)sphingosine 	0.910094876099185	11.3611183723387	10.4510234962396	3.51317041949442	0.00184035431182655	23.3073486512718	0.374595120665061	1.44559463153331	Welch Two Sample t-test	two.sided	0.0031707309227855	13v30	module1
PC 33:2 Isomer A	1.23321581325479	14.9219103105538	13.688694497299	6.02179399386264	8.95966185938341e-06	18.8030383058565	0.804276935571492	1.66215469093808	Welch Two Sample t-test	two.sided	5.82378020859922e-05	13v30	module1
PC 34:4 Isomer A	0.734040296780757	12.4122793188414	11.6782390220607	3.0256438772851	0.00631538158200912	21.5229202029919	0.23025820051361	1.2378223930479	Welch Two Sample t-test	two.sided	0.00860094824978385	13v30	module1
PC 34:4 Isomer B 	0.291246963334813	7.59492397121292	7.30367700787811	2.59431325754862	0.015973162672345	23.7786220734228	0.0594320608239607	0.523061865845665	Welch Two Sample t-test	two.sided	0.0196910539840115	13v30	module1
PC 36:4 Isomer B	0.631448223490576	14.9651061294069	14.3336579059163	3.42489493943504	0.00239041119625107	22.2877916856209	0.24937409283258	1.01352235414857	Welch Two Sample t-test	two.sided	0.00388441819390799	13v30	module1
PC 36:5 Isomer B 	0.814605988533613	10.3221109973396	9.50750500880603	5.63412661130065	9.58111132483087e-06	23.1556444042723	0.515621877768287	1.11359009929894	Welch Two Sample t-test	two.sided	5.95695182369919e-05	13v30	module1
PC 36:5 Isomer D 	1.01890739360534	16.894287642297	15.8753802486917	5.29993439882027	3.63413748602425e-05	19.7020346145047	0.617493725223099	1.42032106198758	Welch Two Sample t-test	two.sided	0.000157479291061051	13v30	module1
PC 36:6 	1.02155561169987	13.36317490865	12.3416192969501	3.96170790875165	0.000968363203380175	17.3998591675406	0.478474910824849	1.56463631257489	Welch Two Sample t-test	two.sided	0.00187129646058601	13v30	module1
PC 38:6 Isomer A 	0.727333632614311	17.1416250891327	16.4142914565184	4.36173746785463	0.000325993992222287	19.2708723084913	0.378646939635866	1.07602032559276	Welch Two Sample t-test	two.sided	0.000774480263001923	13v30	module1
PC 38:6 Isomer B	0.606327464475061	10.1841195986423	9.57779213416728	4.50936694925066	0.000139320073669143	24.4357790026098	0.329078249312228	0.883576679637895	Welch Two Sample t-test	two.sided	0.000452790239424714	13v30	module1
PC 38:6 Isomer C 	0.910652140557612	14.4444026346082	13.5337504940506	3.58789478169126	0.00207736542321975	18.1711313449375	0.377771843038378	1.44353243807685	Welch Two Sample t-test	two.sided	0.00345310792245704	13v30	module1
PC 38:7 	1.43614620965312	14.9281189442695	13.4919727346164	6.55320153865252	2.39778438870341e-06	19.6435059728776	0.978471033569904	1.89382138573633	Welch Two Sample t-test	two.sided	3.14238938104965e-05	13v30	module1
PC 38:8 	1.84259973902901	11.8170879651445	9.97448822611545	2.56815941389777	0.0207195777223365	15.8794064722691	0.320673478437348	3.36452599962067	Welch Two Sample t-test	two.sided	0.0242860624122469	13v30	module1
PC 39:6 	0.885855918194807	14.8839287949361	13.9980728767413	3.66589208875652	0.00165562629980879	18.8886976518366	0.379878807189974	1.39183302919964	Welch Two Sample t-test	two.sided	0.00299689317560325	13v30	module1
PC 40:7 	0.709533775373744	10.1072263166762	9.39769254130246	4.66917720074646	0.000149751912066758	19.8807846824456	0.392426364876754	1.02664118587073	Welch Two Sample t-test	two.sided	0.000475878298345476	13v30	module1
PC 40:7 Isomer A 	0.798941350620916	15.0394121572156	14.2404708065947	3.52575406633343	0.00210084188289345	20.1906688483153	0.326544786683709	1.27133791455812	Welch Two Sample t-test	two.sided	0.00345310792245704	13v30	module1
PC 40:7 Isomer B 	1.09040878405898	16.7578796851734	15.6674709011144	4.70232050805828	0.000177610908560973	17.9973614212069	0.603226356146622	1.57759121197134	Welch Two Sample t-test	two.sided	0.000552138259222154	13v30	module1
PC 44:12	1.16250256842938	14.9404811462157	13.7779785777863	4.7357921473755	0.000122241471739006	20.2761415910629	0.650904431032127	1.67410070582664	Welch Two Sample t-test	two.sided	0.000426354401431168	13v30	module1
PC O-18:1_20:4 	0.405901704420122	9.03378443812967	8.62788273370955	3.83576207989795	0.000602344316432179	29.8392687718519	0.189738882375051	0.622064526465194	Welch Two Sample t-test	two.sided	0.00134043094184858	13v30	module1
PC O-33:6 	0.442924019105231	14.6604552532682	14.217531234163	2.56942420346535	0.0175818189705831	21.746749658359	0.0851828562347152	0.800665181975747	Welch Two Sample t-test	two.sided	0.0210683643093174	13v30	module1
PC O-34:2 	0.574434732772199	8.68037706142578	8.10594232865358	4.33277923086608	0.000133693469778252	32.3845349597781	0.304506230029879	0.844363235514519	Welch Two Sample t-test	two.sided	0.000444608515774188	13v30	module1
PC O-39:8 	0.978376516520765	12.9606389463728	11.982262429852	4.59432602252145	0.00018647479799779	19.4921903608069	0.533420828256011	1.42333220478552	Welch Two Sample t-test	two.sided	0.00056735949178051	13v30	module1
PC O-40:5 	0.26564588248654	8.24011870915162	7.97447282666508	2.7118234629607	0.0112983172450159	28.0445827333956	0.0650015701160219	0.466290194857058	Welch Two Sample t-test	two.sided	0.0145554897841195	13v30	module1
PC P-36:3 or PC O-36:4 	0.472518588852001	8.88367333656947	8.41115474771747	4.68703759310984	4.96808742442773e-05	31.8603142560643	0.267132057289074	0.677905120414928	Welch Two Sample t-test	two.sided	0.000208951912262696	13v30	module1
PC P-38:4 or PC O-38:5 Isomer A 	0.654001267263366	15.1357273976423	14.4817261303789	2.57838046693173	0.0185916116124989	18.6495665582087	0.12243373451028	1.18556880001645	Welch Two Sample t-test	two.sided	0.0219719046329532	13v30	module1
PC P-38:5 or PC O-38:6 	0.441955016310859	9.76347086393424	9.32151584762338	2.92814215316522	0.00848453628791471	19.4420377529776	0.126532806879653	0.757377225742064	Welch Two Sample t-test	two.sided	0.0111310888914844	13v30	module1
PC P-38:5 or PC O-38:6 Isomer A 	0.851080051637965	16.1508807731712	15.2998007215333	3.66534249032992	0.00173849506670504	18.2381396379515	0.363709278495362	1.33845082478057	Welch Two Sample t-test	two.sided	0.00306919499430643	13v30	module1
PE 36:4 	0.558067484519789	9.71703601376608	9.15896852924629	3.88386412266051	0.000663152864664028	25.1114249486379	0.262201583692358	0.85393338534722	Welch Two Sample t-test	two.sided	0.00141538596487994	13v30	module1
