lipid	identifier	PubChem.CID	Chemical.Name	INCHIKEY
(Z)-9,12,13-trihydroxyoctadec-15-enoic acid 	0.23_329.23	24066906	(Z)-9,12,13-trihydroxy-15-octadecenoic acid	DNWUYCUUEGGVPR-CLTKARDFSA-N
13-HODE 	0.33_295.23	5282948	(9E,11E)-13-hydroxyoctadeca-9,11-dienoic acid	HNICUWMFWZBIFP-KDFHGORWSA-N
15-OxoETE 	0.30_317.21	1443	15-Oxoicosa-5,8,11,13-tetraenoic acid	YGJTUEISKATQSM-UHFFFAOYSA-N
4-HDoHE 	0.30_343.23	53394255	4-Hydroxydocosa-5,7,10,13,16,19-hexaenoic acid	IFRKCNPQVIJFAQ-UHFFFAOYSA-N
4-METHYL-2-OXO-PENTANOIC ACID 	0.19_129.06	70	4-Methyl-2-oxopentanoic acid	BKAJNAXTPSGJCU-UHFFFAOYSA-N
5-HETE 	0.31_319.23	1771	5-Hete	KGIJOOYOSFUGPC-UHFFFAOYSA-N
8,15-DiHETE 	0.27_335.22	5283183	8S,15S-dihydroxy-5Z,9E,11Z,13E-eicosatetraenoic acid	NNPWRKSGORGTIM-HCCKYKKOSA-N
CAR 12:0 	0.30_344.28	168381	(3R)-3-(1-oxododecoxy)-4-(trimethylammonio)butanoate	FUJLYHJROOYKRA-QGZVFWFLSA-N
CAR 15:0	0.54_386.33	123132011	C15 Carnitine	MDDWQHVKSHTZTD-UHFFFAOYSA-N
CAR 16:0 	0.67_400.34	11953816	3-carboxy-N,N,N-trimethyl-2-[(1-oxohexadecyl)oxy]-1-Propanaminium	XOMRRQXKHMYMOC-OAQYLSRUSA-N
CAR 16:1	0.49_398.33	78076330	3-(1-oxohexadec-9-enoxy)-4-(trimethylammonio)butanoate	JFAGPSOZZSTLRF-UHFFFAOYSA-N
CAR 17:0	0.80_414.36	53477803	Heptadecanoyl carnitine	DWSFAVOTORHAAL-UHFFFAOYSA-N
CAR 18:0 Isomer A 	0.99_428.37	52922056	Stearoylcarnitine	FNPHNLNTJNMAEE-HSZRJFAPSA-N
CAR 18:1 	0.72_426.36	53477830	(4S)-4-[(11E)-octadec-11-enoyloxy]-4-(trimethylazaniumyl)butanoate	HITOYGLMAFIRNI-YSESTWPTSA-N
CAR 18:2 Isomer A 	0.55_424.34	6450015	O-linoleyl-L-carnitine	MJLXQSQYKZWZCB-DQFWFXSYSA-N
CAR 20:1 	1.03_454.39	71464507	(11Z)-eicoseneoylcarnitine	PVOQPLSKYNZHOT-SEYXRHQNSA-N
Cer 18:0;2O_20:0 	2.95_594.58	5239143	N-(1,3-dihydroxyoctadecan-2-yl)eicosanamide	ZWAUSWHRQBSECP-UHFFFAOYSA-N
Cer 22:0;2O/26:0 	3.15_734.74	132994873	N-(1,3-dihydroxydocosan-2-yl)hexacosanamide	RWONAHGWHDKVBG-UHFFFAOYSA-N
Cer 32:1;2O|Cer 14:1;O2/18:0	1.99_510.49	73814455	N-(1,3-dihydroxytetradec-4-en-2-yl)octadecanamide	NCKNBDIYAHEWMH-UHFFFAOYSA-N
Cer 34:1;O2|Cer 14:1;O2/20:0	2.37_536.50	85396172	N-(1,3-dihydroxytetradec-4-en-2-yl)icosanamide	DLTXHYMYPKOZOA-UHFFFAOYSA-N
Cer 58:11;2O 	3.86_854.73	164267617	(13Z,16Z,19Z,22Z,25Z,28Z,31Z,34Z,37Z)-N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]tetraconta-13,16,19,22,25,28,31,34,37-nonaenamide	GXTRSPPHWHQFMZ-NPNMLZSOSA-N
Cer d32:1 	2.11_544.45_2.11_568.49_2.11_508.47	5282310	N-(Tetradecanoyl)-sphing-4-enine	ZKRPGPZHULJLKJ-JHRQRACZSA-N
Cer d33:1 	2.24_558.47_2.23_582.51_2.24_522.49	52931112	N-(heptadecanoyl)-hexdecasphing-4-enine	QBFXCLDNTKBAPQ-STSAHMJASA-N
Cer d34:0 	2.45_574.50_2.45_598.54_2.45_538.52	5283572	N-(hexadecanoyl)-sphinganine	GCGTXOVNNFGTPQ-JHOUSYSJSA-N
Cer d34:1 Isomer B	2.37_572.48_2.37_582.51_2.37_596.53	5283564	N-Palmitoylsphingosine	YDNKGFDKKRUKPY-TURZORIXSA-N
Cer d34:2 	2.16_534.49	75963948	N-(1,3-dihydroxyoctadeca-4,14-dien-2-yl)hexadecanamide	XXWRZIYYFPIQHE-UHFFFAOYSA-N
Cer d35:1 	2.50_550.52	9985066	N-[(E,2S,3R)-1,3-dihydroxyheptadec-4-en-2-yl]octadecanamide	KGEXFGDEDXQZLQ-QKSCFGQVSA-N
Cer d36:1 Isomer B	2.63_600.51_2.63_624.56_2.63_564.54	6442676	N-(9Z-octadecenoyl)-sphinganine	MJQIARGPQMNBGT-WWUCIAQXSA-N
Cer d36:2 	2.37_562.52	25201955	N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)octadecanamide	WNPWDGNHTKGEDS-UHFFFAOYSA-N
Cer d37:1 	2.75_578.55	134725797	N-(eicosanoyl)-4E-heptadecasphingenine	CZKJGFHQZINDHS-RQDJVNCUSA-N
Cer d38:1 	2.87_628.54_2.87_652.59	5283566	N-icosanoylsphingosine	XWBWIAOWSABHFI-NUKVNZTCSA-N
Cer d38:2 	2.62_590.55	132994556	N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)icosanamide	NBSDZPNNDCXPFZ-UHFFFAOYSA-N
Cer d39:1 	2.99_642.56_2.99_666.60_2.99_606.58	11273482	N-(tricosanoyl)-hexadecasphing-4-enine	WYSRACVJQVNCRW-PQPBPFPMSA-N
Cer d39:2 	2.73_604.57	138318579	(Z)-N-[(E)-1,3-dihydroxypentadec-4-en-2-yl]tetracos-11-enamide	ZYPUFXIUMBJDCM-VNFREKOVSA-N
Cer d40:1 	3.11_656.58_3.11_620.60	5283567	N-docosanoylsphingosine	KEPQASGDXIEOIL-GLQCRSEXSA-N
Cer d40:2 	2.86_654.56_2.86_678.60_2.86_618.58	52931123	N-(docosanoyl)-4E,14Z-sphingadienine	HILTUFAERVOALR-MQXYEJFFSA-N
Cer d41:1 	3.21_670.59_3.10_680.62	52931115	N-(tricosanoyl)-sphing-4-enine	NAJHAHQNQCNWOP-PUYNVXOJSA-N
Cer d41:2 	2.96_692.62_2.97_632.60	138199486	(Z)-N-[(E)-1,3-dihydroxyheptadec-4-en-2-yl]tetracos-11-enamide	KZTBXGOBTULOIO-SZHIUZGGSA-N
Cer d42:2 	3.09_682.59_3.09_646.61_3.09_706.64	5283568	(Z)-N-[(E,2S,3R)-1,3-dihydroxyoctadec-4-en-2-yl]-15-tetracosenamide	VJSBNBBOSZJDKB-KPEYJIHVSA-N
Cer d42:3 	2.88_704.62	163141710	N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)tetracos-11-enamide	KADBCXSPXAVXJL-UHFFFAOYSA-N
Cer d46:1 	3.25_732.73	145714838	N-(octacosanoyl)-4E-eicosasphingenine	CZDSGZAXVMEXFM-NJLCVJHMSA-N
Cer-NDS d36:0 	2.69_566.55	4255985	N-(1,3-dihydroxyoctadecan-2-yl)octadecanamide	KZTJQXAANJHSCE-UHFFFAOYSA-N
Cholesterol 	1.89_369.35	5997	(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol	HVYWMOMLDIMFJA-DPAQBDIFSA-N
CoQ10	3.44_863.70	1156	Ubisemiquinone	ACTIUHUUMQJHFO-UHFFFAOYSA-N
DG 34:1 	2.65_633.49	5282283	1-Palmitoyl-2-oleoyl-sn-glycerol	YEJYLHKQOBOSCP-OZKTZCCCSA-N
DG 36:5 	2.24_632.52	9543737	DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)	PGXBELQFNRPKBC-WBVIKXMWSA-N
DG 38:5 	2.48_681.49_2.47_665.51_2.48_660.56	9543784	DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)	GRGDLDNREYVILP-CNWVQWJYSA-N
DG 38:6 	2.26_679.47_2.25_658.54	9543795	DG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0)	YDVDXUYJFQLPEG-CTHJWPIASA-N
FA 17:1	0.88_267.23	3014063	9-heptadecenoic acid	QSBYPNXLFMSGKH-UHFFFAOYSA-N
FA 18:1 (oleic acid) 	1.06_281.25	445639	Emersol 220 White Oleate	ZQPPMHVWECSIRJ-KTKRTIGZSA-N
FA 18:1+2O 	0.28_313.24	53394288	9,10-Dihydroxyoctadec-12-enoic acid	XEBKSQSGNGRGDW-UHFFFAOYSA-N
FA 18:2 (linoleic acid) 	0.79_279.23	5282796	9,11-Octadecadienoic acid	JBYXPOFIGCOSSB-XBLVEGMJSA-N
FA 18:2+2O 	0.26_311.22	1928	9S-hydroperoxy-10E,12Z-octadecadienoic acid	JGUNZIWGNMQSBM-UHFFFAOYSA-N
FA 18:3 (linolenic acid) 	0.60_277.22	5280934	LINOLENIC ACID	DTOSIQBPPRVQHS-PDBXOOCHSA-N
FA 19:1 	1.23_295.26	14275215	9-Nonadecenoic acid	YOKHLRHWEXTWJR-ZHACJKMWSA-N
FA 20:1	1.36_309.28	142770	(EZ)-Icosenoic acid	BITHHVVYSMSWAG-UHFFFAOYSA-N
FA 20:2 (eicosadienoic acid) 	1.16_307.26	6439848	Eicosadienoic acid	XSXIVVZCUAHUJO-HZJYTTRNSA-N
FA 20:3 (eicosatrienoic acid) 	0.94_305.25	5312529	11,14,17-Eicosatrienoic acid	AHANXAKGNAKFSK-PDBXOOCHSA-N
FA 20:4 (arachidonic acid) 	0.74_303.23	444899	Arachidonate	YZXBAPSDXZZRGB-DOFZRALJSA-N
FA 20:5 (eicosapentaenoic acid) 	0.56_301.22	446284	Icosapent (INN)	JAZBEHYOTPTENJ-JLNKQSITSA-N
FA 22:1 (erucic acid) 	1.58_337.31	5281116	Erucic Acid	DPUOLQHDNGRHBS-KTKRTIGZSA-N
FA 22:2 (docosadienoic acid) 	1.41_335.30	5282807	13,16-Docosadienoic acid	HVGRZDASOHMCSK-AVQMFFATSA-N
FA 22:4 	1.03_331.26	5497181	(7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid	TWSWSIQAPQLDBP-DOFZRALJSA-N
FA 22:6 (docosahexaenoic acid) 	0.65_327.23	445580	HXA	MBMBGCFOFBJSGT-KUBAVDMBSA-N
FA 24:0(2OH)	1.47_383.35	102430	2-Hydroxytetracosanoic acid	MSUOLNSQHLHDAS-UHFFFAOYSA-N
