identifier	lipid	PubChem.CID	Chemical.Name	INCHIKEY
3.86_854.73	Cer 58:11;2O 	164267617	(13Z,16Z,19Z,22Z,25Z,28Z,31Z,34Z,37Z)-N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]tetraconta-13,16,19,22,25,28,31,34,37-nonaenamide	GXTRSPPHWHQFMZ-NPNMLZSOSA-N
3.55_813.64	SM 41:3;3O 	164358775	[(8E,12E,16E)-3,4-dihydroxy-2-(tricosanoylamino)octadeca-8,12,16-trienyl] 2-(trimethylazaniumyl)ethyl phosphate	NVRRDYIOAREJKE-SLOFWGFHSA-N
3.77_808.75	TG 14:0_16:0_17:1 	56938013	1-tetradecanoyl-2-hexadecanoyl-3-(9Z-heptadecenoyl)-sn-glycerol	PGYNJJCWPCAGLG-BDUYNUQCSA-N
4.12_906.85	TG 16:0_18:1_20:0 	85034455	(3-Hexadecanoyloxy-2-octadec-9-enoyloxypropyl) icosanoate	YWKYRFUPKVVPAH-UHFFFAOYSA-N
4.36_962.90	TG 18:0_18:1_22:0 	53874005	(3-Octadecanoyloxy-2-octadec-9-enoyloxypropyl) docosanoate	HFCKOGWQFCDRLW-UHFFFAOYSA-N
3.46_938.82	TG 19:2_19:2_19:2 	165271413	2,3-bis[[(9Z,12Z)-nonadeca-9,12-dienoyl]oxy]propyl (9Z,12Z)-nonadeca-9,12-dienoate	OWYSBHPRWHZONR-MOKVCOEPSA-N
3.69_768.71	TG 44:0 	14169768	1,3-Ditetradecanoyl-2-hexade-canoyl-glycerol	UXWDTZNNQVHGSG-UHFFFAOYSA-N
3.85_796.75	TG 46:0 	4099879	1,2-Dipalmitoyl-3-myristoyl-rac-glycerol	JWVXCFSNEOMSHH-UHFFFAOYSA-N
3.70_794.71	TG 46:1 	11764207	1,2-Dimyristoyl-3-oleoyl glycerol	RSDIQTNCDWUNDP-VHXPQNKSSA-N
3.58_792.71	TG 46:2 	56936582	1-tetradecanoyl-2,3-di-(9Z-hexadecenoyl)-sn-glycerol	XUEMVUXNOCIHLG-MOFPORNTSA-N
3.99_824.76	TG 48:0 	11147	Tripalmitin	PVNIQBQSYATKKL-UHFFFAOYSA-N
3.85_843.70_3.85_827.71_3.85_822.77	TG 48:1 	9543986	1,2-dihexadecanoyl-3-(9Z-hexadecenoyl)-sn-glycerol	FEKLSEFRUGWUOS-DLOIZKPKSA-N
3.69_825.69_3.74_820.74	TG 48:2 	9543987	TG(16:0/16:1(9Z)/16:1(9Z))[iso3]	RUOVJPPUXXFZPC-YZEIBMOJSA-N
4.05_838.79	TG 49:0 	9543988	1,2-Dihexadecanoyl-3-heptadecanoyl-sn-glycerol	TTWJTJMWHOYBPQ-ANFMRNGASA-N
4.13_852.81	TG 50:0 	545588	TG(18:0/14:0/18:0)[iso3]	MARPCPMDFOPPJX-UHFFFAOYSA-N
