Lipid,identifier,lipid,Ion.species,INCHIKEY
72,1.82_751.53,DG 45:11,[M+Na]+,LNHJAGNJTQKBEC-UHFFFAOYSA-N
74,2.26_781.58,DG 47:10,[M+Na]+,GPQKHIJZOQBYHF-UHFFFAOYSA-N
102,2.28_807.56,GlcADG 37:3 ,[M-H]-,UTZWWDIWEOVCQN-JTBMWNAQSA-N
117,2.14_778.53,LNAPE 20:4_N-19:1 ,[M-H]-,YGNHTBSNYNKPPR-QXHWDXSJSA-N
129,2.30_740.56,LPC 32:1 ,[M+Na]+,ZJIXPFHQCRWXJV-PFONDFGASA-N
172,2.10_720.56,PC 31:0,[M+H]+,LLHISNQVRRYJGL-UHFFFAOYSA-N
174,1.90_718.54,PC 31:1 ,[M+H]+,QFVHCMLUKNHDSH-WTWBAFHPSA-N
182,2.12_746.57_2.08_768.55,PC 33:1 Isomer A,[M+H]+_[M+Na]+,OFRWLQSOUIZELQ-VEAYGOGPSA-N
183,2.25_804.58,PC 33:1 Isomer B,[M+Hac-H]- ,GXTATYLPYLLNLV-MGIDVFSBSA-N
185,2.08_802.56,PC 33:2 Isomer B,[M+Hac-H]-,SBNDHGBVMZMSNL-UESLNCBNSA-N
186,1.90_798.51,PC 33:4|PC 14:0_19:4,[M+CH3COO]-,LINQPZCEZRTEOY-UHFFFAOYSA-N
198,2.18_754.54,PC 34:4|PC 16:2_18:2,[M+H]+,ZPUCIFKHJMJFJR-UHFFFAOYSA-N
199,2.01_752.53,PC 34:5|PC 14:0_20:5,[M+H]+,WCNDCUHEAPXSRE-UHFFFAOYSA-N
200,2.33_774.60,PC 35:1 Isomer A,[M+H]+,MFHIZGSSDZJFKD-IYEJTHTFSA-N
201,2.48_832.61,PC 35:1 Isomer B,[M+Hac-H]-,MFHIZGSSDZJFKD-IYEJTHTFSA-N
203,2.29_830.59,PC 35:2 ,[M+Hac-H]- ,ZSKWZJYUVZYDQU-WESJWMGVSA-N
204,2.14_772.59,PC 35:2 Isomer B ,[M+H]+,MJWAVUYQCBFFHQ-WESJWMGVSA-N
206,1.97_770.57,PC 35:3 ,[M+H]+,AYXGHIQPMDYMJC-AHMBLZLYSA-N
207,1.91_768.56,PC 35:4 Isomer A,[M+H]+,OROZWUJCDDCYAU-IPUAOQJZSA-N
208,2.03_826.56,PC 35:4 Isomer B,[M+Hac-H]-,LYNZMLHNPYEREG-ZHMZGHMTSA-N
227,2.36_800.62,PC 37:2 Isomer A,[M+H]+,MCZUABDVGPPWPM-HJTCUGKVSA-N
228,2.50_858.62,PC 37:2 Isomer B,[M+Hac-H]-,MCZUABDVGPPWPM-HJTCUGKVSA-N
229,2.17_798.60,PC 37:3 ,[M+H]+,OOYQEEUUQRMQKL-JUUDQZDJSA-N
230,2.13_796.59,PC 37:4 ,[M+H]+,QRPUCJXFPYFTMB-FBFLODOBSA-N
231,1.93_794.57_1.93_816.55,PC 37:5 ,[M+H]+_[M+Na]+,
232,1.84_792.55_1.88_814.54,PC 37:6 ,[M+H]+_[M+Na]+,GEINPYKZLFHHIL-GlcXMCQTSA-N
254,2.13_822.60,PC 39:5 Isomer B,[M+H]+,LGGLGFSWJITMHS-MJJBRJPASA-N
255,2.13_878.59,PC 39:6,[M+CH3COO]-,IMIBYYUIZPCHBJ-UHFFFAOYSA-N
256,2.01_820.59_2.02_842.57,PC 39:6 ,[M+H]+_[M+Na]+,QMCWOGICYCFNBF-BWHZRABLSA-N
257,1.89_818.57,PC 39:7|PC 17:1_22:6,[M+H]+,BWMGYQAIDPQZGJ-UHFFFAOYSA-N
258,1.74_816.55,PC 39:8,[M+H]+,UQCDOWUBGDHSMU-UHFFFAOYSA-N
259,1.60_814.54,PC 39:9,[M+H]+,HFQOHFIVVRPSHG-UHFFFAOYSA-N
277,1.67_840.55,PC 41:10|PC 19:4_22:6,[M+H]+,JAFRHASVFSGFFW-UHFFFAOYSA-N
280,2.07_846.60,PC 41:7 Isomer A,[M+H]+,MOZVGHCUWNOTHQ-UHFFFAOYSA-N
281,2.19_904.61,PC 41:7|PC 19:1_22:6,[M+CH3COO]-,MOZVGHCUWNOTHQ-UHFFFAOYSA-N
283,1.76_842.57,PC 41:9,[M+H]+,BEOPRPBCHVTXIL-UHFFFAOYSA-N
296,1.83_868.59,PC 43:10 Isomer B,[M+H]+,YRQVLDTZSIUUFV-UHFFFAOYSA-N
303,2.15_812.58,PC O-16:0_20:4 ,[M+FA-H]-,SOUZQPFUXRVDGK-KCTKZSJBSA-N
305,2.22_838.60,PC O-18:1_20:4 ,[M+FA-H]-,FHHVIBPVBBRLOR-IYACIECVSA-N
334,1.65_762.54,PC O-36:7|PC O-16:2_20:5,[M+H]+,NKWNBXHINFKLLJ-UHFFFAOYSA-N
338,2.06_778.57,PC O-37:6|PC O-13:0_24:6,[M+H]+,OGKBDEGUVIOGOS-UHFFFAOYSA-N
350,1.73_788.55,PC O-38:8|PC O-22:4_16:4,[M+H]+,KKYAKTKSGHLZLO-UHFFFAOYSA-N
402,2.13_750.51,PE 37:5|PE 17:0_20:5,[M-H]-,YRRQJTQXWQBPQK-UHFFFAOYSA-N
421,2.41_736.53,PE O-17:1_20:4 ,[M-H]-,ZTNZTGXTHOFZGC-UHFFFAOYSA-N
439,2.12_736.53,PE P-37:5|PE P-17:0_20:5,[M+H]+,IGBDUBDKFYMFHJ-UHFFFAOYSA-N
440,1.90_734.52,PE P-37:6|PE P-17:1_20:5,[M+H]+,KQDZBNVXKAEDAT-UHFFFAOYSA-N
444,2.12_762.55,PE P-39:6|PE P-19:1_20:5,[M+H]+,IYADYBNFZSWUNC-UHFFFAOYSA-N
474,1.73_869.52,PI 37:5,[M-H]-,RORLLARSMMOWBD-UHFFFAOYSA-N
494,1.94_826.52,SHexCer 38:5;O2,[M-H]-,GBRAOBUNRZNGLG-UHFFFAOYSA-N
504,2.07_805.58,SM 41:6;O2,[M+H]+,JGIRWGSINKJOLC-UHFFFAOYSA-N
541,3.51_761.60,TG 42:0 ,[M+K]+,DUXYWXYOBMKGIN-UHFFFAOYSA-N
