INCHIKEY,Chemical.Name,PubChem.CID,Lipid,identifier,lipid
JLPULHDHAOZNQI-UHFFFAOYSA-N,[3-(1-oxohexadecoxy)-2-(1-oxooctadeca-9,12-dienoxy)propyl] 2-(trimethylammonio)ethyl phosphate,122218,154,2.18_792.53,PC 16:0_18:2 
HRBNRYBXXRPMKP-OMCHRGCMSA-N,[2-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,24778981,160,1.83_862.56,PC 18:2_20:5 
JLPULHDHAOZNQI-ZTIMHPMXSA-N,Lecithin,5287971,192,2.04_758.57,PC 34:2 Isomer A
JLPULHDHAOZNQI-ZTIMHPMXSA-N,Lecithin,5287971,193,2.16_816.58,PC 34:2 Isomer B
CNNSEHUKQJCGTE-UPPWDXJYSA-N,PC(16:0/18:3(6Z,9Z,12Z)),24778699,194,1.98_814.57,PC 34:3 
VKVSSDKCKXJFIM-AFYHZPHLSA-N,PC(20:3(8Z,11Z,14Z)/14:0),52923213,195,1.89_756.56,PC 34:3 Isomer B 
BXRLDROZWDUSGM-ZRYFCQOPSA-N,PC(18:1(9Z)/18:2(6Z,9Z)),24778937,216,2.07_784.59,PC 36:3 Isomer A 
YPAZQMWFRMHBBM-CLKMJQEKSA-N,PC(18:2(9Z,12Z)/18:1(11Z)),53478785,217,2.19_842.59,PC 36:3 Isomer AB
NKQPOVROGSWLTO-NVPMBMBWSA-N,PC(18:3(6Z,9Z,12Z)/18:1(9Z)),52922783,218,1.88_782.57_1.89_804.55,PC 36:4 Isomer A 
SUZYROYNFNQALJ-MHEIZRSESA-N,PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0),52923341,221,1.76_780.55,PC 36:5 Isomer A 
SIMZOWLEIOYZJX-VRCXRDLJSA-N,PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z)),53479127,272,1.80_830.57_1.80_852.55,PC 40:8 Isomer A
BFCSBEFTXQRIOJ-IMYLGOOQSA-N,PC(20:4(8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z)),53479093,273,1.90_888.58,PC 40:8 Isomer B
GKAFCSRKMWFPSJ-RQOIEFAZSA-N,[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] (Z)-octadec-9-enoate,25245362,399,2.24_740.52,PE 36:3 
AJTJVNKPLZTLHV-UHFFFAOYSA-N,[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadeca-9,12-dienoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate,75957373,410,1.76_762.52,PE 38:7|PE 18:2_20:5 Isomer A
AJTJVNKPLZTLHV-UHFFFAOYSA-N,[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadeca-9,12-dienoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate,75957373,411,1.86_760.49,PE 38:7|PE 18:2_20:5 Isomer B
FQGSWQFJOVVRRB-UHFFFAOYSA-N,[1-Hexadecanoyloxy-3-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate,75961205,473,1.64_855.50,PI 36:5 
