INCHIKEY,Chemical.Name,PubChem.CID,Lipid,identifier,lipid
MLHVKKWOXVSPDG-VLGSPTGOSA-N,PEtOH 16:0_16:1,138211560,448,1.97_673.48,PEtOH 16:0_16:1 
JCABVIFDXFFRMT-VXPUYCOJSA-N,PEtOH 16:0_18:1,56640029,449,2.16_701.51,PEtOH 16:0_18:1 
QTIJJMLOUMWMQQ-BUPHOURSSA-N,PEtOH 16:0_20:4,138247565,450,1.90_723.50,PEtOH 16:0_20:4 
BHQKOVPFLAAQTH-IQRFGFHNSA-N,PEtOH 16:1_16:1,138126591,451,1.82_671.47,PEtOH 16:1_16:1 
SQEHUBDFCCVGCJ-FRKBGCJLSA-N,PEtOH 16:1_18:1,138263544,452,1.99_699.50,PEtOH 16:1_18:1 
JSNRLDUOKDFFEU-WRBBJXAJSA-N,PEtOH 18:1_18:1,10283746,453,2.19_727.53,PEtOH 18:1_18:1 
GPUYXMCSIACMOK-YBDJVEANSA-N,PEtOH 18:1_20:4,138162825,454,1.98_749.51,PEtOH 18:1_20:4 
VAARQXKGNHCRDF-HNENSFHCSA-N,PMeOH 16:0_18:1,91844613,482,2.09_687.50,PMeOH 16:0_18:1 
PXPCKHZLDQZOMG-DUZKARGPSA-N,PMeOH 16:0_18:2,138240731,483,1.90_685.48,PMeOH 16:0_18:2 
GLAIFIDZABIAJR-KHDVSGDZSA-N,PMeOH 16:0_20:4,138161235,484,1.87_709.48,PMeOH 36:4 
