"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"N-[(E,2S,3R)-1,3-dihydroxyheptadec-4-en-2-yl]octadecanamide","NA","NA","NA","NA","NA","0"
"N-(9Z-octadecenoyl)-sphinganine","Cer(d18:0/18:1(9Z))","HMDB0011763","6442676",NA,"CCCCCCCCCCCCCCC[C@@H](O)[C@H](CO)NC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)octadecanamide","NA","NA","NA","NA","NA","0"
"N-(eicosanoyl)-4E-heptadecasphingenine","NA","NA","NA","NA","NA","0"
"N-icosanoylsphingosine","Cer(d18:1/20:0)","HMDB0004951","5283566","C00195","[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)icosanamide","NA","NA","NA","NA","NA","0"
"N-(tricosanoyl)-hexadecasphing-4-enine","NA","NA","NA","NA","NA","0"
"(Z)-N-[(E)-1,3-dihydroxypentadec-4-en-2-yl]tetracos-11-enamide","NA","NA","NA","NA","NA","0"
"N-docosanoylsphingosine","NA","NA","NA","NA","NA","0"
"N-(docosanoyl)-4E,14Z-sphingadienine","NA","NA","NA","NA","NA","0"
"N-(tricosanoyl)-sphing-4-enine","Cer(d18:1/23:0)","HMDB0000950","52931115",NA,"[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"(Z)-N-[(E)-1,3-dihydroxyheptadec-4-en-2-yl]tetracos-11-enamide","NA","NA","NA","NA","NA","0"
"(Z)-N-[(E,2S,3R)-1,3-dihydroxyoctadec-4-en-2-yl]-15-tetracosenamide","NA","NA","NA","NA","NA","0"
"N-(1,3-dihydroxyoctadeca-4,8-dien-2-yl)tetracos-11-enamide","NA","NA","NA","NA","NA","0"
"N-(octacosanoyl)-4E-eicosasphingenine","NA","NA","NA","NA","NA","0"
"Ubisemiquinone","NA","NA","NA","NA","NA","0"
"1-Palmitoyl-2-oleoyl-sn-glycerol","DG(16:0/18:1(9Z)/0:0)","HMDB0007102","5282283","C13861","[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
