"LION-term","LION:0000001","LION:0000002","LION:0000003","LION:0000004","LION:0000005","LION:0000010","LION:0000011","LION:0000012","LION:0000013","LION:0000014","LION:0000030","LION:0000031","LION:0000032","LION:0000034","LION:0000035","LION:0000038","LION:0000039","LION:0000040","LION:0000042","LION:0000043","LION:0000047","LION:0000053","LION:0000056","LION:0000059","LION:0000077","LION:0000078","LION:0000080","LION:0000084","LION:0000093","LION:0000094","LION:0000095","LION:0000100","LION:0000119","LION:0000128","LION:0000146","LION:0000147","LION:0000151","LION:0000153","LION:0000159","LION:0000164","LION:0000169","LION:0000170","LION:0000172","LION:0000174","LION:0000178","LION:0000183","LION:0000186","LION:0000190","LION:0000191","LION:0000199","LION:0000202","LION:0000203","LION:0000206","LION:0000207","LION:0000210","LION:0000212","LION:0000214","LION:0000254","LION:0000259","LION:0000266","LION:0000283","LION:0000284","LION:0000287","LION:0000288","LION:0000295","LION:0000306","LION:0000307","LION:0000309","LION:0000326","LION:0000327","LION:0000331","LION:0000332","LION:0000333","LION:0000336","LION:0000337","LION:0000341","LION:0000342","LION:0000343","LION:0000344","LION:0000350","LION:0000351","LION:0000352","LION:0000354","LION:0000367","LION:0000370","LION:0000371","LION:0000373","LION:0000376","LION:0000391","LION:0000394","LION:0000396","LION:0000401","LION:0000405","LION:0000453","LION:0000464","LION:0000465","LION:0000466","LION:0000467","LION:0000494","LION:0000495","LION:0000508","LION:0000518","LION:0000541","LION:0000557","LION:0000562","LION:0000580","LION:0000583","LION:0000584","LION:0000586","LION:0000587","LION:0000588","LION:0000591","LION:0000598","LION:0000599","LION:0000603","LION:0000604","LION:0000607","LION:0000622","LION:0000639","LION:0000650","LION:0000658","LION:0000659","LION:0000727","LION:0000732","LION:0000736","LION:0000737","LION:0000738","LION:0000742","LION:0000743","LION:0000744","LION:0000750","LION:0000751","LION:0000752","LION:0000754","LION:0000759","LION:0000760","LION:0000762","LION:0000763","LION:0000764","LION:0000765","LION:0000766","LION:0000769","LION:0000770","LION:0000773","LION:0000775","LION:0000782","LION:0000789","LION:0000794","LION:0000799","LION:0000801","LION:0000841","LION:0001284","LION:0001322","LION:0001325","LION:0001327","LION:0001331","LION:0001360","LION:0001364","LION:0001375","LION:0001376","LION:0001568","LION:0001571","LION:0001572","LION:0001573","LION:0001579","LION:0001580","LION:0001587","LION:0001637","LION:0001655","LION:0001658","LION:0001663","LION:0001672","LION:0001681","LION:0001684","LION:0001694","LION:0001697","LION:0001707","LION:0001710","LION:0001734","LION:0001735","LION:0001736","LION:0001737","LION:0001738","LION:0001739","LION:0001740","LION:0001741","LION:0001742","LION:0001753","LION:0001763","LION:0002113","LION:0002114","LION:0002565","LION:0002567","LION:0002578","LION:0002882","LION:0002900","LION:0002921","LION:0002922","LION:0002923","LION:0002924","LION:0002925","LION:0002926","LION:0002927","LION:0002928","LION:0002929","LION:0002930","LION:0002931","LION:0002932","LION:0002933","LION:0002934","LION:0002935","LION:0002937","LION:0002938","LION:0002945","LION:0002946","LION:0002947","LION:0002948","LION:0002949","LION:0002950","LION:0002951","LION:0002953","LION:0002954","LION:0002955","LION:0002956","LION:0002957","LION:0002958","LION:0002959","LION:0002960","LION:0002961","LION:0002963","LION:0002964","LION:0002965","LION:0002966","LION:0002967","LION:0002968","LION:0002969","LION:0002970","LION:0002971","LION:0002972","LION:0002973","LION:0002974","LION:0002976","LION:0002977","LION:0002978","LION:0002979","LION:0002980","LION:0002996","LION:0002998","LION:0003021","LION:0003061","LION:0003067","LION:0003071","LION:0003130","LION:0003173","LION:0003458","LION:0003474","LION:0003551","LION:0003697","LION:0003721","LION:0004176","LION:0004185","LION:0005288","LION:0005896","LION:0012009","LION:0012010","LION:0012011","LION:0012017","LION:0012080","LION:0012081","LION:0012082","LION:0012084","LION:0012085","LION:0012086","LION:0012441","LION:0014737","LION:0014813","LION:0016487","LION:0016501","LION:0017371","LION:0017374","LION:0022229","LION:0022231","LION:0022234","LION:0022242","LION:0022245","LION:0022260","LION:0022265","LION:0022272","LION:0022282","LION:0022296","LION:0041175","LION:0041232","LION:0041236","LION:0041237","LION:0041240","LION:0041262","LION:0041265","LION:0041278","LION:0041279","LION:0041336","LION:0052716","LION:0052720","LION:0052725","LION:0052783","LION:0052784","LION:0052825","LION:0066215","LION:0066937","LION:0071625","LION:0080654","LION:0080968","LION:0080969","LION:0080970","LION:0080971","LION:0080972","LION:0080973","LION:0080974","LION:0080976","LION:0080977","LION:0080978","LION:0080979","LION:0080980","LION:0080981","LION:0080982","LION:0143668","LION:0143673","LION:0143686","LION:0143694","LION:0143697","LION:0143699","LION:0143709","LION:0143719","LION:0144053","LION:0144055","LION:0144056","LION:0144058","LION:0144063","LION:0144082","LION:0144083","LION:0144161","LION:0144163","LION:0144166","LION:0144170","LION:0144171","LION:0144175","LION:0144176"
"LION-name","fatty acids [FA]","glycerolipids [GL]","glycerophospholipids [GP]","sphingolipids [SP]","sterol lipids [ST]","glycerophosphocholines [GP01]","glycerophosphoethanolamines [GP02]","glycerophosphoinositols [GP06]","glycerophosphoserines [GP03]","glycerophosphoglycerols [GP04]","diacylglycerophosphocholines [GP0101]","1-alkyl,2-acylglycerophosphocholines [GP0102]","1-(1z-alkenyl),2-acylglycerophosphocholines [GP0103]","monoacylglycerophosphocholines [GP0105]","monoalkylglycerophosphocholines [GP0106]","diacylglycerophosphoethanolamines [GP0201]","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","monoacylglycerophosphoethanolamines [GP0205]","monoalkylglycerophosphoethanolamines [GP0206]","diacylglycerophosphoinositols [GP0601]","diacylglycerophosphoserines [GP0301]","monoacylglycerophosphoserines [GP0305]","diacylglycerophosphoglycerols [GP0401]","ceramides [SP02]","phosphosphingolipids [SP03]","neutral glycosphingolipids [SP05]","ceramide phosphocholines (sphingomyelins) [SP0301]","headgroup with negative charge","headgroup with neutral charge","headgroup with positive charge / zwitter-ion","fatty acid with 18 carbons or less","PC(O-16:0/20:4)","PC(O-18:1/20:4)","PC(30:1)","PC(30:0)","PC(O-32:2)","PC(O-32:0)","PC(32:0)","PC(O-34:2)","PC(34:3)","PC(34:2)","PC(34:0)","PC(O-36:4)","PC(36:6)","PC(36:1)","PC(O-38:5)","PC(38:7)","PC(38:6)","PC(O-40:5)","PC(40:7)","PC(40:6)","PC(40:3)","PC(40:2)","PC(42:9)","PC(42:7)","PC(42:5)","C12:0","C14:0","PG(36:2)","HexCer(38:1)","HexCer(40:1)","HexCer(42:2)","HexCer(42:1)","PI(36:5)","PI(38:5)","PI(38:4)","PI(38:2)","PE(O-34:3)","PE(O-34:2)","PE(34:2)","PE(34:1)","PE(34:0)","PE(O-36:4)","PE(O-36:3)","PE(36:4)","PE(36:3)","PE(36:2)","PE(36:1)","PE(38:6)","PE(38:5)","PE(38:4)","PE(38:2)","PS(34:1)","PS(36:2)","PS(36:1)","PS(38:4)","PS(40:6)","SM(32:0)","SM(34:2)","SM(34:0)","SM(36:0)","SM(38:1)","simple glc series [SP0501]","negative intrinsic curvature","neutral intrinsic curvature","positive intrinsic curvature","contains ether-bond","PI(40:7)","PI(40:5)","PS(40:5)","PI(34:2)","cholesterol","sterols [ST01]","cholesterol and derivatives [ST0101]","PC(16:0/0:0)","PC(18:1/0:0)","PC(18:2/0:0)","PC(20:0/0:0)","PC(20:1/0:0)","PC(20:2/0:0)","PC(20:5/0:0)","PC(22:6/0:0)","lysoglycerophospholipids","diradylglycerols [GL02]","triradylglycerols [GL03]","diacylglycerols [GL0201]","triacylglycerols [GL0301]","DG(34:1)","DG(36:5)","DG(38:5)","DG(38:6)","TG(42:0)","TG(44:0)","TG(46:0)","TG(46:1)","TG(46:2)","TG(48:0)","TG(48:1)","TG(48:2)","TG(50:0)","TG(50:1)","TG(50:2)","TG(50:4)","TG(52:0)","TG(52:1)","TG(52:3)","TG(52:4)","TG(52:5)","TG(52:6)","TG(52:7)","TG(54:0)","TG(54:1)","TG(54:2)","TG(54:4)","TG(56:1)","TG(56:6)","TG(58:1)","TG(58:2)","TG(58:4)","TG(64:1)","PE(40:3)","PC(O-34:0)","PC(O-36:1)","PC(O-38:7)","PC(O-40:7)","PE(O-36:1)","PE(O-38:2)","PE(O-40:7)","PE(O-40:8)","PE(16:0/0:0)","PE(18:0/0:0)","PE(18:1/0:0)","PE(18:2/0:0)","PE(20:4/0:0)","PE(20:5/0:0)","PE(22:6/0:0)","PS(18:0/0:0)","Cer(32:1)","Cer(34:0)","Cer(34:2)","Cer(36:2)","Cer(38:1)","Cer(38:2)","Cer(40:1)","Cer(40:2)","Cer(42:2)","Cer(42:3)","contains vinyl ether bond (plasmalogen)","very low transition temperature","low transition temperature","average transition temperature","high transition temperature","very high transition temperature","above average transition temperature","below average transition temperature","fatty acids and conjugates [FA01]","FFA(20:1)","FFA(22:4)","SM(32:2)","SM(36:4)","PC(34:5)","PC(38:8)","PC(44:12)","C16:0","C16:1","C18:0","C18:1","C18:2","C18:3","C20:0","C20:1","C20:2","C20:3","C20:4","C20:5","C22:0","C22:1","C22:2","C22:3","C22:4","C22:6","C24:0","fatty acid with more than 18 carbons","fatty acid with less than 13 carbons","fatty acid with 13-15 carbons","fatty acid with 16-18 carbons","fatty acid with 19-21 carbons","fatty acid with 22-24 carbons","fatty acid with more than 24 carbons","fatty acid with 14 carbons","fatty acid with 15 carbons","fatty acid with 16 carbons","fatty acid with 17 carbons","fatty acid with 18 carbons","fatty acids with 19 carbons","fatty acid with 20 carbons","fatty acid with 21 carbons","fatty acid with 22 carbons","fatty acid with 24 carbons","fatty acid with 25 carbons","fatty acid with 26 carbons","fatty acid with less than 2 double bonds","polyunsaturated fatty acid","saturated fatty acid","monounsaturated fatty acid","fatty acid with 2 double bonds","fatty acid with 3 double bonds","fatty acid with 4 double bonds","fatty acid with 5 double bonds","fatty acid with 6 double bonds","fatty acid with more than 3 double bonds","fatty acid with 3-5 double bonds","fatty acid with more than 5 double bonds","C26:0","fatty acid with 12 carbons","PC(14:0/16:1)","PC(14:0/16:0)","PC(16:0/18:2)","PC(18:0/18:1)","PC(18:2/20:5)","PC(16:0/22:6)","PC(18:0/22:6)","PC(20:1/20:1)","PI(18:0/20:4)","PI(18:0/20:2)","PE(16:1/18:1)","PS(16:0/22:4)","PS(18:0/22:6)","PI(18:1/22:6)","PI(18:1/22:4)","TG(16:0/18:1/20:0)","TG(18:0/18:1/22:0)","lipid-mediated signalling","membrane component","lipid storage","hexosylceramides","endoplasmic reticulum (ER)","mitochondrion","plasma membrane","lipid droplet","golgi apparatus","endosome/lysosome","N-acylsphingosines (ceramides) [SP0201]","PG(38:7)","PG(44:12)","PE(O-16:1/18:2)","PE(O-16:1/18:1)","PE(O-18:1/22:6)","PE(O-18:2/22:6)","C15:0","C17:0","C17:1","C19:1","C19:2","FFA(17:1)","C21:4","C25:0","FFA(19:1)","FFA(25:0)","PC(24:0)","PC(29:0)","PC(31:0)","PC(31:1)","PC(33:0)","PC(35:2)","PC(35:3)","PC(37:3)","PC(37:4)","PC(39:6)","PC(O-29:0)","PC(O-31:0)","PC(O-33:0)","PC(O-37:5)","PC(O-37:6)","PC(O-39:8)","PE(O-16:1/22:6)","PE(O-18:2/18:2)","PE(O-38:7)","PE(18:0/22:3)","very low bilayer thickness","low bilayer thickness","average bilayer thickness","high bilayer thickness","very high bilayer thickness","below average bilayer thickness","above average bilayer thickness","very low lateral diffusion","low lateral diffusion","average lateral diffusion","high lateral diffusion","very high lateral diffusion","below average lateral diffusion","above average lateral diffusion","TG(47:1)","TG(49:0)","TG(51:3)","TG(53:1)","TG(53:4)","TG(53:6)","TG(55:7)","TG(57:6)","SM(33:1)","SM(35:1)","SM(35:2)","SM(37:1)","SM(39:2)","SM(30:1)","SM(31:1)","Cer(33:1)","Cer(35:1)","Cer(37:1)","Cer(39:1)","Cer(39:2)","Cer(41:1)","Cer(41:2)"
"[#0001] (Z)-9,12,13-trihydroxyoctadec-15-enoic acid ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0002] 13-HODE ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0003] 15-OxoETE ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0004] 4-HDoHE ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0005] 4-METHYL-2-OXO-PENTANOIC ACID ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0006] 5-HETE ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0007] 8,15-DiHETE ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0008] CAR 12:0 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0009] CAR 15:0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0010] CAR 16:0 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0011] CAR 16:1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
