"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",31,13,1.71,"8.3e-11","6.79e-09"
"LION:0012086","endosome/lysosome",32,13,1.77,"1.4e-10","6.79e-09"
"LION:0000004","sphingolipids [SP]",61,14,3.37,"1.2e-07","3.88e-06"
"LION:0012082","plasma membrane",65,13,3.59,"2.9e-06","7.03e-05"
"LION:0000095","headgroup with positive charge / zwitter-ion",241,21,13.32,"0.00018","3.07e-03"
"LION:0012010","membrane component",273,22,15.09,"0.00019","3.07e-03"
"LION:0001740","above average transition temperature",19,6,1.05,"0.00024","3.33e-03"
"LION:0001738","high transition temperature",14,4,0.77,"0.00490","5.94e-02"
"LION:0001737","average transition temperature",18,4,0.99,"0.01289","1.39e-01"
"LION:0001739","very high transition temperature",5,2,0.28,"0.02639","2.56e-01"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",23,4,1.27,"0.03093","2.73e-01"
"LION:0080977","low lateral diffusion",14,3,0.77,"0.03593","2.90e-01"
"LION:0080981","below average lateral diffusion",16,3,0.88,"0.05139","3.83e-01"
"LION:0080974","above average bilayer thickness",12,2,0.66,"0.13759","9.01e-01"
"LION:0000259","C14:0",3,1,0.17,"0.15721","9.01e-01"
"LION:0080972","very high bilayer thickness",3,1,0.17,"0.15721","9.01e-01"
"LION:0000467","contains ether-bond",39,4,2.16,"0.15785","9.01e-01"
"LION:0080978","average lateral diffusion",14,2,0.77,"0.17750","9.57e-01"
"LION:0002947","fatty acid with 13-15 carbons",4,1,0.22,"0.20415","9.90e-01"
"LION:0002971","fatty acid with 3 double bonds",4,1,0.22,"0.20415","9.90e-01"
"LION:0012017","hexosylceramides",5,1,0.28,"0.24858","1.00e+00"
"LION:0001736","low transition temperature",19,2,1.05,"0.28305","1.00e+00"
"LION:0080971","high bilayer thickness",10,1,0.55,"0.43749","1.00e+00"
"LION:0001741","below average transition temperature",29,2,1.6,"0.48848","1.00e+00"
"LION:0080969","low bilayer thickness",15,1,0.83,"0.58054","1.00e+00"
"LION:0080970","average bilayer thickness",15,1,0.83,"0.58054","1.00e+00"
"LION:0002921","C18:0",16,1,0.88,"0.60463","1.00e+00"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",22,1,1.22,"0.72370","1.00e+00"
"LION:0002882","C16:0",22,1,1.22,"0.72370","1.00e+00"
"LION:0002961","fatty acid with 22 carbons",22,1,1.22,"0.72370","1.00e+00"
"LION:0002977","fatty acid with 3-5 double bonds",23,1,1.27,"0.73986","1.00e+00"
"LION:0002950","fatty acid with 22-24 carbons",24,1,1.33,"0.75512","1.00e+00"
"LION:0002968","saturated fatty acid",49,2,2.71,"0.78121","1.00e+00"
"LION:0000465","neutral intrinsic curvature",149,7,8.24,"0.78199","1.00e+00"
"LION:0080973","below average bilayer thickness",26,1,1.44,"0.78312","1.00e+00"
"LION:0000010","glycerophosphocholines [GP01]",155,7,8.57,"0.82316","1.00e+00"
"LION:0002955","fatty acid with 16 carbons",32,1,1.77,"0.84994","1.00e+00"
"LION:0002976","fatty acid with more than 3 double bonds",36,1,1.99,"0.88302","1.00e+00"
"LION:0000030","diacylglycerophosphocholines [GP0101]",95,3,5.25,"0.92976","1.00e+00"
"LION:0002948","fatty acid with 16-18 carbons",73,2,4.04,"0.93644","1.00e+00"
"LION:0000100","fatty acid with 18 carbons or less",75,2,4.15,"0.94318","1.00e+00"
"LION:0002957","fatty acid with 18 carbons",50,1,2.76,"0.95218","1.00e+00"
"LION:0002967","polyunsaturated fatty acid",51,1,2.82,"0.95520","1.00e+00"
"LION:0002966","fatty acid with less than 2 double bonds",80,2,4.42,"0.95731","1.00e+00"
"LION:0000011","glycerophosphoethanolamines [GP02]",55,1,3.04,"0.96557","1.00e+00"
"LION:0002945","fatty acid with more than 18 carbons",56,1,3.1,"0.96778","1.00e+00"
"LION:0012081","mitochondrion",58,1,3.21,"0.97179","1.00e+00"
"LION:0000094","headgroup with neutral charge",64,1,3.54,"0.98118","1.00e+00"
"LION:0000003","glycerophospholipids [GP]",232,8,12.82,"0.99074","1.00e+00"
"LION:0000464","negative intrinsic curvature",76,1,4.2,"0.99181","1.00e+00"
"LION:0012080","endoplasmic reticulum (ER)",246,8,13.6,"0.99665","1.00e+00"
"LION:0000001","fatty acids [FA]",8,0,0.44,"1.00000","1.00e+00"
"LION:0000002","glycerolipids [GL]",59,0,3.26,"1.00000","1.00e+00"
"LION:0000013","glycerophosphoserines [GP03]",8,0,0.44,"1.00000","1.00e+00"
"LION:0000032","1-(1z-alkenyl),2-acylglycerophosphocholines [GP0103]",24,0,1.33,"1.00000","1.00e+00"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",11,0,0.61,"1.00000","1.00e+00"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",16,0,0.88,"1.00000","1.00e+00"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",8,0,0.44,"1.00000","1.00e+00"
"LION:0000042","monoacylglycerophosphoethanolamines [GP0205]",7,0,0.39,"1.00000","1.00e+00"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",11,0,0.61,"1.00000","1.00e+00"
"LION:0000053","diacylglycerophosphoserines [GP0301]",7,0,0.39,"1.00000","1.00e+00"
"LION:0000059","diacylglycerophosphoglycerols [GP0401]",3,0,0.17,"1.00000","1.00e+00"
"LION:0000093","headgroup with negative charge",30,0,1.66,"1.00000","1.00e+00"
"LION:0000466","positive intrinsic curvature",34,0,1.88,"1.00000","1.00e+00"
"LION:0000599","lysoglycerophospholipids",19,0,1.05,"1.00000","1.00e+00"
"LION:0000607","diacylglycerols [GL0201]",4,0,0.22,"1.00000","1.00e+00"
"LION:0000622","triacylglycerols [GL0301]",55,0,3.04,"1.00000","1.00e+00"
"LION:0001734","contains vinyl ether bond (plasmalogen)",32,0,1.77,"1.00000","1.00e+00"
"LION:0001735","very low transition temperature",10,0,0.55,"1.00000","1.00e+00"
"LION:0001742","fatty acids and conjugates [FA01]",8,0,0.44,"1.00000","1.00e+00"
"LION:0002900","C16:1",11,0,0.61,"1.00000","1.00e+00"
"LION:0002922","C18:1",23,0,1.27,"1.00000","1.00e+00"
"LION:0002923","C18:2",13,0,0.72,"1.00000","1.00e+00"
"LION:0002925","C20:0",3,0,0.17,"1.00000","1.00e+00"
"LION:0002926","C20:1",4,0,0.22,"1.00000","1.00e+00"
"LION:0002927","C20:2",3,0,0.17,"1.00000","1.00e+00"
"LION:0002929","C20:4",9,0,0.5,"1.00000","1.00e+00"
"LION:0002930","C20:5",5,0,0.28,"1.00000","1.00e+00"
"LION:0002935","C22:4",4,0,0.22,"1.00000","1.00e+00"
"LION:0002937","C22:6",13,0,0.72,"1.00000","1.00e+00"
"LION:0002949","fatty acid with 19-21 carbons",29,0,1.6,"1.00000","1.00e+00"
"LION:0002951","fatty acid with more than 24 carbons",3,0,0.17,"1.00000","1.00e+00"
"LION:0002956","fatty acid with 17 carbons",3,0,0.17,"1.00000","1.00e+00"
"LION:0002958","fatty acids with 19 carbons",3,0,0.17,"1.00000","1.00e+00"
"LION:0002959","fatty acid with 20 carbons",25,0,1.38,"1.00000","1.00e+00"
"LION:0002969","monounsaturated fatty acid",40,0,2.21,"1.00000","1.00e+00"
"LION:0002970","fatty acid with 2 double bonds",18,0,0.99,"1.00000","1.00e+00"
"LION:0002972","fatty acid with 4 double bonds",14,0,0.77,"1.00000","1.00e+00"
"LION:0012009","lipid-mediated signalling",48,0,2.65,"1.00000","1.00e+00"
"LION:0012011","lipid storage",55,0,3.04,"1.00000","1.00e+00"
"LION:0012084","lipid droplet",55,0,3.04,"1.00000","1.00e+00"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",25,0,1.38,"1.00000","1.00e+00"
"LION:0071625","PE(O-38:7)",3,0,0.17,"1.00000","1.00e+00"
"LION:0080968","very low bilayer thickness",12,0,0.66,"1.00000","1.00e+00"
"LION:0080979","high lateral diffusion",11,0,0.61,"1.00000","1.00e+00"
"LION:0080980","very high lateral diffusion",15,0,0.83,"1.00000","1.00e+00"
"LION:0080982","above average lateral diffusion",25,0,1.38,"1.00000","1.00e+00"
