"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000607","diacylglycerols [GL0201]","4","3","0.1","4.5e-05","0.00436"
"    [#0045] DG 34:1 ","","","","","",""
"    [#0046] DG 36:5 ","","","","","",""
"    [#0047] DG 38:5 ","","","","","",""
"    [#0048] DG 38:6 ","","","","","",""
"LION:0012010","membrane component","273","10","6.86","0.022","0.67900"
"    [#0043] Cholesterol ","","","","","",""
"    [#0045] DG 34:1 ","","","","","",""
"    [#0046] DG 36:5 ","","","","","",""
"    [#0047] DG 38:5 ","","","","","",""
"    [#0048] DG 38:6 ","","","","","",""
"    [#0072] GlcCer d38:1 ","","","","","",""
"    [#0073] GlcCer d40:1 ","","","","","",""
"    [#0074] GlcCer d42:1 ","","","","","",""
"    [#0075] GlcCer d42:2 ","","","","","",""
"    [#0076] HexCer 32:0;O2","","","","","",""
"    [#0078] LPC 16:0 ","","","","","",""
"    [#0079] LPC 18:0 Isomer B ","","","","","",""
"    [#0080] LPC 18:1 ","","","","","",""
"    [#0081] LPC 18:2 ","","","","","",""
"    [#0082] LPC 20:0 ","","","","","",""
"    [#0083] LPC 20:1 ","","","","","",""
"    [#0084] LPC 20:2 ","","","","","",""
"    [#0085] LPC 20:5 ","","","","","",""
"    [#0086] LPC 22:6 ","","","","","",""
"    [#0087] LPC 32:1 ","","","","","",""
"    [#0088] LPC 40:7 ","","","","","",""
"    [#0089] LPC O-16:0 ","","","","","",""
"    [#0090] LPC O-18:0 ","","","","","",""
"    [#0091] LPE 16:0 ","","","","","",""
"    [#0092] LPE 18:0 ","","","","","",""
"    [#0093] LPE 18:1 ","","","","","",""
"    [#0094] LPE 18:2 ","","","","","",""
"    [#0095] LPE 20:4 ","","","","","",""
"    [#0096] LPE 20:5","","","","","",""
"    [#0097] LPE 22:6 ","","","","","",""
"    [#0098] LPE O-18:1 ","","","","","",""
"    [#0099] LPE O-20:0 ","","","","","",""
"    [#0100] LPS 18:0 ","","","","","",""
"    [#0107] PC 14:0_16:1 ","","","","","",""
"    [#0108] PC 16:0/9:0 CHO ","","","","","",""
"    [#0109] PC 16:0_14:0 ","","","","","",""
"    [#0110] PC 16:0_18:2 ","","","","","",""
"    [#0111] PC 16:0_22:6 ","","","","","",""
"    [#0112] PC 16:1/18:4 ","","","","","",""
"    [#0113] PC 18:0_18:1 ","","","","","",""
"    [#0114] PC 18:0_22:6 ","","","","","",""
"    [#0115] PC 18:2_20:5 ","","","","","",""
"    [#0116] PC 19:1 ","","","","","",""
"    [#0117] PC 20:1_20:1 ","","","","","",""
"    [#0118] PC 21:4 ","","","","","",""
"    [#0119] PC 22:4 ","","","","","",""
"    [#0120] PC 24:0 ","","","","","",""
"    [#0121] PC 24:0|PC 10:0_14:0","","","","","",""
"    [#0122] PC 26:0|PC 10:0_16:0","","","","","",""
"    [#0123] PC 29:0 ","","","","","",""
"    [#0124] PC 31:0","","","","","",""
"    [#0125] PC 31:1 ","","","","","",""
"    [#0126] PC 32:0 ","","","","","",""
"    [#0127] PC 32:1 Isomer A","","","","","",""
"    [#0128] PC 32:1 Isomer B","","","","","",""
"    [#0129] PC 32:2 Isomer A","","","","","",""
"    [#0130] PC 32:2 Isomer B","","","","","",""
"    [#0131] PC 33:0 ","","","","","",""
"    [#0132] PC 33:1 Isomer A","","","","","",""
"    [#0133] PC 33:1 Isomer B","","","","","",""
"    [#0134] PC 33:2 Isomer A","","","","","",""
"    [#0135] PC 33:2 Isomer B","","","","","",""
"    [#0136] PC 34:0","","","","","",""
"    [#0137] PC 34:1 Isomer A","","","","","",""
"    [#0138] PC 34:1 Isomer B","","","","","",""
"    [#0139] PC 34:2 Isomer A","","","","","",""
"    [#0140] PC 34:2 Isomer B","","","","","",""
"    [#0141] PC 34:3 ","","","","","",""
"    [#0142] PC 34:3 Isomer B ","","","","","",""
"    [#0143] PC 34:4 Isomer A","","","","","",""
"    [#0144] PC 34:4 Isomer B ","","","","","",""
"    [#0145] PC 35:1 Isomer A","","","","","",""
"    [#0146] PC 35:1 Isomer B","","","","","",""
"    [#0147] PC 35:2 ","","","","","",""
"    [#0148] PC 35:2 Isomer B ","","","","","",""
"    [#0149] PC 35:3 ","","","","","",""
"    [#0150] PC 35:4 Isomer A","","","","","",""
"    [#0151] PC 35:4 Isomer B","","","","","",""
"    [#0152] PC 36:1 Isomer A","","","","","",""
"    [#0153] PC 36:1 Isomer B","","","","","",""
"    [#0154] PC 36:2 Isomer A","","","","","",""
"    [#0155] PC 36:2 Isomer B","","","","","",""
"    [#0156] PC 36:3 Isomer A ","","","","","",""
"    [#0157] PC 36:3 Isomer AB","","","","","",""
"    [#0158] PC 36:4 Isomer A ","","","","","",""
"    [#0159] PC 36:4 Isomer B","","","","","",""
"    [#0160] PC 36:4 Isomer C ","","","","","",""
"    [#0161] PC 36:5 Isomer A ","","","","","",""
"    [#0162] PC 36:5 Isomer B ","","","","","",""
"    [#0163] PC 36:5 Isomer C ","","","","","",""
"    [#0164] PC 36:5 Isomer D ","","","","","",""
"    [#0165] PC 36:6 ","","","","","",""
"    [#0166] PC 37:2 Isomer A","","","","","",""
"    [#0167] PC 37:2 Isomer B","","","","","",""
"    [#0168] PC 37:3 ","","","","","",""
"    [#0169] PC 37:4 ","","","","","",""
"    [#0170] PC 38:2 Isomer A","","","","","",""
"    [#0171] PC 38:3 Isomer A","","","","","",""
"    [#0172] PC 38:4 Isomer A ","","","","","",""
"    [#0173] PC 38:4 Isomer C ","","","","","",""
"    [#0174] PC 38:5 Isomer A ","","","","","",""
"    [#0175] PC 38:5 Isomer B ","","","","","",""
"    [#0176] PC 38:6 Isomer A ","","","","","",""
"    [#0177] PC 38:6 Isomer B","","","","","",""
"    [#0178] PC 38:6 Isomer C ","","","","","",""
"    [#0179] PC 38:7 ","","","","","",""
"    [#0180] PC 38:8 ","","","","","",""
"    [#0181] PC 39:5 Isomer B","","","","","",""
"    [#0182] PC 39:6 ","","","","","",""
"    [#0183] PC 40:3 ","","","","","",""
"    [#0184] PC 40:4 Isomer B","","","","","",""
"    [#0185] PC 40:4 Isomer C","","","","","",""
"    [#0186] PC 40:5 Isomer A ","","","","","",""
"    [#0187] PC 40:5 Isomer B ","","","","","",""
"    [#0188] PC 40:6 Isomer A ","","","","","",""
"    [#0189] PC 40:6 Isomer B ","","","","","",""
"    [#0190] PC 40:7 ","","","","","",""
"    [#0191] PC 40:7 Isomer A ","","","","","",""
"    [#0192] PC 40:7 Isomer B ","","","","","",""
"    [#0193] PC 40:8 Isomer A","","","","","",""
"    [#0194] PC 40:8 Isomer B","","","","","",""
"    [#0195] PC 41:6|PC 19:0_22:6","","","","","",""
"    [#0196] PC 42:5 ","","","","","",""
"    [#0197] PC 42:6 Isomer A","","","","","",""
"    [#0198] PC 42:6 Isomer B","","","","","",""
"    [#0199] PC 42:7 ","","","","","",""
"    [#0200] PC 42:9 ","","","","","",""
"    [#0201] PC 44:12","","","","","",""
"    [#0202] PC O-16:0_20:4 ","","","","","",""
"    [#0203] PC O-18:0_16:0 ","","","","","",""
"    [#0204] PC O-18:1_20:4 ","","","","","",""
"    [#0205] PC O-29:0","","","","","",""
"    [#0206] PC O-30:0|PC O-14:0_16:0","","","","","",""
"    [#0207] PC O-31:0","","","","","",""
"    [#0208] PC O-31:0|PC O-15:0_16:0","","","","","",""
"    [#0209] PC O-32:0 ","","","","","",""
"    [#0210] PC O-32:2 ","","","","","",""
"    [#0211] PC O-33:0 ","","","","","",""
"    [#0212] PC O-33:6 ","","","","","",""
"    [#0213] PC O-34:0 Isomer A","","","","","",""
"    [#0214] PC O-34:0 Isomer B","","","","","",""
"    [#0215] PC O-34:1|PC O-16:0_18:1","","","","","",""
"    [#0216] PC O-34:2 ","","","","","",""
"    [#0217] PC O-36:1 ","","","","","",""
"    [#0218] PC O-37:5 ","","","","","",""
"    [#0219] PC O-37:6 ","","","","","",""
"    [#0220] PC O-38:7 ","","","","","",""
"    [#0221] PC O-39:8 ","","","","","",""
"    [#0222] PC O-40:5 ","","","","","",""
"    [#0223] PC O-40:7 ","","","","","",""
"    [#0224] PC O-42:7 or PC 42:7e ","","","","","",""
"    [#0225] PC P-32:1 or PC O-32:2 ","","","","","",""
"    [#0226] PC P-34:0 or PC O-34:1 ","","","","","",""
"    [#0227] PC P-34:1 or PC O-34:2","","","","","",""
"    [#0228] PC P-34:1 or PC O-34:2","","","","","",""
"    [#0229] PC P-34:1 or PC O-34:2 ","","","","","",""
"    [#0230] PC P-36:1 or PC O-36:2","","","","","",""
"    [#0231] PC P-36:1 or PC O-36:2","","","","","",""
"    [#0232] PC P-36:1 or PC O-36:2 ","","","","","",""
"    [#0233] PC P-36:2 or PC O-36:3 ","","","","","",""
"    [#0234] PC P-36:3 or PC O-36:4 ","","","","","",""
"    [#0235] PC P-38:3 or PC O-38:4","","","","","",""
"    [#0236] PC P-38:3 or PC O-38:4 ","","","","","",""
"    [#0237] PC P-38:4 or PC O-38:5 Isomer A ","","","","","",""
"    [#0238] PC P-38:4 or PC O-38:5 Isomer B ","","","","","",""
"    [#0239] PC P-38:4 or PC O-38:5 Isomer C","","","","","",""
"    [#0240] PC P-38:5 or PC O-38:6 ","","","","","",""
"    [#0241] PC P-38:5 or PC O-38:6 Isomer A ","","","","","",""
"    [#0242] PC P-40:4 or PC O-40:5 ","","","","","",""
"    [#0243] PC P-40:5 or PC O-40:6 ","","","","","",""
"    [#0244] PC P-40:6 or PC O-40:7 Isomer A ","","","","","",""
"    [#0245] PC P-40:6 or PC O-40:7 Isomer B ","","","","","",""
"    [#0246] PC P-40:7 or PC O-40:8 ","","","","","",""
"    [#0247] PC P-42:5 or PC O-42:6","","","","","",""
"    [#0248] PC P-42:5 or PC O-42:6","","","","","",""
"    [#0251] PE 16:0_16::1 ","","","","","",""
"    [#0252] PE 16:1_18:1 ","","","","","",""
"    [#0253] PE 18:0_22:3 ","","","","","",""
"    [#0254] PE 34:0 ","","","","","",""
"    [#0255] PE 34:1 ","","","","","",""
"    [#0256] PE 36:1 ","","","","","",""
"    [#0257] PE 36:2 ","","","","","",""
"    [#0258] PE 36:3 ","","","","","",""
"    [#0259] PE 36:4 ","","","","","",""
"    [#0260] PE 36:5|PE 16:0_20:5","","","","","",""
"    [#0261] PE 37:5|PE 17:0_20:5","","","","","",""
"    [#0262] PE 38:2 ","","","","","",""
"    [#0263] PE 38:4 ","","","","","",""
"    [#0264] PE 38:4|PE 18:0_20:4","","","","","",""
"    [#0265] PE 38:5 ","","","","","",""
"    [#0266] PE 38:6 ","","","","","",""
"    [#0267] PE 38:6 Isomer B ","","","","","",""
"    [#0268] PE 38:7|PE 18:2_20:5 Isomer A","","","","","",""
"    [#0269] PE 38:7|PE 18:2_20:5 Isomer B","","","","","",""
"    [#0270] PE 40:10|PE 20:5_20:5","","","","","",""
"    [#0271] PE 40:6|PE 18:1_22:5","","","","","",""
"    [#0272] PE 40:7|PE 18:1_22:6","","","","","",""
"    [#0273] PE O-16:1_18:1 ","","","","","",""
"    [#0274] PE O-16:1_18:2 ","","","","","",""
"    [#0275] PE O-16:1_22:6 ","","","","","",""
"    [#0276] PE O-18:1_22:6 ","","","","","",""
"    [#0277] PE O-18:2_18:2 ","","","","","",""
"    [#0278] PE O-18:2_22:6 ","","","","","",""
"    [#0279] PE O-22:6_16:1 ","","","","","",""
"    [#0280] PE O-36:1 ","","","","","",""
"    [#0281] PE O-36:3 ","","","","","",""
"    [#0282] PE O-36:4 Isomer B","","","","","",""
"    [#0283] PE O-38:2 ","","","","","",""
"    [#0284] PE O-38:6 Isomer B ","","","","","",""
"    [#0285] PE O-38:7 ","","","","","",""
"    [#0286] PE O-40:5 Isomer B ","","","","","",""
"    [#0287] PE O-40:6 Isomer B ","","","","","",""
"    [#0288] PE O-40:8 ","","","","","",""
"    [#0289] PE P-34:1 or PE O-34:2 ","","","","","",""
"    [#0290] PE P-36:1 or PE O-36:2","","","","","",""
"    [#0291] PE P-36:4 or PE O-36:5 ","","","","","",""
"    [#0292] PE P-36:5 or PE O-36:6 ","","","","","",""
"    [#0293] PE P-38:4 or PE O-38:5 Isomer A","","","","","",""
"    [#0294] PE P-38:4 or PE O-38:5 Isomer B","","","","","",""
"    [#0295] PE P-38:5 or PE O-38:6 ","","","","","",""
"    [#0296] PE P-40:5 or PE O-40:6 ","","","","","",""
"    [#0305] PG 36:2 ","","","","","",""
"    [#0306] PG 38:7 ","","","","","",""
"    [#0307] PG 44:12 ","","","","","",""
"    [#0308] PI 18:0_20:2 ","","","","","",""
"    [#0309] PI 18:0_20:4 ","","","","","",""
"    [#0310] PI 18:1_22:4 ","","","","","",""
"    [#0311] PI 18:1_22:6 ","","","","","",""
"    [#0312] PI 34:1 Isomer A ","","","","","",""
"    [#0313] PI 34:2 ","","","","","",""
"    [#0314] PI 36:3 Isomer B ","","","","","",""
"    [#0315] PI 36:5 ","","","","","",""
"    [#0316] PI 38:4 ","","","","","",""
"    [#0317] PI 38:5","","","","","",""
"    [#0318] PI 38:5 ","","","","","",""
"    [#0322] PS 16:0_22:4 ","","","","","",""
"    [#0323] PS 18:0_22:6 ","","","","","",""
"    [#0324] PS 34:1 ","","","","","",""
"    [#0325] PS 36:1 ","","","","","",""
"    [#0326] PS 36:2 ","","","","","",""
"    [#0327] PS 38:5|PS 18:0_20:5","","","","","",""
"    [#0328] PS 40:5 ","","","","","",""
"    [#0331] SM 29:2;2O/8:0 ","","","","","",""
"    [#0332] SM 35:1;2O ","","","","","",""
"    [#0333] SM 37:4;3O ","","","","","",""
"    [#0334] SM 41:3;3O ","","","","","",""
"    [#0335] SM d30:1 ","","","","","",""
