lipid,class,targetClass,saturation,statistic.13v30,statistic.13v5,padj.13v30,padj.13v5,LION.0000003,LION.0000010,LION.0000031,LION.0000095,LION.0000465,LION.0012010,LION.0012080,LION.0000011,LION.0012081,LION.0000032.PhysModule3,LION.0001734.PhysModule3,LION.0001740.PhysModule3,LION.0012010.PhysModule3,LION.0080971.PhysModule3,LION.0080974.PhysModule3,LION.0080981.PhysModule3,LION.0000003.PhysModule5,LION.0000010.PhysModule5,LION.0000030.PhysModule5,LION.0000095.PhysModule5,LION.0000465.PhysModule5,LION.0012080.PhysModule5,LION.0000004.PhysModule6,LION.0000084.PhysModule6,LION.0000095.PhysModule6,LION.0001740.PhysModule6,LION.0012010.PhysModule6,LION.0012082.PhysModule6,LION.0012086.PhysModule6,LION.0000607.PhysModule9,LION.0000004.PhysModule15,LION.0000464.PhysModule15,LION.0012009.PhysModule15,LION.0012082.PhysModule15,LION.0012441.PhysModule15
Cer 22:0;2O/26:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer d34:0,Cer,Other,Saturated,-4.36831818559175,NA,0.000666653150181312,NA,NA,NA,NA,NA,NA,NA,both,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAHFA 46:0,FAHFA,Other,Saturated,-2.66011010601615,NA,0.0203360083325905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GlcCer d42:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 18:0_18:1,PC,PC,Monounsaturated,NA,4.02909586516575,NA,0.00524360247475356,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,,,,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 19:1,PC,PC,Monounsaturated,-5.16727157423752,NA,0.000240690223231458,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 36:1 Isomer A,PC,PC,Monounsaturated,NA,3.66500452940352,NA,0.00993972455409141,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 36:1 Isomer B,PC,PC,Monounsaturated,NA,3.73341826110031,NA,0.00919058528150888,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-18:0_16:0,PC,PC,Saturated,-5.64243629787398,NA,7.57864059445755e-05,NA,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-34:0 Isomer A,PC,PC,Saturated,-2.32153861636095,3.40121725032205,0.0364332956798726,0.0123979885054405,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-34:0 Isomer B,PC,PC,Saturated,-5.97998052981535,NA,3.77248864968583e-05,NA,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-34:1|PC O-16:0_18:1,PC,PC,Monounsaturated,-2.20752888931917,3.23487978118171,0.0439415500966002,0.0154888042496503,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-36:1,PC,PC,Monounsaturated,-3.91440916340151,3.01107329989099,0.00202099238517535,0.0207609581474589,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC P-34:0 or PC O-34:1,PC,PC,Saturated,-2.29608040503695,3.24379906156862,0.0383961929320581,0.0154716960206808,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,x,x,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC P-34:1 or PC O-34:2,PC,PC,Monounsaturated,-2.59547107974366,2.81339843521707,0.0210683643093174,0.0263461977586544,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,x,x,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
