"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"xylitol","Xylitol","HMDB0242149","6912","C00379","OC[C@H](O)C(O)[C@H](O)CO","1"
"uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"UDP-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","C00043","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"trans-4-hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"sucrose","Sucrose","HMDB0000258","5988","C00089","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"ribonic acid","Ribonic acid","HMDB0000867","5460677","C01685","OC[C@@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","C05942","OC(=O)C1=CC=CN1","1"
"phosphoinositol","NA","NA","NA","NA","NA","0"
"phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","C00346","NCCOP(O)(O)=O","1"
"para-xanthine","Paraxanthine","HMDB0001860","4687","C13747","CN1C=NC2=C1C(=O)N(C)C(=O)N2","1"
"octadecanol","Octadecanol","HMDB0002350","8221","D01924","CCCCCCCCCCCCCCCCCCO","1"
"n-epsilon-trimethyllysine","NA","NA","NA","NA","NA","0"
"N-acetylputrescine","N-Acetylputrescine","HMDB0002064","122356","C02714","CC(=O)NCCCCN","1"
"methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","C02989","CS(=O)CC[C@H](N)C(O)=O","1"
"malic acid","Malic acid","HMDB0000156","222656","C00149","O[C@@H](CC(O)=O)C(O)=O","1"
"isoxanthopterin","Isoxanthopterin","HMDB0000704","10729","C03975","NC1=NC(=O)C2=C(N1)NC(=O)C=N2","1"
"isothreonic acid","NA","NA","NA","NA","NA","0"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"hypotaurine","Hypotaurine","HMDB0000965","107812","C00519","NCCS(O)=O","1"
"glycyl-glycine","Glycyl-glycine","HMDB0011733","11163","C02037","NCC(=O)NCC(O)=O","1"
"glycerol","Glycerol","HMDB0000131","753","C00116","OCC(O)CO","1"
"glyceric acid","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"fructose-1-phosphate","3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid","HMDB0000399","10400369","C01094","[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C","1"
"dimethylglycine","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(O)=O","1"
"cytosine","Cytosine","HMDB0000630","597","C00380","NC1=CC=NC(=O)N1","1"
"cystine","Cystine","HMDB0250712","595","C01420","NC(CSSCC(N)C(O)=O)C(O)=O","1"
"cysteine","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"cystathionine","L-Cystathionine","HMDB0000099","439258","C02291","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"citric acid","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"ciliatine","Ciliatine","HMDB0011747","339","C03557","NCCP(O)(O)=O","1"
"cadaverine","Cadaverine","HMDB0002322","273","C01672","NCCCCCN","1"
"beta-alanine","beta-Alanine","HMDB0000056","239","C00099","NCCC(O)=O","1"
"alpha-aminoadipic acid","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"3-aminoisobutyric acid","3-Aminoisobutanoic acid","HMDB0003911","64956","C05145","CC(CN)C(O)=O","1"
"2-ketoadipic acid","Oxoadipic acid","HMDB0000225","71","C00322","OC(=O)CCCC(=O)C(O)=O","1"
"2-aminobutyric acid","L-alpha-Aminobutyric acid","HMDB0000452","80283","C02356","CC[C@H](N)C(O)=O","1"
