Compound	Module	PubChem	KEGG	104	105	106	107	108	109	110	111	112	113	114	404	405	406	407	408	409	410	411	412	413	101	102	103	401	402	403	304	305	306	307	308	604	605	606	607	608	301	302	303	601	602	603	204	205	206	207	208	209	210	211	212	213	504	505	506	507	508	509	510	511	512	513	201	202	203	501	502	503	class
ornithine	5	6262	C00077	742363	494310	822118	664021	639188	796510	1148087	368244	1851013	381247	471594	774628	536850	725822	418232	370153	548580	987862	399010	548149	868264	675165	621651	1568974	226751	327391	1140676	738981	1583410	164015	768674	139997	267711	257575	468015	233088	305900	98878	150025	101201	286884	884582	314336	1115031	741873	40293	510353	1088959	624956	681466	846332	184473	467927	721983	1050522	429550	512748	809190	480955	571812	464868	749306	820392	852279	814837	888865	642843	3084401	1547505	metabolite
glutamine	5	5961	C00064	168945	204987	228898	547180	298748	265317	979798	144157	900316	125044	223911	310153	196477	356819	97137	216028	165184	203902	111115	199905	178984	340756	286843	254512	101106	95247	479775	80577	184536	86719	232806	62716	89839	222479	190914	50087	216655	62615	57003	119124	65947	261396	384717	220060	149229	28363	163718	435763	118391	259502	481272	99813	201030	318977	267807	85700	158115	183633	132722	238845	251143	443286	293194	179689	486660	263930	180330	1085607	190988	metabolite
beta-glutamic acid	5	73064	C05574	9892	7317	29431	1611	2181	6677	62027	3114	25377	1350	1486	5196	9154	4527	2309	3214	19074	10347	1221	12331	4717	21808	1753	15875	1710	2323	4976	669	37962	2114	1590	434	849	2902	1731	779	11158	868	483	5780	2207	32100	17847	12247	11274	356	1461	31430	2123	35703	4250	967	5796	17981	5492	4921	1794	1677	2747	40237	8599	8980	5215	5556	30365	1155	25784	2071	30586	metabolite
GlcADG 37:3	5	NA	NA	1063	1219	1017	1402	847	1044	2979	738	2433	1224	1143	1187	1425	830	713	1020	1236	1199	795	2572	827	1729	1019	2469	828	1590	1480	742	1600	1016	1576	1427	1253	746	1070	924	1196	657	921	778	1443	1603	1099	951	1805	1080	1547	2034	1335	2199	1151	892	816	1429	1372	869	1109	1133	1241	1989	2461	1386	1219	697	1758	736	1839	1714	1594	lipid
LNAPE 20:4_N-19:1	5	NA	NA	3837	1256	2510	3175	2272	2076	6448	2768	7597	1972	3185	3276	3162	2934	2116	1834	2947	3436	2165	4098	2361	4044	2848	3990	2247	1835	2246	809	2772	1082	2141	1269	1365	1078	833	1475	1696	2174	1155	1615	2163	2910	3812	3468	4195	1939	3256	5325	2679	3309	2732	2413	2860	3779	3800	3754	2306	1040	3135	3223	8001	2496	3995	2707	9114	1439	4940	2727	3104	lipid
LPC 32:1	5	NA	NA	56706	31784	41446	59696	48303	34567	219473	87461	206159	81454	69665	85385	58107	69555	76825	80002	78891	58272	44112	100789	68469	110405	56383	126237	111546	28709	131372	146023	153644	45068	104489	123245	92518	31881	30949	74349	93283	77536	61807	181222	69812	152096	139029	112339	100705	30900	65562	151675	62503	71771	64684	27114	54269	85267	85450	90752	33013	24499	72527	103329	188831	44228	23085	57613	108120	77704	109960	35409	92096	lipid
PC 31:0	5	NA	NA	345164	282879	219219	177910	194860	277906	782310	269646	760436	201497	249575	325481	454222	337904	135909	292640	433498	292834	208914	821463	225483	303430	319589	740151	195573	212725	1110826	195221	919548	462624	474800	981580	567385	292876	101261	419313	434016	410467	253626	505011	429055	1048707	949914	291680	520330	213276	315486	491423	226483	441141	384480	163957	201222	553177	242380	418215	120778	74601	387108	672378	917473	290787	326279	224648	695487	262123	569306	268265	937428	lipid
PC 31:1	5	NA	NA	1531575	1379962	1265267	996041	736430	999609	4138826	1361564	2529073	681005	1188903	1772874	2107562	1550124	733011	1127656	1331738	752580	1250016	2680620	1104311	1366043	1721755	4392249	803986	2334725	3239606	904267	2904803	694496	1755667	2696166	1534631	654287	447710	1469756	987253	1390628	1086566	1729591	1865769	2497659	1581839	2309390	3046514	1188971	1778695	3427913	1454850	2731103	1596321	389280	1188607	1849905	1805067	1473195	545709	323898	1992026	3427437	5870796	1404133	1582285	1182619	2251884	1737230	2429627	3058570	4991213	lipid
PC 33:1 Isomer A	5	NA	NA	8477120	7084308	5916342	6904291	4914937	5911670	37757390	6191190	29597949	3741053	9682793	8728382	21553786	7401530	5252854	3774631	10932676	10505899	5678784	24594034	5507044	11767037	10304321	31695644	6667119	6706951	20384922	1595281	5770242	3150003	4026186	6268453	5993183	1959710	1067694	3348090	6428429	3549047	2676056	2895814	6687866	15591456	13167326	15084978	23630210	4411948	10394280	21055512	7023458	20919595	7830374	2753010	6360812	21839700	12256265	8940503	3605017	1190863	8523576	24643201	34831030	6917715	15088713	8801391	31194848	7635986	18280800	10329958	31319144	lipid
